index,(Final.MappedBack)HumanCuratedFinalKeywordsMoreComplex,(Final.MappedBack)HumanCuratedFinalKeywordsLessComplex
407,"{
  ""Aesthetics Uncertainty"": [
    ""distracting/confusing/unclear"",
    ""convoluted composition""
  ],
  ""Visual Encoding Clarity"": [
    ""different clarity""
  ]
}",
67,"{
  ""Aesthetics Uncertainty"": [
    ""distracting/confusing/unclear""
  ]
}",
59,"{
  ""Aesthetics Uncertainty"": [
    ""distracting/confusing/unclear""
  ],
  ""Schema"": [
    ""domain-specific concepts (e.g., chemical, biology, map)""
  ],
  ""Immediacy / Cognitive Load"": [
    ""hard to interpret/read/understand""
  ]
}","{
  ""Immediacy / Cognitive Load"": [
    ""easier to interpret/read/understand""
  ]
}"
157,"{
  ""Aesthetics Uncertainty"": [
    ""looks random/messy/lack structure""
  ]
}",
697,"{
  ""Aesthetics Uncertainty"": [
    ""distracting/confusing/unclear""
  ]
}","{
  ""Immediacy / Cognitive Load"": [
    ""easy to interpret/read/understand""
  ]
}"
671,"{
  ""Aesthetics Uncertainty"": [
    ""feeling strange""
  ],
  ""Immediacy / Cognitive Load"": [
    ""hard to interpret/read/understand""
  ]
}",
345,"{
  ""Aesthetics Uncertainty"": [
    ""unclear colors/contrast""
  ],
  ""Immediacy / Cognitive Load"": [
    ""hard to focus/follow""
  ]
}",
286,"{
  ""Aesthetics Uncertainty"": [
    ""visually striking""
  ],
  ""Schema"": [
    ""unfamiliar concepts/patterns""
  ],
  ""Immediacy / Cognitive Load"": [
    ""more difficult to interpret/read/understand/differentiate""
  ]
}",
506,"{
  ""Color, Symbol, and Texture Details"": [
    ""distinguishable/full color uses"",
    ""lack of color contrast / hard to distinguish colors""
  ]
}",
545,"{
  ""Color, Symbol, and Texture Details"": [
    ""color variety/arrangement/distribution"",
    ""texture details""
  ],
  ""Schema"": [
    ""unfamiliar concepts/patterns""
  ],
  ""Data Density / Image Clutter"": [
    ""more detailed/things""
  ]
}",
498,"{
  ""Color, Symbol, and Texture Details"": [
    ""amount of / too many colors""
  ]
}","{
  ""Visual Encoding Clarity"": [
    ""lines"",
    ""design-data relationship""
  ]
}"
427,"{
  ""Color, Symbol, and Texture Details"": [
    ""distinguishable color variety/arrangement/distribution"",
    ""unclear colormaps""
  ]
}",
7,"{
  ""Color, Symbol, and Texture Details"": [
    ""white/black background / other background""
  ],
  ""Semantics / Text Legibility"": [
    ""lack of/not enough axis labels/legend/annotations/context""
  ]
}",
152,"{
  ""Color, Symbol, and Texture Details"": [
    ""colored bars/charts""
  ],
  ""Immediacy / Cognitive Load"": [
    ""take longer to interpret""
  ]
}","{
  ""Visual Encoding Clarity"": [
    ""shapes and lines"",
    ""clear connection""
  ],
  ""Semantics / Text Legibility"": [
    ""too much legend""
  ]
}"
451,"{
  ""Color, Symbol, and Texture Details"": [
    ""unclear colormaps""
  ],
  ""Data Density / Image Clutter"": [
    ""little data/info""
  ],
  ""Schema"": [
    ""familiar representation""
  ]
}",
247,"{
  ""Color, Symbol, and Texture Details"": [
    ""color variety/arrangement/distribution""
  ],
  ""Visual Encoding Clarity"": [
    ""design-data relationship""
  ],
  ""Immediacy / Cognitive Load"": [
    ""hard to describe""
  ]
}",
81,"{
  ""Color, Symbol, and Texture Details"": [
    ""color dimension""
  ],
  ""Visual Encoding Clarity"": [
    ""shapes and lines""
  ]
}",
567,"{
  ""Color, Symbol, and Texture Details"": [
    ""black-to-white/color gradient""
  ]
}",
