filename,explanation
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents and their corresponding population numbers. The data density is very low with only 5 data points, the color encoding is straightforward with distinct solid colors for each region, and the layout is clean and spacious with minimal text. The cognitive load is minimal as the message is immediately interpretable."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) over 12 years, which is relatively straightforward. The chart uses only two colors (green and orange), has clear annotations and labels, and a descriptive title/subtitle. While there are ~24 bars total and some callout annotations on the right side, the overall layout is clean and immediately interpretable, keeping complexity moderate-to-low."
economist_daily_chart_165.png,"This is a stacked/grouped horizontal bar chart with 20 countries and two categories (Deceased and Living donors), resulting in moderate data density. The dual-color encoding is straightforward but the large number of bars (20 countries) adds to the visual load. Text labels are clear and legible, and the layout is well-organized, but the quantity of elements and the need to compare across many countries elevates complexity above a simple bar chart."
whoO06_2.png,"This is a stacked horizontal bar chart with 19 categories and 3 color-encoded income levels, creating moderate data density. The extensive text labels for each risk factor, combined with the legend, title, and axis labels, add significant semantic load. The three-color encoding is clear but the stacked nature requires some cognitive effort to compare segments across bars, and the large number of categories increases overall complexity beyond a simple grouped bar chart."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
SciVisJ.1025.11.png,"This is a scatterplot with 16 data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with direct text labels. The data density is moderate with some crowding in the lower-center region where JIT and Opt points overlap. The color encoding is clear with 4 distinct colors, and the layout is straightforward 2D with standard axes, but the numerous in-chart labels add moderate text density and some visual clutter."
whoQ44_4.png,"This stacked area chart has moderate complexity with 8 different country categories encoded using a brown/tan color gradient, spanning 12 years of data. The legend with 8 items and the lengthy title add to text density. However, the single-panel layout, straightforward stacked area encoding, and clean design keep it from being highly complex, though distinguishing between the similar brown/beige shades requires some cognitive effort."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) containing moderate data density. There are no axes, labels, titles, or legends, which significantly reduces text and semantic complexity. The layout is clean with minimal clutter, though the number of scattered points and three distinct color groups add some perceptual demand, pushing it slightly above minimal complexity."
InfoVisC.133.5(3).png,"This is a mosaic/parallel sets diagram showing the relationship between Class (1st/2nd), Sex (male/female), and Survived (no/yes). While the visualization uses only two colors (teal and green) and has minimal text labels, the crossing flow bands between categories create moderate visual complexity through overlapping and intersecting ribbons. The schema requires some familiarity with alluvial/parallel sets diagrams, adding slight cognitive load, but the overall number of categories and data dimensions is limited, keeping complexity moderate."
VisJ.1515.12.png,"This visualization shows concentric circular rings with a limited color palette of dark green, olive, and dark red/maroon. There are no text labels, axes, legends, or annotations, which keeps semantic complexity very low. While the concentric ring pattern has some visual intricacy and the color gradients between rings add subtle detail, the overall structure is simple and repetitive with low cognitive load. The lack of any data labels or encoding framework makes interpretation abstract but not demanding."
