oar_term,n_phrase_match,matched_phrases
unclear_color_value_meaning,55,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
unclear_color_representation,54,black color | black-to-white/color gradient | blue color | clear color uses | color details
unclear_color_meaning,52,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
color_meaning_unclear,52,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
many_lines_of_text,47,amount of / too many colors | bars as individual lines | clear text arrangement/density | clear text/scale/information | code/text
unclear_color_differentiation,46,black color | black-to-white/color gradient | blue color | clear color uses | color details
colors_unclear_meaning,45,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | axis meaning
clear_color_difference,44,black color | black-to-white/color gradient | blue color | clear and concise | clear color uses
no_clear_color_scheme,43,black color | black-to-white/color gradient | blue color | clear and concise | clear color uses
hard_to_read_shape,43,colored shape | dense/cluttered shape | description easy to read | easier to interpret/read/understand | easier to read
clear_color_differentiation,43,black color | black-to-white/color gradient | blue color | clear and concise | clear color uses
many_different_colors,41,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
color_meaning_undefined,41,axis meaning | black color | black-to-white/color gradient | blue color | clear color uses
poorly_defined_color_legend,40,black color | black-to-white/color gradient | blue color | clear color uses | color details
many_text_elements,40,amount of / too many colors | clear text arrangement/density | clear text/scale/information | code/text | context/text/description
unclear_shape_meaning,40,axis meaning | colored shape | dense/cluttered shape | different word meaning | distracting/confusing/unclear
no_easy_color_distinction,39,black color | black-to-white/color gradient | blue color | clear color uses | color details
too_many_similar_colors,38,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_shapes_present,38,abstract shapes or colors | amount of / too many colors | categorized shapes | clear colors/shapes | curves and shapes
too_many_shapes,38,abstract shapes or colors | amount of / too many colors | categorized shapes | clear colors/shapes | curves and shapes
many_unique_colors,38,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
not_simple_color_wise,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_color_codes,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_color_keys_present,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_color_schemes,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
colors_hard_to_distinguish,37,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_color_variations,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_color_shades,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_color_differences,37,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_variation_present,36,black color | black-to-white/color gradient | blue color | clear color uses | color details
many_distinct_colors,36,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
variation_in_color_shades,36,black color | black-to-white/color gradient | blue color | clear color uses | color details
many_colors_used,36,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_colors_present,36,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
too_many_colors,36,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
confusing_color_variety,36,ambiguous/confusing colors | black color | black-to-white/color gradient | blue color | clear color uses
high_color_variation,36,black color | black-to-white/color gradient | blue color | clear color uses | color details
hard_to_identify_colors,36,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
multiple_different_shapes,35,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
mixed_color_variety,35,black color | black-to-white/color gradient | blue color | clear color uses | color details
colors_carry_no_meaning,35,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | axis meaning
multiple_different_colors,35,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
colors_carry_meaning,35,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | axis meaning
colors_convey_meaning,35,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | axis meaning
too_much_color,34,black color | black-to-white/color gradient | blue color | clear color uses | color details
clear_and_easy_to_read,34,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
similar_color_palette,34,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_scale_encoding,34,black color | black-to-white/color gradient | blue color | clear color uses | clear text/scale/information
clear_recognizable_shape,34,clear and concise | clear color uses | clear colored bars/charts | clear colors/shapes | clear connection
low_color_contrast,34,black color | black-to-white/color gradient | blue color | clear color uses | color details
random_color_usage,34,black color | black-to-white/color gradient | blue color | clear color uses | color details
nonlinear_color_scale,34,black color | black-to-white/color gradient | blue color | clear color uses | clear text/scale/information
complex_color_arrangement,34,black color | black-to-white/color gradient | blue color | clear color uses | clear text arrangement/density
varying_size_of_shapes,33,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
multiple_colors_mixed,33,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
single_color_used,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
use_of_color_aids_clarity,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
too_many_lines,33,amount of / too many colors | bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines
varied_color_distribution,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
values_separated_by_color,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
many_data_points_present,33,amount of / too many colors | clustered data/info | data intersection | data trend | dense points/lines/shapes/elements
many_lines_present,33,amount of / too many colors | bars as individual lines | curved lines | dense points/lines/shapes/elements | few lines
too_many_data_points,33,amount of / too many colors | clustered data/info | data intersection | data trend | dense points/lines/shapes/elements
high_color_contrast,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
bad_contrast_color_choice,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
segmented_color_regions,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
weird_color_contrast,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
different_shapes_and_sizes,33,abstract shapes or colors | categorized shapes | clear colors/shapes | curves and shapes | dense points/lines/shapes/elements
single_color_only,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
many_data_points,33,amount of / too many colors | clustered data/info | data intersection | data trend | dense points/lines/shapes/elements
appealing_color_choices,33,appealing colors | black color | black-to-white/color gradient | blue color | clear color uses
overlapping_color_superposition,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
strong_color_contrast,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
uneven_color_distribution,33,black color | black-to-white/color gradient | blue color | clear color uses | color details
easy_to_read_axis,33,axis meaning | axis numbers | axis scales | clear title/axis/label | description easy to read
separate_color_scale,33,black color | black-to-white/color gradient | blue color | clear color uses | clear text/scale/information
increased_color_variety,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
different_colors_confusing,32,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
many_different_elements,32,amount of / too many colors | dense points/lines/shapes/elements | different clarity | different font/word sizes/structure | different labels
totally_arbitrary_color_application,32,arbitrary imaging | black color | black-to-white/color gradient | blue color | clear color uses
background_color_adds_complexity,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
varied_color_formats,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
color_encoding_used,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
black_background_color,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
gradient_color_encoding,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
soft_color_tones,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
complex_color_scheme,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
multiple_unique_colors,32,abstract shapes or colors | ambiguous/confusing colors | amount of / too many colors | appealing colors | blended colors
monochrome_color_used,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
no_color_difference,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
two_color_dimensions,32,black color | black-to-white/color gradient | blue color | clear color uses | color details
