filename,explanation
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries showing two categories (Deceased and Living organ donors). While the number of data points is moderate and the chart uses a clear two-color encoding scheme, the many bars of varying lengths require careful comparison across countries. The layout is clean and well-organized with clear labels, keeping complexity at a moderate level."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level categories each, creating a moderately complex visualization. The numerous categories along the y-axis and the three-segment stacked bars require careful reading, but the consistent color scheme (three colors) and straightforward horizontal layout keep it from being highly complex. The chart is well-organized and readable despite the substantial amount of data presented."
SciVisJ.1025.11.png,"This is a scatter plot with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.). While each point has an individual text label which adds some visual clutter, the overall layout is straightforward with clear axes, no overlapping legends, and a simple grid structure. The moderate number of points and their labels create a mid-low level of complexity."
visMost97.png,"This is a simple infographic showing a world map with continents color-coded and labeled with population proportions. It has only 5 data points, minimal text, clean layout, and uses basic flat colors with no gridlines, axes, or dense data elements. The overall design is very clean and easy to parse at a glance."
wsj135.png,"This is a relatively straightforward grouped bar chart with two color-coded categories (refinance and home purchase) across 12 time periods. The layout is clean with clear labels, annotations, and a simple color scheme of green and orange. While there are a moderate number of bars (~24), the overall design is uncluttered with minimal gridlines and well-organized annotations."
InfoVisC.133.5(3).png,"This is a parallel sets/alluvial diagram showing relationships between Class (1st, 2nd), Sex (male, female), and Survived (no, yes). The overlapping colored ribbons create moderate visual complexity with crossing flows between categories. While the structure has only three variables with two categories each, the intersecting semi-transparent bands and color mixing add perceptual complexity."
whoQ44_4.png,"This is a stacked area chart with 8 categories (countries) shown over 12 time points. The overlapping shaded areas in similar brown/tan tones create moderate visual complexity, as distinguishing between adjacent layers requires some effort. However, the chart has a clean layout, clear labels, and a straightforward structure that keeps it from being highly complex."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) containing roughly 100-150 data points total. The visualization is relatively simple with no axes, labels, gridlines, or legends, just scattered dots within a dashed border. The moderate number of points and their spatial separation into distinct clusters keeps complexity at a moderate-low level."
wsj603.png,"This line chart shows two time series (10-year Treasury note and 10-year TIPS) with moderate complexity. The lines themselves are detailed and jagged, showing daily fluctuations over several years. The chart includes several annotated callout boxes, a shaded spread area, and descriptive text, adding to the visual density, but the overall layout with just two lines and a clear color scheme keeps it from being highly complex."
InfoVisJ.619.17.png,"This biplot/PCA-style scatter visualization has moderate-to-high complexity. It features numerous data points with color encoding (continuous gradient from black to orange representing calorie values), varying point sizes, multiple labeled arrows indicating variable loadings (Fat, Sugar, Calories, Sodium), a regression/axis line with tick marks and numerical labels, dotted reference circles, and specific data point annotations (Puffed rice, All-Bran with Extra Fiber). The overlapping elements and multiple encoding channels create significant perceptual demand."
