topic,topic_abbrev,subtopic,description,n_phrases,total_count,total_score,max_vistypes,n_orig_keywords,phrases,orig_keywords_sample
Data Density / Image Clutter,DDIC,Information Volume,"The perceived amount, richness, or depth of data content in the image — ranging from sparse/simple to dense/layered information.",2,164,1431,9,20,much/little data/info; more parameters/variables,clustered data/info; diverse information; fine/layered details; large dataset; less detailed/things; little data/info; many measurements; mixed timeline; more detailed/things; more nuance information; more parameters/variables; much/little data/info; much/more data/info/info spread; multi-year information; no data
Data Density / Image Clutter,DDIC,Element Quantity,"The number of discrete graphical elements (points, lines, bars, shapes, subplots) present in the image.",2,143,1263,9,19,"more charts/points/lines/shapes/elements; scattered shapes (e.g., dots, squares, pictures)","dense points/lines/shapes/elements; few points/lines/shapes/elements; many points/lines/shapes/elements; many/more data/info; more charts/points/lines/shapes/elements; more forms; more pixels; multiple aspects; multiple features/elements/graphs; multiple interacting elements; multiple points/lines/shapes/elements; multiple shapes; scattered shapes (e.g., dots, squares, pictures); too many details/divisions; too many points/lines/shapes/elements"
Data Density / Image Clutter,DDIC,Visual Clutter & Overlap,"Spatial density, overlapping elements, layout congestion, and use (or lack) of whitespace.",2,69,603,9,14,overlapping shapes/colors/lines; more regions/space,cluttered labels/annotations; complex design; concentrated; convoluted composition; dense/cluttered data/info; dense/cluttered layout; dense/cluttered shape; information overload; less empty space; less negative space; messy/mixed up/noisy/intermingled elements; more regions/space; negative space; overlapping shapes/colors/lines
Visual Encoding Clarity,VEC,Graphical Forms & Primitives,"The variety, type, and physical attributes of shapes, lines, and mark types used to encode data — including size, thickness, curvature, and regularity of forms.",7,166,1349,9,60,shapes and lines; shape variation; shape size; shape increase/decrease point; random-like shapes; simple visual elements; several elements,bars as individual lines; categorized shapes; change over time; colored shape; crop production shown; curved lines; curves and shapes; element sizes; error bars; exact feature; exact value; few lines; horizontal bars; image size; indistinguishable/unintuitive lines
Visual Encoding Clarity,VEC,"Position, Scale & Organization","Spatial layout, alignment, ordering, scale consistency, and structural organization of visual encodings.",4,13,43,4,4,scale difference; shape position; ordered; less organized elements,less organized elements; ordered; scale difference; shape position
Visual Encoding Clarity,VEC,Encoding Interpretability,"Whether visual encodings convey clear, decodable meaning — including recognizability of marks, design-data correspondence, and ease of identifying data features.",4,19,82,5,5,clear colors/shapes; understand/read shapes; shape point of interest; design-data relationship,clear colors/shapes; design-data relationship; precision of aspect; shape point of interest; understand/read shapes
Semantics / Text Legibility,STL,Annotations & Labels,"Presence, clarity, and sufficiency of titles, axis labels, legends, captions, and measurement references.",3,142,1230,9,31,labels/axes/legends; more labels/context; clear text/scale/information,almost no explanation; axis meaning; axis numbers; axis scales; captions; clear text/scale/information; clear title/axis/label; dates; different labels; explanatory legend; eye-catching description; highlighted words; label meaning; labeled axis; labels/axes/legends
Semantics / Text Legibility,STL,Text Volume & Content,"The quantity of text, numbers, or contextual descriptions present in the image.",2,90,786,9,20,amount of words/context/numbers; little/less text/numbers/context,ambiguous numbers; amount of words/context/numbers; code/text; context/text/description; involves numbers; little/less text/numbers/context; many numbers; more numbers; more text boxes; more texts/words; numbers and shapes; text; text and imagery; text on picture; text ratio
Semantics / Text Legibility,STL,Typography & Readability,"Font size, rotation, structure, spatial arrangement, and visual clarity of text elements.",2,57,441,8,16,word rotation/small font size; clear text arrangement/density,clear text arrangement/density; description; detailed inscription; different font/word sizes/structure; easier to read; explanation text; font; hierarchical text; order of words; readability; single font; small; small and simple; text hard to read; word misoriented
Schema,SCH,Domain Familiarity,"Whether the image requires specialized domain knowledge (e.g., chemistry, biology, geography) or uses unfamiliar or specialized representational conventions.",1,177,1593,9,29,"domain-specific concepts (e.g., chemical, biology, map)","a specific domain; a specific technique; a specific technique, e.g., bar, pie, circle; arbitrary imaging; context; domain-specific concepts (e.g., chemical, biology, map); drawing style; factual information; familiar representation; field information; graph; graphical information; infomration representation; information nuance expressed; metric representation"
