VisType,topic,original_phrase,image_count,humanCurated_phrase,final_subtopic_phrase
Area,Aesthetics Uncertainty,unclear colors/contrast,1,unclear colors/contrast,unclear colors/contrast
Area,Aesthetics Uncertainty,distracting/confusing/unclear,3,distracting/confusing/unclear,distracting/confusing/unclear
Area,Aesthetics Uncertainty,looks random/messy/lack structure,3,distracting/confusing/unclear,distracting/confusing/unclear
Area,Aesthetics Uncertainty,visual clarity/appealing,1,distracting/confusing/unclear,distracting/confusing/unclear
Area,"Color, Symbol, and Texture Details",indicating symbols,1,symbols,symbols
Area,"Color, Symbol, and Texture Details",drawing style,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Area,"Color, Symbol, and Texture Details",amount of / too many colors,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",bold colors,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color details,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color keys,3,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color represents sounds,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color shading,3,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color superposition/layer,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,16,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",intense/too many colors,2,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",more colors,1,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",too many colors,2,color variety/shading,color variety/shading
Area,"Color, Symbol, and Texture Details",ambiguous/confusing colors,2,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",good color contrast/separation/segmentation,2,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,3,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",unclear color meaning,2,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",unclear coloring,3,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",unclear colormaps,7,color contrast/clarity,color contrast/clarity
Area,"Color, Symbol, and Texture Details",bright colors,2,bright colors,
Area,"Color, Symbol, and Texture Details",distinguishable color variety/arrangement/distribution,2,distinguishable color variety/arrangement/distribution,
Area,"Color, Symbol, and Texture Details",inadequate/few coloring,1,inadequate/few coloring,
Area,"Color, Symbol, and Texture Details",soft/layered/overlapping colors,4,soft/layered/overlapping colors,
Area,"Color, Symbol, and Texture Details",white/black background / other background,1,white/black background / other background,
Area,Data Density / Image Clutter,more to read/analyze/understand,1,take longer to interpret,take longer to interpret
Area,Data Density / Image Clutter,shape-color mix,1,shapes and lines,shapes and lines
Area,Data Density / Image Clutter,concentrated,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Area,Data Density / Image Clutter,dense/cluttered data/info,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Area,Data Density / Image Clutter,dense/cluttered layout,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Area,Data Density / Image Clutter,overlapping shapes/colors/lines,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Area,Data Density / Image Clutter,diverse information,1,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,large dataset,1,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,more detailed/things,6,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,much/more data/info/info spread,9,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,simple information,1,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,too much data/info,1,much/little data/info,much/little data/info
Area,Data Density / Image Clutter,many points/lines/shapes/elements,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Data Density / Image Clutter,many/more data/info,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Data Density / Image Clutter,more charts/points/lines/shapes/elements,7,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Data Density / Image Clutter,multiple features/elements/graphs,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Data Density / Image Clutter,too many details/divisions,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Area,Data Density / Image Clutter,disposition,1,2D/3D,2D/3D
Area,Data Density / Image Clutter,organized/structured,1,2D/3D,2D/3D
Area,Data Density / Image Clutter,more parameters/variables,3,more parameters/variables,
Area,Data Density / Image Clutter,more regions/space,1,more regions/space,
Area,Immediacy / Cognitive Load,unclear meaning/confusing,4,unclear meaning/confusing,unclear meaning/confusing
Area,Immediacy / Cognitive Load,unclear where to look/what to see,1,unclear meaning/confusing,unclear meaning/confusing
Area,Immediacy / Cognitive Load,more to read/analyze/understand,3,take longer to interpret,take longer to interpret
Area,Immediacy / Cognitive Load,provokes thought and understanding,1,take longer to interpret,take longer to interpret
Area,Immediacy / Cognitive Load,take longer to interpret,5,take longer to interpret,take longer to interpret
Area,Immediacy / Cognitive Load,complicated to process,1,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,easier to interpret/read/understand,8,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,easier to process/visualize,5,easy/hard to interpret,easy/hard to interpret
Area,Immediacy / Cognitive Load,easy to derive meaning,1,easy/hard to interpret,easy/hard to interpret
