section,subcategory,term,n_images
visual_attributes,aesthetics_uncertainty,high_visual_busyness,2
visual_attributes,aesthetics_uncertainty,initially_visually_attractive,2
visual_attributes,aesthetics_uncertainty,reduced_white_space,2
visual_attributes,aesthetics_uncertainty,visually_busy_layout,2
visual_attributes,aesthetics_uncertainty,visually_cluttered_overlap,2
visual_attributes,aesthetics_uncertainty,visually_overwhelming_layout,2
visual_attributes,aesthetics_uncertainty,alignment_ambiguous,1
visual_attributes,aesthetics_uncertainty,appears_less_important,1
visual_attributes,aesthetics_uncertainty,asymmetrical_layout,1
visual_attributes,aesthetics_uncertainty,background_color_adds_complexity,1
visual_attributes,aesthetics_uncertainty,black_background_color,1
visual_attributes,aesthetics_uncertainty,blurred_appearance,1
visual_attributes,aesthetics_uncertainty,blurring_applied,1
visual_attributes,aesthetics_uncertainty,busier_layout,1
visual_attributes,aesthetics_uncertainty,causes_visual_blur,1
visual_attributes,aesthetics_uncertainty,chaotic_visual_appearance,1
visual_attributes,aesthetics_uncertainty,clean_lines,1
visual_attributes,aesthetics_uncertainty,clean_visual_appearance,1
visual_attributes,aesthetics_uncertainty,clear_and_clean_layout,1
visual_attributes,aesthetics_uncertainty,clear_and_concise_layout,1
visual_attributes,aesthetics_uncertainty,clear_layout,1
visual_attributes,aesthetics_uncertainty,close_proximity_of_items,1
visual_attributes,aesthetics_uncertainty,cluttered_appearance,1
visual_attributes,aesthetics_uncertainty,cluttered_screen_layout,1
visual_attributes,aesthetics_uncertainty,cohesive_whole,1
visual_attributes,aesthetics_uncertainty,colors_draw_attention,1
visual_attributes,aesthetics_uncertainty,colors_harder_to_look_at,1
visual_attributes,aesthetics_uncertainty,comfortable_visual_appearance,1
visual_attributes,aesthetics_uncertainty,complex_element_positioning,1
visual_attributes,aesthetics_uncertainty,complicated_to_look_at,1
visual_attributes,aesthetics_uncertainty,composition_more_convoluted,1
visual_attributes,aesthetics_uncertainty,confusing_layout,1
visual_attributes,aesthetics_uncertainty,content_hard_to_see,1
visual_attributes,aesthetics_uncertainty,crowded_overlapping_elements,1
visual_attributes,aesthetics_uncertainty,crude_informal_appearance,1
visual_attributes,aesthetics_uncertainty,dense_element_clutter,1
visual_attributes,aesthetics_uncertainty,different_colors_confusing,1
visual_attributes,aesthetics_uncertainty,difficult_to_focus_on,1
visual_attributes,aesthetics_uncertainty,diffuse_distribution,1
visual_attributes,aesthetics_uncertainty,disordered_arrangement,1
visual_attributes,aesthetics_uncertainty,disorganised_layout,1
visual_attributes,aesthetics_uncertainty,dots_scattered_widely,1
visual_attributes,aesthetics_uncertainty,elements_do_not_make_sense,1
visual_attributes,aesthetics_uncertainty,excessive_white_space,1
visual_attributes,aesthetics_uncertainty,excessively_dark,1
visual_attributes,aesthetics_uncertainty,eye_straining_palette,1
visual_attributes,aesthetics_uncertainty,generally_complex_layout,1
visual_attributes,aesthetics_uncertainty,grabs_visual_attention,1
visual_attributes,aesthetics_uncertainty,hard_to_focus_eyes,1
visual_attributes,aesthetics_uncertainty,harder_to_distinguish,1
visual_attributes,aesthetics_uncertainty,harder_to_see,1
visual_attributes,aesthetics_uncertainty,harsh_red_color,1
visual_attributes,aesthetics_uncertainty,high_detail_content,1
visual_attributes,aesthetics_uncertainty,high_pixel_density,1
visual_attributes,aesthetics_uncertainty,high_visual_clutter,1
visual_attributes,aesthetics_uncertainty,high_visual_noise,1
visual_attributes,aesthetics_uncertainty,high_visual_strain,1
visual_attributes,aesthetics_uncertainty,illogical_organization,1
visual_attributes,aesthetics_uncertainty,image_is_blurry,1
visual_attributes,aesthetics_uncertainty,inconsistent_text_arrangement,1
visual_attributes,aesthetics_uncertainty,introduces_visual_uncertainty,1
visual_attributes,aesthetics_uncertainty,irregular_empty_spaces,1
visual_attributes,aesthetics_uncertainty,jumbled_arrangement,1
visual_attributes,aesthetics_uncertainty,jumbled_visual_arrangement,1
visual_attributes,aesthetics_uncertainty,lacks_visual_clarity,1
visual_attributes,aesthetics_uncertainty,large_image_size,1
visual_attributes,aesthetics_uncertainty,large_overall_size,1
visual_attributes,aesthetics_uncertainty,less_attractive_appearance,1
visual_attributes,aesthetics_uncertainty,less_elements_overall,1
visual_attributes,aesthetics_uncertainty,less_visually_appealing,1
visual_attributes,aesthetics_uncertainty,lines_cross_each_other,1
visual_attributes,aesthetics_uncertainty,lines_crossing_each_other,1
visual_attributes,aesthetics_uncertainty,low_detail_overall,1
visual_attributes,aesthetics_uncertainty,low_visual_clutter,1
visual_attributes,aesthetics_uncertainty,many_elements_present,1
visual_attributes,aesthetics_uncertainty,messy_and_confusing,1
visual_attributes,aesthetics_uncertainty,messy_arrangement,1
visual_attributes,aesthetics_uncertainty,messy_disorganized_layout,1
visual_attributes,aesthetics_uncertainty,messy_overall_layout,1
visual_attributes,aesthetics_uncertainty,messy_visual_layout,1
visual_attributes,aesthetics_uncertainty,mixed_up_arrangement,1
visual_attributes,aesthetics_uncertainty,more_cluttered_layout,1
visual_attributes,aesthetics_uncertainty,more_visually_pleasing,1
visual_attributes,aesthetics_uncertainty,multiple_areas_of_interest,1
visual_attributes,aesthetics_uncertainty,multiple_visual_cues_present,1
visual_attributes,aesthetics_uncertainty,no_clear_pattern,1
visual_attributes,aesthetics_uncertainty,no_discernible_patterns,1
visual_attributes,aesthetics_uncertainty,no_font_differentiation,1
visual_attributes,aesthetics_uncertainty,no_regularity_in_design,1
visual_attributes,aesthetics_uncertainty,organized_layout,1
visual_attributes,aesthetics_uncertainty,organized_structured_layout,1
visual_attributes,aesthetics_uncertainty,overall_pleasing_pattern,1
visual_attributes,aesthetics_uncertainty,overlapping_circle_areas,1
visual_attributes,aesthetics_uncertainty,overlapping_color_superposition,1
visual_attributes,aesthetics_uncertainty,overlapping_shape_complexity,1
visual_attributes,aesthetics_uncertainty,overwhelming_first_impression,1
visual_attributes,aesthetics_uncertainty,pattern_interpretation_uncertain,1
visual_attributes,aesthetics_uncertainty,poor_visual_design,1
visual_attributes,aesthetics_uncertainty,positioned_close_to_data,1
visual_attributes,aesthetics_uncertainty,random_collection_layout,1
visual_attributes,aesthetics_uncertainty,resembles_abstract_painting,1
visual_attributes,aesthetics_uncertainty,scattered_all_over,1
visual_attributes,aesthetics_uncertainty,seemed_more_complicated,1
visual_attributes,aesthetics_uncertainty,several_visual_elements,1
visual_attributes,aesthetics_uncertainty,simple_design,1
visual_attributes,aesthetics_uncertainty,simplistic_design,1
visual_attributes,aesthetics_uncertainty,small_detail_elements,1
visual_attributes,aesthetics_uncertainty,small_fine_details,1
visual_attributes,aesthetics_uncertainty,spread_out_distribution,1
visual_attributes,aesthetics_uncertainty,stacked_on_each_other,1
visual_attributes,aesthetics_uncertainty,strains_vision,1
visual_attributes,aesthetics_uncertainty,too_close_to_visualization,1
visual_attributes,aesthetics_uncertainty,too_cramped,1
visual_attributes,aesthetics_uncertainty,too_dark,1
visual_attributes,aesthetics_uncertainty,too_dense_to_read,1
visual_attributes,aesthetics_uncertainty,too_tiny_to_read,1
visual_attributes,aesthetics_uncertainty,ugly_irregular_calligraphy,1
visual_attributes,aesthetics_uncertainty,uneven_irregular_shape,1
visual_attributes,aesthetics_uncertainty,uniform_visual_design,1
visual_attributes,aesthetics_uncertainty,untidy_disorganized_layout,1
visual_attributes,aesthetics_uncertainty,very_busy_layout,1
visual_attributes,aesthetics_uncertainty,visually_ambiguous_marks,1
visual_attributes,aesthetics_uncertainty,visually_appealing,1
visual_attributes,aesthetics_uncertainty,visually_busy,1
visual_attributes,aesthetics_uncertainty,visually_clean_layout,1
visual_attributes,aesthetics_uncertainty,visually_cluttered,1
visual_attributes,aesthetics_uncertainty,visually_cluttered_marks,1
visual_attributes,aesthetics_uncertainty,visually_complex_overall,1
visual_attributes,aesthetics_uncertainty,visually_confusing_layout,1
visual_attributes,aesthetics_uncertainty,visually_dense_overall,1
visual_attributes,aesthetics_uncertainty,visually_intricate_network,1
visual_attributes,aesthetics_uncertainty,visually_messy_layout,1
visual_attributes,aesthetics_uncertainty,visually_more_details,1
visual_attributes,aesthetics_uncertainty,visually_noisy,1
visual_attributes,aesthetics_uncertainty,visually_painful_to_view,1
