imageName,imageURL,isAnchor,VisType,NormalizedVC,originalPhrases,human_topics,llm_topics_V0T,llm_topics_V0TW,llm_topics_V1_t0,OAR_B,OAR_V1,OAR_V2
InfoVisJ.1236.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1236.13.png,False,Area,0.53,frame with values; scale,text_annotation; domain_schema,data_density; color_symbol; cognitive_load,data_density; color_symbol; visual_encoding,color_symbol; visual_encoding; data_density,objs: frame; scale; chart | attrs: frame:provides_value_reference[-]; scale:aids_data_interpretation[-]; scale:clear_numeric_scale[-] | rels: frame -reduces_ambiguity_of-> chart [-]; scale -supports_reading_of-> chart [-],objs: choropleth_map; cartogram; region_labels; color_regions; grid_squares; numeric_annotations; background | attrs: choropleth_map:irregular_polygon_shapes[+]; cartogram:grid_based_tile_layout[+]; region_labels:multiple_numeric_labels[+]; color_regions:high_color_variety[+]; grid_squares:dense_square_grid[+]; numeric_annotations:small_crowded_numbers[+]; cartogram:abstract_geographic_encoding[+] | rels: choropleth_map -paired_with-> cartogram [+]; color_regions -shared_across-> grid_squares [-]; numeric_annotations -annotates-> choropleth_map [+]; choropleth_map -encodes_same_data_as-> cartogram [+]; grid_squares -increases_clutter_in-> cartogram [+],objs: choropleth_map; tile_grid_map; region_labels; color_regions; square_tiles | attrs: choropleth_map:irregular_geographic_shapes[+]; tile_grid_map:uniform_grid_encoding[-]; region_labels:numeric_labels_dense[+]; color_regions:many_distinct_colors[+]; square_tiles:repeated_small_square_marks[+] | rels: choropleth_map -paired_with-> tile_grid_map [+]; region_labels -annotates-> choropleth_map [+]; color_regions -encodes_regions_in-> choropleth_map [+]; square_tiles -spatially_approximates-> choropleth_map [-]; tile_grid_map -increases_clutter_vs-> choropleth_map [+]
InfoVisJ.2402.12(1).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2402.12(1).png,False,Area,0.88,size growing small; colors distribution; not familiar with; a multitude of observations; differnent sizes/figures; different colors,data_density; visual_encoding; domain_schema; color_symbol,data_density; cognitive_load; domain_schema,data_density; cognitive_load; domain_schema,data_density; cognitive_load; aesthetic_order,objs: chart; data_points; color_encoding; size_encoding; figures | attrs: data_points:multitude_of_observations[+]; color_encoding:colors_distribution_varied[+]; color_encoding:different_colors_present[-]; size_encoding:size_growing_small[-]; figures:different_sizes_figures[+]; chart:unfamiliar_chart_type[+] | rels: size_encoding -encodes_via-> data_points [-]; color_encoding -distributed_across-> data_points [+]; figures -contributes_to_clutter_in-> chart [+]; chart -requires_domain_knowledge_for-> data_points [+],objs: grid_matrix; green_cells; cyan_cells; gray_cells; dense_text_rows; top_band; bottom_band | attrs: grid_matrix:extremely_high_element_count[+]; green_cells:sparse_accent_color_clusters[+]; cyan_cells:scattered_cyan_highlights[+]; gray_cells:dominant_monochrome_background[-]; dense_text_rows:illegible_micro_text[+]; top_band:larger_cell_size_top[-]; bottom_band:extremely_fine_dense_rows[+] | rels: top_band -transitions_to_finer_grid-> bottom_band [+]; green_cells -contrasts_against-> gray_cells [+]; cyan_cells -scattered_within-> grid_matrix [+]; dense_text_rows -overwhelms_readability_of-> grid_matrix [+]; grid_matrix -requires_domain_knowledge_to_interpret-> dense_text_rows [+],objs: grid_matrix; green_cells; cyan_cells; gray_cells; dense_lower_region | attrs: grid_matrix:extremely_high_cell_density[+]; green_cells:sparse_accent_color_highlights[-]; cyan_cells:vivid_contrasting_color[+]; gray_cells:dominant_monotone_background[-]; dense_lower_region:illegibly_small_elements[+]; grid_matrix:no_axis_labels_present[+]; grid_matrix:overwhelming_visual_complexity[+] | rels: green_cells -contrasts_against-> gray_cells [-]; cyan_cells -stands_out_within-> grid_matrix [+]; dense_lower_region -increases_clutter_of-> grid_matrix [+]; gray_cells -dominates_area_of-> grid_matrix [+]; grid_matrix -requires_high_effort_to_interpret-> dense_lower_region [+]
economist_daily_chart_153.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_153.png,False,Area,0.53,softer; more pleasant; easier to read and comprehend,color_symbol; aesthetic_order; cognitive_load,data_density; visual_encoding; color_symbol,data_density; visual_encoding; cognitive_load,data_density; visual_encoding; cognitive_load,objs: chart; color_palette; text_labels; visual_encoding | attrs: color_palette:soft_color_tones[-]; color_palette:pleasant_visual_appearance[-]; text_labels:easy_to_read[-]; visual_encoding:easy_to_comprehend[-] | rels: color_palette -reduces_clutter_in-> chart [-]; visual_encoding -supports_comprehension_of-> chart [-]; color_palette -enhances_legibility_of-> text_labels [-],objs: title; stacked_area_chart; legend; x_axis; y_axis; source_annotation; flood_layer | attrs: stacked_area_chart:three_stacked_layers[+]; stacked_area_chart:high_temporal_variability[+]; legend:three_distinct_categories[+]; x_axis:dense_year_labels[+]; stacked_area_chart:overlapping_area_fills[+]; flood_layer:dominant_bright_cyan_color[-]; title:clear_descriptive_title[-] | rels: stacked_area_chart -encodes_three_disaster_types-> legend [+]; legend -differentiates_via_color-> stacked_area_chart [-]; x_axis -spans_range-> stacked_area_chart [-]; stacked_area_chart -shows_upward_trend_over-> x_axis [-]; source_annotation -attributes_data_to-> title [-],objs: stacked_area_chart; title; legend; x_axis; y_axis; source_annotation | attrs: stacked_area_chart:three_layered_color_bands[+]; stacked_area_chart:moderate_data_density[+]; legend:three_distinct_categories[+]; x_axis:clearly_labeled_years[-]; title:descriptive_readable_title[-]; stacked_area_chart:overlapping_area_layers[+] | rels: stacked_area_chart -encoded_with-> legend [-]; stacked_area_chart -bounded_by-> x_axis [-]; stacked_area_chart -bounded_by-> y_axis [-]; title -contextualizes-> stacked_area_chart [-]
v488_n7412_9_f1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v488_n7412_9_f1.png,False,Area,0.67,more images,data_density,data_density; color_symbol; domain_schema,data_density; color_symbol; domain_schema,visual_encoding; domain_schema; data_density,objs: visualization; image_panel; layout | attrs: image_panel:multiple_images_present[+]; layout:high_panel_count[+]; visualization:increased_visual_elements[+] | rels: image_panel -increases_clutter_in-> visualization [+]; layout -contains_many-> image_panel [+],objs: map_background; colored_circles; color_legend; size_legend; region_labels; river_lines; boundary_lines | attrs: colored_circles:many_overlapping_symbols[+]; colored_circles:dual_encoding_color_size[+]; color_legend:diverging_color_scale[+]; region_labels:multiple_numeric_annotations[+]; map_background:geographic_domain_knowledge_required[+]; river_lines:multiple_line_types_present[+]; boundary_lines:dashed_boundary_overlaps_data[+] | rels: colored_circles -encoded_by-> color_legend [+]; colored_circles -sized_by-> size_legend [+]; region_labels -annotates-> colored_circles [+]; colored_circles -overlaps_with-> boundary_lines [+]; river_lines -adds_visual_layer_to-> map_background [+],objs: map; colored_circles; legend; geographic_labels; boundary_lines; color_scale_bar; axis_labels | attrs: colored_circles:varied_color_and_size[+]; colored_circles:dense_spatial_distribution[+]; legend:multi_element_legend[+]; map:domain_specific_geographic_context[+]; geographic_labels:numerous_overlapping_labels[+]; color_scale_bar:continuous_color_gradient_encoding[+]; boundary_lines:multiple_line_styles_used[+] | rels: colored_circles -overlaid_on-> map [+]; color_scale_bar -encodes_values_of-> colored_circles [-]; legend -clarifies_meaning_of-> colored_circles [-]; geographic_labels -increases_clutter_in-> map [+]; boundary_lines -delineates_regions_on-> map [+]
visMost573.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost573.png,False,Area,0.77,circles; clearly link to legend; image legend; multiple figures; Intense colors; smaller icons; hard to understand; stared to understand; overlapping colors; More text; Background color; More overlapping colors; Overlapping circles; size of circles; explanation text; legend; Lots of colors; Description easy to read; Key is easy to understand; Labels are clear; overlap of different colors; number of items on the legend; different colors; many colors; Text is small; not straight to the point; Too many circles; circles and colors mixed together; Use of ambiguous colors; difficult to discern; multiple features; overlapping features; large key; several more colors; To many colors; Text is to small; easier to visualize; cluttered; looked confusing; complicated at first glance; glean information instantly; more colors; ambiguous colors; image layout; more difficult; saw it multiple times; images about black holes; quite difficult for me; density of information; overlap of circle areas; number of colors; text is too small; less accessible and comprehensible; amount of information; disposition; color superposition; harder to decipher; difficult to read; abstract painting; circles of various sizes; visual elements relatively simple; text labels; colors to represent sounds; Jerusalem; more packed with information; color more layered; much less clear; Overlapping; Different size of circles; easier to decipher,data_density; visual_encoding; text_annotation; domain_schema; color_symbol; aesthetic_order; cognitive_load,data_density; color_symbol; cognitive_load,data_density; color_symbol; cognitive_load,color_symbol; visual_encoding; data_density,objs: circles; legend; text_labels; colors; background; explanation_text | attrs: circles:overlapping_various_sizes[+]; circles:too_many_circles[+]; legend:clearly_links_to_data[-]; legend:large_key_easy_to_understand[-]; text_labels:text_too_small[+]; colors:many_intense_ambiguous_colors[+]; background:background_color_adds_complexity[+]; explanation_text:not_straight_to_point[+] | rels: circles -overlap_creating_color_superposition-> colors [+]; circles -mixed_with-> colors [+]; legend -reduces_difficulty_of-> circles [-]; text_labels -difficult_to_read_within-> circles [+]; colors -layered_over-> circles [+],objs: concentric_circles; legend; title; road_network; landmark_labels; descriptive_text; old_city_boundary | attrs: concentric_circles:heavily_overlapping_circles[+]; concentric_circles:multiple_colors_encoding_sounds[+]; legend:many_legend_entries[+]; legend:combined_color_swatches[+]; title:clear_descriptive_title[-]; concentric_circles:abstract_sound_representation[+]; descriptive_text:dense_explanatory_paragraph[+] | rels: concentric_circles -overlaps_creating_clutter-> old_city_boundary [+]; legend -explains_encoding_of-> concentric_circles [-]; concentric_circles -requires_legend_to_interpret-> legend [+]; road_network -underlies_and_organizes-> concentric_circles [-]; landmark_labels -anchors_locations_within-> concentric_circles [-],objs: concentric_circles; legend; title_block; road_network; place_labels; color_fills | attrs: concentric_circles:heavily_overlapping_rings[+]; concentric_circles:multiple_radial_encodings[+]; legend:extensive_legend_entries[+]; color_fills:many_distinct_hues[+]; title_block:descriptive_subtitle_present[-]; road_network:thin_white_road_lines[-] | rels: concentric_circles -overlaps_with-> color_fills [+]; legend -decodes_colors_of-> color_fills [-]; concentric_circles -obscures-> road_network [+]; place_labels -anchors_locations_in-> concentric_circles [-]; legend -increases_reading_effort_for-> title_block [+]
visMost97.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost97.png,False,Area,0.38,common knowledge; distinguished/distinctive colors; simple information; easy to understand,data_density; domain_schema; color_symbol; cognitive_load,visual_encoding; color_symbol; cognitive_load,data_density; visual_encoding; cognitive_load,color_symbol; text_annotation; visual_encoding,objs: chart; color_encoding; data_content; legend | attrs: data_content:simple_information[-]; chart:easy_to_understand[-]; chart:common_knowledge_domain[-]; color_encoding:distinctive_colors_used[-] | rels: color_encoding -aids_interpretation_of-> data_content [-]; legend -reinforces_clarity_of-> color_encoding [-]; data_content -reduces_cognitive_load_of-> chart [-],objs: title; world_map; asia_region; americas_region; africa_region; europe_region; data_labels | attrs: title:bold_large_typography[-]; world_map:five_distinct_colors[+]; asia_region:dominant_green_largest_area[+]; data_labels:numeric_labels_with_text[-]; world_map:simplified_continent_shapes[-]; data_labels:five_annotated_categories[-]; world_map:clean_uncluttered_layout[-] | rels: asia_region -size_encodes_value-> data_labels [+]; data_labels -annotates_with_leader_lines-> world_map [-]; world_map -uses_color_to_distinguish-> europe_region [-]; title -provides_context_for-> world_map [-]; americas_region -visually_contrasts_with-> asia_region [-],objs: title; world_map; continent_labels; color_regions; subtitle_text | attrs: title:bold_large_font[-]; world_map:simplified_map_shape[-]; continent_labels:clear_numeric_annotations[-]; color_regions:five_distinct_colors[-]; world_map:proportional_size_encoding[-]; continent_labels:low_text_density[-] | rels: color_regions -color_encodes-> continent_labels [-]; continent_labels -annotates-> world_map [-]; subtitle_text -provides_context_for-> title [-]; world_map -supports_interpretation_of-> continent_labels [-]
whoQ44_4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ44_4.png,False,Area,0.52,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,data_density; visual_encoding; text_annotation; domain_schema; color_symbol; cognitive_load,color_symbol; data_density; text_annotation,color_symbol; data_density; cognitive_load,data_density; color_symbol; visual_encoding,objs: chart; data_elements; legend; color_encoding; numeric_labels; shapes; variables | attrs: chart:data_in_different_format[+]; chart:clear_and_clean_layout[-]; chart:quicker_easier_to_process[-]; data_elements:more_information_present[+]; color_encoding:colors_difficult_to_distinguish[+]; color_encoding:variations_of_shade[+]; numeric_labels:large_numbers_present[+]; shapes:shapes_more_complex[+] | rels: legend -increases_cognitive_load-> chart [+]; color_encoding -makes_reading_more_difficult-> data_elements [+]; variables -contributes_to_clutter-> chart [+]; shapes -increases_number_of_graphic_elements-> data_elements [+]; numeric_labels -aids_readability-> chart [-],objs: title; legend; stacked_area_chart; x_axis; y_axis; color_bands | attrs: title:multi_line_verbose_text[+]; legend:eight_country_entries[+]; stacked_area_chart:multiple_overlapping_layers[+]; color_bands:similar_warm_hue_range[+]; x_axis:twelve_year_tick_labels[+]; y_axis:large_numeric_scale_values[+]; stacked_area_chart:steeply_rising_trend[-] | rels: legend -distinguishes_layers_in-> stacked_area_chart [+]; color_bands -low_contrast_between_bands-> legend [+]; stacked_area_chart -requires_legend_to_decode-> legend [+]; x_axis -provides_temporal_context_for-> stacked_area_chart [-]; title -adds_interpretive_burden_to-> stacked_area_chart [+],objs: stacked_area_chart; title; legend; y_axis; x_axis; color_bands | attrs: title:long_multiline_title[+]; legend:eight_country_entries[+]; color_bands:similar_warm_color_palette[+]; color_bands:low_color_contrast_between_bands[+]; y_axis:large_numeric_tick_labels[-]; stacked_area_chart:upward_trend_visible[-] | rels: color_bands -encodes_data_for-> legend [+]; legend -required_to_decode-> color_bands [+]; color_bands -stacked_within-> stacked_area_chart [+]; stacked_area_chart -bounded_by-> x_axis [-]
InfoVisC.211.18.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.211.18.png,False,Bar,0.3,Bar graph; incredibly simple,domain_schema; cognitive_load,visual_encoding; text_annotation; data_density,visual_encoding; data_density; cognitive_load,data_density; visual_encoding; text_annotation,objs: bar_graph; bars; axes | attrs: bar_graph:familiar_chart_type[-]; bar_graph:incredibly_simple_overall[-]; bars:low_visual_complexity[-]; axes:straightforward_encoding[-] | rels: bar_graph -perceived_as-> bars [-]; bars -encoded_on-> axes [-],objs: bar_chart; dominant_bar; small_bars; x_axis_label; y_axis_label; title | attrs: dominant_bar:extremely_tall_dominant_bar[+]; small_bars:rapidly_decreasing_heights[+]; x_axis_label:low_text_legibility[-]; y_axis_label:rotated_axis_label[+]; bar_chart:monochrome_black_bars[-]; title:partially_illegible_title[-]; bar_chart:skewed_distribution_shape[+] | rels: dominant_bar -dominates_over-> small_bars [+]; small_bars -decreases_along-> x_axis_label [-]; bar_chart -requires_inference_for-> y_axis_label [+]; title -poorly_labels-> bar_chart [-],objs: bar_chart; bars; y_axis; x_axis; y_axis_label; x_axis_label; title | attrs: bars:steeply_declining_distribution[-]; bars:monochrome_black_fill[-]; bars:many_bars_present[+]; y_axis_label:rotated_text_hard_to_read[+]; title:low_contrast_faint_text[+]; bar_chart:simple_2d_bar_layout[-] | rels: bars -decreases_rapidly_along-> x_axis [-]; y_axis -labels_magnitude_of-> bars [-]; bars -dominates_visual_space_of-> bar_chart [+]; y_axis_label -describes_encoding_of-> y_axis [-]
VisC.167.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.167.11.png,False,Bar,0.5,bar graph; colors representing groups; get the message of the visualization in 1-2 seconds,domain_schema; color_symbol; cognitive_load,data_density; color_symbol; visual_encoding,data_density; visual_encoding; cognitive_load,data_density; domain_schema; visual_encoding,objs: bar_graph; bars; color_encoding; group_labels | attrs: bar_graph:familiar_chart_type[-]; bars:low_visual_clutter[-]; color_encoding:colors_represent_groups[-]; group_labels:immediately_interpretable_labels[-] | rels: bar_graph -conveys_message_within-> bars [-]; color_encoding -distinguishes-> bars [-]; bar_graph -requires_minimal_cognitive_effort-> group_labels [-],objs: stacked_bar_chart; legend; x_axis; y_axis; x_axis_label; y_axis_label; gridlines | attrs: stacked_bar_chart:many_stacked_bars[+]; stacked_bar_chart:three_color_segments[+]; legend:three_distinct_categories[+]; x_axis:dense_numeric_labels[+]; y_axis:clear_numeric_scale[-]; gridlines:horizontal_gridlines_present[-]; stacked_bar_chart:variable_bar_heights[+] | rels: stacked_bar_chart -encoded_by-> legend [+]; stacked_bar_chart -measured_along-> y_axis [-]; x_axis -labeled_by-> x_axis_label [-]; gridlines -aids_reading_of-> stacked_bar_chart [-]; stacked_bar_chart -peaks_at_midrange_of-> x_axis [+],objs: stacked_bar_chart; legend; x_axis; y_axis; bar_segments | attrs: stacked_bar_chart:many_bars_dense_layout[+]; legend:three_color_categories[+]; bar_segments:three_stacked_color_segments[+]; x_axis:many_numeric_tick_labels[+]; bar_segments:varying_segment_proportions[+] | rels: legend -encodes_categories_in-> bar_segments [-]; bar_segments -stacked_within-> stacked_bar_chart [+]; x_axis -labels_groups_in-> stacked_bar_chart [-]; stacked_bar_chart -requires_comparison_across-> bar_segments [+]
economist_daily_chart_165.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_165.png,False,Bar,0.43,contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,data_density; text_annotation; domain_schema; color_symbol; cognitive_load,data_density; text_annotation; color_symbol,data_density; visual_encoding; cognitive_load,data_density; text_annotation; visual_encoding,objs: chart; data_area; color_encoding; text_labels; legend; title | attrs: chart:contains_more_information[+]; chart:requires_concentration[+]; chart:two_dimensional_layout[-]; chart:understandable_visual[-]; data_area:lot_of_details[+]; data_area:data_easier_to_see[-]; color_encoding:mixes_several_colors[+]; color_encoding:distinct_colors_present[+]; text_labels:clear_text[-]; text_labels:requires_reading[+] | rels: data_area -obscures_visibility_of-> chart [+]; color_encoding -adds_visual_complexity_to-> data_area [+]; text_labels -supports_interpretation_of-> data_area [-]; legend -encodes_meaning_for-> color_encoding [+]; title -contextualizes-> chart [-],objs: title; legend; deceased_bars; living_bars; country_labels; x_axis; source_annotation | attrs: deceased_bars:dark_teal_color_encoding[+]; living_bars:bright_blue_color_encoding[+]; country_labels:nineteen_country_labels[+]; legend:two_category_legend[-]; title:clear_descriptive_title[-]; x_axis:evenly_spaced_gridlines[-]; deceased_bars:stacked_horizontal_bars[+] | rels: deceased_bars -stacked_with-> living_bars [+]; living_bars -extends_beyond-> deceased_bars [+]; country_labels -labels_each_row_of-> deceased_bars [+]; legend -distinguishes_colors_in-> deceased_bars [-]; x_axis -provides_scale_for-> deceased_bars [-],objs: bar_chart; country_labels; legend; title_block; deceased_bars; living_bars; source_annotation | attrs: country_labels:many_country_labels[+]; deceased_bars:dark_teal_fill_color[-]; living_bars:bright_blue_fill_color[-]; bar_chart:nineteen_row_categories[+]; legend:concise_two_item_legend[-]; bar_chart:stacked_horizontal_layout[-] | rels: deceased_bars -visually_contrasts_with-> living_bars [-]; country_labels -aligns_with-> bar_chart [-]; legend -clarifies_encoding_of-> bar_chart [-]; title_block -provides_context_for-> bar_chart [-]
