filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
visMost97.png,"Only 5 data points are displayed, representing population proportions by continent, making this very low density.",The encoding uses a simple geographic map with color-coded continents and numerical labels—straightforward but with some spatial encoding.,"There is a title, subtitle, and five labeled values with continent names, which is a modest but not heavy amount of text.",The concept is easily accessible—world population distribution by continent requires no specialized knowledge.,"Five distinct solid colors (red, blue, green, yellow, light blue) are used for continents, providing clear differentiation but limited complexity.","The layout is clean, spacious, and well-organized with no clutter or overlapping elements.",The infographic is immediately interpretable with minimal cognitive effort required to understand the message.,"This is a simple, clean infographic showing world population distribution by continent using a color-coded map with five data points. The design is minimalist with ample white space, making it very easy to read and interpret. Overall visual complexity is low."
wsj135.png,"The chart shows two series across 12 years with 24 bars total, representing a moderate but not overwhelming amount of data.",Simple grouped bar chart with two color categories and straightforward vertical encoding of values.,"Includes a title, subtitle paragraph, axis labels, source citation, callout annotations for the last year's values, and attribution text.",The domain (mortgage/housing market data) is relatively accessible and does not require specialized knowledge to interpret.,Uses only two distinct colors (green and orange) with clean separation and callout boxes matching the bar colors.,"The layout is clean and well-organized with consistent spacing, minimal clutter, and clear visual hierarchy.","The chart is easy to read with a clear narrative, simple comparisons between two categories over time, and helpful annotations.","This is a clean, well-designed Wall Street Journal bar chart comparing refinance and home purchase mortgages from 2000-2011. The visualization uses a simple grouped bar format with two colors and helpful annotations, making it straightforward to interpret with low overall visual complexity."
economist_daily_chart_165.png,"The chart displays 20 countries with two data series each (deceased and living donors), resulting in 40 data points — moderate density for a bar chart.",Standard horizontal stacked/grouped bar chart with a straightforward linear scale; the encoding is simple and well-understood.,"Country labels on the y-axis, numeric scale on the x-axis, a title, subtitle, legend, and source note provide moderate but not excessive text.",The topic (organ donor rates per million population) is accessible to a general audience and requires no specialized domain expertise.,Only two colors (dark blue and light blue) are used to distinguish deceased vs. living donors — a minimal color palette with no additional symbols or textures.,"The layout is clean and organized, though the 20 rows create a somewhat tall and dense chart; bars are well-separated with no overlap.",Comparisons across countries and between donor types are straightforward; the main cognitive demand is scanning many rows to extract patterns.,"This is a clean, well-organized horizontal bar chart comparing organ donor rates across 20 countries using two categories. The visualization uses a simple encoding scheme with minimal colors and a standard layout, resulting in moderate overall visual complexity."
whoO06_2.png,"The chart displays 19 risk factors each with three stacked segments (high, middle, low income), resulting in 57 data points presented in a single view.",Stacked horizontal bar chart is a moderately complex encoding requiring comparison of segment lengths across categories and between bars.,"There are 19 category labels on the y-axis, a detailed title, axis labels, a legend with three entries, and numeric tick marks on the x-axis.","Understanding DALYs and their attribution to risk factors by income level requires some public health domain knowledge, though the chart format is accessible.","Three distinct colors (dark blue, light purple, peach/orange) are used consistently across all bars with no additional symbols or textures.","The chart is well-organized and sorted by total bar length, but the density of 19 categories creates a moderately crowded vertical space.","Comparing stacked segments across 19 categories requires moderate effort, especially distinguishing relative contributions of income groups within each bar.","This is a stacked horizontal bar chart showing 19 health risk factors and their contribution to global DALYs, broken down by country income level. The chart is well-organized but information-dense, with moderate complexity arising from the number of categories and the stacked encoding requiring cross-bar comparisons."
SciVisJ.1025.11.png,"There are 16 data points spread across the scatter plot, representing a moderate amount of data with some clustering in the lower region.",Simple scatter plot with position encoding on two axes; the encoding is straightforward with colored circles as markers.,"Each data point has an individual text label, plus axis titles and tick marks, resulting in a moderate amount of text annotation throughout the chart.","Understanding requires some domain knowledge about voxel storage methods (Dense, Octree, JIT, Opt.) and their performance characteristics in terms of time and memory.","Four distinct colors (green, orange, dark purple, black) are used to differentiate four categories, which is a moderate but clear color scheme.","The lower-right cluster of points is somewhat crowded with overlapping labels, though the Dense series in the upper-left is well separated, creating moderate visual clutter.","Interpreting the chart requires comparing four methods across two dimensions and understanding the numeric suffixes (32, 64, 128, 256), adding moderate cognitive effort.","This is a scatter plot comparing four voxel storage methods (Dense, Octree, JIT, Optimized) across time (ms) and memory (megabytes) dimensions, with 16 labeled data points. The visualization uses four colors and direct labeling, with moderate complexity arising from the clustered points in the 750-900 megabyte range and domain-specific terminology."
InfoVisC.133.5(3).png,"The visualization shows relationships between three categorical variables (Class, Sex, Survived) with two levels each, resulting in moderate data density with overlapping flow bands.","The alluvial/parallel sets diagram uses colored flow bands of varying widths to encode proportions across categories, creating crossing patterns that add visual complexity.","Text is minimal with only three variable labels (Class, Sex, Survived) and their category labels (1st, 2nd, male, female, no, yes).","The Titanic survival data is a well-known domain, and parallel sets/alluvial diagrams require some familiarity but are not highly specialized.","Two main colors (teal/cyan and green) are used to distinguish the two classes, with some transparency creating blended shades where flows overlap.","The crossing flow bands create moderate visual clutter, especially in the lower section where multiple streams intersect and overlap.",Tracing individual flows across three levels with multiple crossings requires moderate cognitive effort to understand the proportional relationships.,"This is a parallel sets or alluvial diagram showing Titanic passenger data across Class (1st/2nd), Sex (male/female), and Survived (no/yes). The crossing colored bands create moderate complexity, though the limited number of categories keeps overall complexity manageable. The two-color scheme helps distinguish classes but overlapping flows add some interpretive difficulty."
whoQ44_4.png,"Eight countries are shown over 12 years in a stacked area chart, representing moderate data density with overlapping layers that make individual values harder to discern.",A stacked area chart is a moderately complex encoding; distinguishing individual country contributions requires parsing overlapping filled regions.,"The chart has a descriptive title, axis labels, year labels on the x-axis, numeric labels on the y-axis, and an 8-item legend, representing moderate text density.","The topic involves public health admission rates for African countries, requiring some domain familiarity but the chart type itself is standard and 2D.","Eight shades of brown/tan are used, which are relatively close in hue, making differentiation somewhat challenging but the palette is cohesive.","The layout is reasonably clean with a clear structure, though the stacked areas with similar brown tones create moderate visual clutter, especially in later years where values grow dramatically.","Interpreting individual country trends within the stacked area format requires effort, especially given the similar color palette and the need to mentally separate overlapping layers.","This stacked area chart shows admission trends for eight African countries from 2000 to 2011, using a monochromatic brown color scheme. The moderate complexity arises from the number of stacked layers with similar colors, making it somewhat challenging to isolate individual country contributions, though the overall trend is clearly upward."
wsj603.png,"Two time series lines spanning about 3 years with moderate detail and some highlighted spread annotations, but not overwhelmingly dense.","Standard dual line chart with a shaded area highlighting the spread at the end, plus callout annotations with arrows — moderately complex encoding.","Includes a title, multi-line subtitle, axis labels, two line labels, four callout annotations with values, and source attributions, making it fairly text-heavy.","Requires understanding of Treasury yields, TIPS, and the concept of inflation expectations spread, which is moderately specialized financial knowledge.","Uses a limited but effective palette of gold, red, blue callout boxes, and yellow shading, with no complex symbols or textures.","The layout is relatively clean and well-organized, though the right side gets somewhat crowded with multiple callout annotations overlapping the chart area.","Understanding the chart requires following two time series and interpreting the narrowing spread concept, which is moderate cognitive effort for a general audience.","This Wall Street Journal line chart compares 10-year Treasury note yields with 10-year TIPS yields from 2009 to 2012, highlighting their converging spread. The visualization is moderately complex with detailed annotations and domain-specific financial content, but maintains a clean, professional layout."
InfoVisJ.619.17.png,"There are approximately 60-70 data points scattered across the plot with moderate overlap, along with biplot arrows and a regression line, creating substantial data density.","The visualization combines a biplot with scatter points encoded by color and size, directional arrows for variable loadings, a regression line with tick marks, and dotted reference lines, creating considerable encoding complexity.","Multiple text labels are present including variable names (Fat, Sugar, Calories, Sodium), specific data point labels (Puffed rice, All-Bran with Extra Fiber), numerical axis values along the regression line, and a color legend with values.","This is a PCA biplot of cereal nutritional data requiring understanding of principal component analysis, variable loadings as arrows, and the relationship between projected points and original variables.","A continuous color gradient from black to orange encodes a quantitative variable (likely calories, 50-160), with varying point sizes adding another visual dimension.","The plot is moderately cluttered with many overlapping points in the center, arrows overlapping with data points, and text labels that sometimes compete for space, though the overall layout remains interpretable.","Interpreting this requires understanding PCA biplots, reading the color scale, relating arrow directions to variable contributions, and processing the regression line simultaneously, demanding significant cognitive effort.","This is a PCA biplot of cereal data showing observations colored by a nutritional metric (50-160 range) with loading arrows for Fat, Sugar, Calories, and Sodium. The combination of multivariate encoding through color, size, position, and directional arrows creates moderate-to-high complexity. Specific cereals are labeled as outliers and a regression line with numerical tick marks adds further interpretive layers."
InfoVisJ.1558.11(3).png,"There are roughly 100+ scattered dot/ellipse marks across the plot area, creating moderate data density with some clustering but also open space.","The visualization uses simple scatter-like elliptical marks with position and color as primary encodings, with no axes, gridlines, or complex spatial structures.","There is virtually no text — no axis labels, titles, legends, or annotations are present in the image.","This appears to be a basic 2D scatter/cluster plot that requires minimal specialized domain knowledge to interpret, though the lack of labels adds some ambiguity.","Three distinct colors (red, green, blue) are used to differentiate clusters, with consistent elliptical mark shapes throughout — a modest but clear color scheme.","The layout is moderately scattered with some overlap between clusters, but the dashed border and open white space keep it from feeling overly cluttered.","The visualization is relatively easy to parse — three color-coded clusters are visually distinguishable, though the absence of any labels or context slightly increases interpretive effort.","This is a minimalist scatter-style visualization showing three color-coded clusters (red, green, blue) of elliptical marks within a dashed rectangular border. The absence of any text, axes, or legends keeps complexity low, though the moderate number of data points and partial cluster overlap add some visual density."
