topic,subtopic,description,likert_statement,polarity,phrase_count,score,phrases
Data Density / Image Clutter,Information Volume,"The perceived amount, richness, or depth of data content in the image â€” ranging from sparse/simple to dense/layered information.","This visualization the perceived amount, richness, or depth of data content in the image â€” ranging from sparse/simple to dense/layered information..",−,164,1431,much/little data/info; more parameters/variables
Data Density / Image Clutter,Element Quantity,"The number of discrete graphical elements (points, lines, bars, shapes, subplots) present in the image.","This visualization the number of discrete graphical elements (points, lines, bars, shapes, subplots) present in the image..",+,143,1263,"more charts/points/lines/shapes/elements; scattered shapes (e.g., dots, squares, pictures)"
Data Density / Image Clutter,Visual Clutter & Overlap,"Spatial density, overlapping elements, layout congestion, and use (or lack) of whitespace.","This visualization spatial density, overlapping elements, layout congestion, and use (or lack) of whitespace..",+,69,603,overlapping shapes/colors/lines; more regions/space
Visual Encoding Clarity,Graphical Forms & Primitives,"The variety, type, and physical attributes of shapes, lines, and mark types used to encode data â€” including size, thickness, curvature, and regularity of forms.","This visualization the variety, type, and physical attributes of shapes, lines, and mark types used to encode data â€” including size, thickness, curvature, and regularity of forms..",+,166,1349,shapes and lines; shape variation; shape size; shape increase/decrease point; random-like shapes; simple visual elements; several elements
Visual Encoding Clarity,"Position, Scale & Organization","Spatial layout, alignment, ordering, scale consistency, and structural organization of visual encodings.","This visualization spatial layout, alignment, ordering, scale consistency, and structural organization of visual encodings..",+,13,43,scale difference; shape position; ordered; less organized elements
Visual Encoding Clarity,Encoding Interpretability,"Whether visual encodings convey clear, decodable meaning â€” including recognizability of marks, design-data correspondence, and ease of identifying data features.","This visualization whether visual encodings convey clear, decodable meaning â€” including recognizability of marks, design-data correspondence, and ease of identifying data features..",−,19,82,clear colors/shapes; understand/read shapes; shape point of interest; design-data relationship
Semantics / Text Legibility,Annotations & Labels,"Presence, clarity, and sufficiency of titles, axis labels, legends, captions, and measurement references.","This visualization presence, clarity, and sufficiency of titles, axis labels, legends, captions, and measurement references..",+,142,1230,labels/axes/legends; more labels/context; clear text/scale/information
Semantics / Text Legibility,Text Volume & Content,"The quantity of text, numbers, or contextual descriptions present in the image.","This visualization the quantity of text, numbers, or contextual descriptions present in the image..",+,90,786,amount of words/context/numbers; little/less text/numbers/context
Semantics / Text Legibility,Typography & Readability,"Font size, rotation, structure, spatial arrangement, and visual clarity of text elements.","This visualization font size, rotation, structure, spatial arrangement, and visual clarity of text elements..",+,57,441,word rotation/small font size; clear text arrangement/density
Schema,Domain Familiarity,"Whether the image requires specialized domain knowledge (e.g., chemistry, biology, geography) or uses unfamiliar or specialized representational conventions.","This visualization whether the image requires specialized domain knowledge (e.g., chemistry, biology, geography) or uses unfamiliar or specialized representational conventions..",+,177,1593,"domain-specific concepts (e.g., chemical, biology, map)"
Schema,Dimensionality & Structure,"Spatial dimensionality (2D vs 3D), layout organization, and the structural framework of the visualization.","This visualization spatial dimensionality (2D vs 3D), layout organization, and the structural framework of the visualization..",+,41,369,2D/3D
Schema,Abstraction Level,"Use of non-representational, abstract visual forms that lack familiar real-world referents.","This visualization use of non-representational, abstract visual forms that lack familiar real-world referents..",+,5,25,abstract shapes or colors
"Color, Symbol, and Texture Details",Color Palette & Contrast,"The range, variety, and arrangement of colors used â€” including gradients, hues, saturation, color schemes â€” and whether colors are visually distinguishable and provide clear separation, contrast, and background effects.","This visualization the range, variety, and arrangement of colors used â€” including gradients, hues, saturation, color schemes â€” and whether colors are visually distinguishable and provide clear separation, contrast, and background effects..",−,302,2458,color variety/shading; two colors; monochrome; bright colors; inadequate/few coloring; color contrast/clarity; distinguishable/full/highly contrast color uses; distinguishable color variety/arrangement/distribution; soft/layered/overlapping colors; blurry colors/images; white/black background / other background
"Color, Symbol, and Texture Details",Symbols & Texture,"Non-color graphical markers, textures, icons, and patterned visual elements used alongside or instead of color.","This visualization non-color graphical markers, textures, icons, and patterned visual elements used alongside or instead of color..",+,12,84,symbols
Aesthetics Uncertainty,Visual Disorganization,"Whether the image feels random, messy, distracting, inconsistent, overwhelming, or lacking coherent structure.","This visualization whether the image feels random, messy, distracting, inconsistent, overwhelming, or lacking coherent structure..",+,66,594,distracting/confusing/unclear
Aesthetics Uncertainty,Perceptual Ambiguity,"Uncertainty in perceiving specific visual attributes like color and contrast, leading to aesthetic confusion.","This visualization uncertainty in perceiving specific visual attributes like color and contrast, leading to aesthetic confusion..",+,8,48,unclear colors/contrast
Immediacy / Cognitive Load,Interpretive Difficulty,"Overall subjective ease or difficulty of interpreting, reading, understanding, or differentiating the visualization.","This visualization overall subjective ease or difficulty of interpreting, reading, understanding, or differentiating the visualization..",+,302,2700,easy/hard to interpret; more difficult to focus/follow
Immediacy / Cognitive Load,Semantic Clarity,"Whether the visualization conveys an unambiguous, understandable message about what the data represents.","This visualization whether the visualization conveys an unambiguous, understandable message about what the data represents..",+,83,747,unclear meaning/confusing
Immediacy / Cognitive Load,Processing Time & Effort,"The time, cognitive effort, or specialized knowledge needed to process and analyze the visualization.","This visualization the time, cognitive effort, or specialized knowledge needed to process and analyze the visualization..",+,68,580,take longer to interpret; read/analyze many figures/items
