imageName,imageURL,VisType,Topics,humanCuratedPhrases,SubTopics
VisJ.1431.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1431.7.png,Line,Visual Encoding Clarity; Immediacy / Cognitive Load,shape increase/decrease point; unclear meaning/confusing,Graphical Forms & Primitives; Semantic Clarity
InfoVisJ.2412.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2412.7.png,Schematic,"Color, Symbol, and Texture Details",symbols,Symbols & Texture
SciVisJ.995.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.995.5.png,Bar,Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,infomration representation; lack of/not enough axis labels/legend/annotations/context; title/axis/label/descriptions; provokes thought and understanding,Domain Familiarity; Annotations & Labels; Processing Time & Effort
VisC.503.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.503.6.png,Bar,Schema; Immediacy / Cognitive Load,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",Domain Familiarity; Interpretive Difficulty
VisC.199.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.199.5.png,Line,Immediacy / Cognitive Load,easy to interpret/read/understand; more interpretable/readable/understandable,Interpretive Difficulty
VASTC.72.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.72.13.png,Bar,"Data Density / Image Clutter; Color, Symbol, and Texture Details",much/more data/info/info spread; color variety/arrangement/distribution,Information Volume; Color Palette & Contrast
whoJ40_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ40_2.png,Area,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",bold colors; distracting/confusing/unclear; easy to interpret/read/understand,Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty
economist_daily_chart_75.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_75.png,Bar,Data Density / Image Clutter; Visual Encoding Clarity; Immediacy / Cognitive Load,more charts/points/lines/shapes/elements; horizontal bars; more difficult to interpret/read/understand/differentiate,Element Quantity; Graphical Forms & Primitives; Interpretive Difficulty
whoQ50_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ50_2.png,Bar,Immediacy / Cognitive Load,easy to read,Interpretive Difficulty
VASTC.81.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.81.3(2).png,Glyph,"Visual Encoding Clarity; Color, Symbol, and Texture Details",shapes; inadequate/few coloring,Graphical Forms & Primitives; Color Palette & Contrast
InfoVisJ.2251.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.3.png,Schematic,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate; unclear meaning/confusing,Interpretive Difficulty; Semantic Clarity
whoQ58_4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ58_4.png,Area,Immediacy / Cognitive Load,intuitive,Interpretive Difficulty
VASTJ.1720.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.4.png,Bar,Schema; Immediacy / Cognitive Load,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",Domain Familiarity; Interpretive Difficulty
VisC.527.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.527.1.png,Point,Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Immediacy / Cognitive Load,little data/info; shape increase/decrease point; title/axis/label/descriptions; easier to interpret/read/understand,Information Volume; Graphical Forms & Primitives; Annotations & Labels; Interpretive Difficulty
