imageName,VisType,Topics,humanCuratedPhrases,finalPhrases
vis652.png,Point,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",dense/cluttered layout; little data/info; more charts/points/lines/shapes/elements; much/more data/info/info spread; different clarity; different font/word sizes/structure; more texts/words; text on picture; unclear relation between words; word rotation/small font size; color variety/arrangement/distribution; low color contrast/separation/segmentation; not simple color-wise; convoluted composition; distracting/confusing/unclear; unclear colors/contrast; hard to interpret/read/understand/differentiate; less intuitive; not intuitive/simple data,amount of words/context/numbers; color contrast/clarity; color variety/shading; distracting/confusing/unclear; easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; unclear colors/contrast; unclear meaning/confusing; word rotation/small font size
InfoVisJ.1933.13.png,Grid,Aesthetics Uncertainty; Immediacy / Cognitive Load,distracting/confusing/unclear; read/analyze many figures/items,distracting/confusing/unclear; read/analyze many figures/items
economist_daily_chart_521.png,Line,Schema; Aesthetics Uncertainty; Immediacy / Cognitive Load,"domain-specific concepts (e.g., chemical, biology, map); distracting/confusing/unclear; hard to interpret/read/understand","distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
visMost786.png,Area,Immediacy / Cognitive Load,easier to interpret/read/understand,easy/hard to interpret
InfoVisJ.647.7(2).png,Text,Aesthetics Uncertainty,looks random/messy/lack structure,distracting/confusing/unclear
economist_daily_chart_393.png,Point,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",few points/lines/shapes/elements; little data/info; more parameters/variables; much/more data/info/info spread; clear indication; straight lines; factual information; lack of/not enough axis labels/legend/annotations/context; more contrast; unclear color meaning; less simple; easier to interpret/read/understand; easy to interpret/read/understand,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; shapes and lines; unclear meaning/confusing"
VisC.29.16.png,Line,Schema; Aesthetics Uncertainty,a specific technique; distracting/confusing/unclear,"distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map)"
SciVisJ.980.7(2).png,Glyph,Immediacy / Cognitive Load,easy to interpret/read/understand,easy/hard to interpret
VASTJ.1698.5(4).png,Node-link,Data Density / Image Clutter; Visual Encoding Clarity; Schema; Aesthetics Uncertainty; Immediacy / Cognitive Load,overlapping shapes/colors/lines; 2D/3D; information nuance expressed; intersecting lines; feeling strange; hard to interpret/read/understand; not interpretable/readable/understandable,"2D/3D; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; overlapping shapes/colors/lines; shapes and lines"
VisC.295.3.png,Cont.-ColorPatn,Aesthetics Uncertainty; Immediacy / Cognitive Load,unclear colors/contrast; hard to focus/follow,easy/hard to interpret; unclear colors/contrast
InfoVisJ.485.9.png,Point,"Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",fine/layered details; more charts/points/lines/shapes/elements; multiple features/elements/graphs; overlapping shapes/colors/lines; too many points/lines/shapes/elements; too much data/info; amount of words/context/numbers; code/text; unclear relation between words; word/text/sentence; a specific technique; unclear colormaps; easier to compare/discern/distinguish; hard to compare/discern/distinguish; hard to focus/follow; hard to identify/extract/find features; hard to interpret/read/understand; more complicated; unable to remember,"amount of words/context/numbers; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; unclear meaning/confusing"
v483_n7391_8_f5.png,Cont.-ColorPatn,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load","more charts/points/lines/shapes/elements; more detailed/things; much/more data/info/info spread; multiple features/elements/graphs; organized/structured; curved lines; indistinguishable/unintuitive lines; ordered; single variable; more axes; more numbers; title/axis/label/descriptions; word/text/sentence; a specific technique; a specific technique, e.g., bar, pie, circle; domain-specific concepts (e.g., chemical, biology, map); unfamiliar concepts/patterns; color variety/arrangement/distribution; colored surface; lack of color contrast / hard to distinguish colors; separate color scales; visually striking; easy to interpret/read/understand; hard to interpret/read/understand/differentiate; more difficult to compare/discern/distinguish; more difficult to interpret/read/understand/differentiate; not interpretable/readable/understandable; require specialized knowledge","2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; ordered; shapes and lines; take longer to interpret"
InfoVisJ.479.13.png,Point,"Data Density / Image Clutter; Color, Symbol, and Texture Details",much/more data/info/info spread; readable/distinguishable colors,distinguishable color variety/arrangement/distribution; much/little data/info
whoB32_1.png,Bar,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",distinguishable/full color uses; lack of color contrast / hard to distinguish colors; not interpretable/readable/understandable,color contrast/clarity; distinguishable/full/highly contrast color uses; easy/hard to interpret
whoQ44_4.png,Area,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",more charts/points/lines/shapes/elements; more parameters/variables; much/more data/info/info spread; organized/structured; curves and shapes; more forms; amount of words/context/numbers; readability; too much legend; word rotation/small font size; unfamiliar concepts/patterns; color variety/arrangement/distribution; lack of color contrast / hard to distinguish colors; easier to interpret/read/understand; easier to process/visualize; easy to interpret/read/understand; more difficult to interpret/read/understand/differentiate,"2D/3D; amount of words/context/numbers; color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more parameters/variables; much/little data/info; shapes and lines; word rotation/small font size"
