filename,explanation
SciVisJ.1025.11.png,"This is a scatterplot with 16 labeled data points encoded by four colors (green, orange, purple, black) representing different categories. While each point has a text label adding some visual clutter, the overall layout is straightforward with a single panel, two axes, and moderate density. The labeled points add cognitive load but the chart structure remains simple."
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents/regions, each labeled with a single number and category name. The layout is clean with minimal visual elements, ample white space, and straightforward data encoding. The cognitive demand is very low with only 5 data points to process."
economist_daily_chart_165.png,"This is a horizontal stacked/grouped bar chart with 20 countries and two color-encoded categories (Deceased and Living donors). While the number of data elements is moderate and the dual-encoding adds some complexity, the layout is clean and straightforward with clear labels and a simple legend. The consistent structure and single chart type keep complexity at a moderate level."
wsj135.png,"This is a grouped bar chart with two categories (refinance and home purchase) across 12 years. While it has a moderate number of bars (~24), the design is clean with only two colors, clear labels, and a straightforward layout. The annotation callouts for 2011 add slight complexity but overall it remains a standard, well-organized bar chart."
whoO06_2.png,"This is a horizontal stacked bar chart with 19 categories and 3 color-encoded income levels per bar. The number of categories creates moderate density, and the stacked encoding requires some cognitive effort to compare segments across bars. However, the layout is straightforward with a single panel and clear labeling, keeping it from being highly complex."
whoQ44_4.png,"This is a stacked area chart with 8 categories (countries) over 12 time points. The multiple overlapping shaded areas with similar brown/tan color palette create moderate visual complexity. While it's a single chart type, the number of stacked layers and the need to distinguish between similar earth-tone colors adds perceptual demand beyond a simple chart."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-encoded clusters (red, green, blue) containing roughly 100-150 data points total. The visualization has no axes, labels, legends, or gridlines, which reduces complexity. However, the moderate number of scattered points with some overlap and the three distinct clusters add moderate perceptual demand."
InfoVisC.133.5(3).png,"This is a parallel sets/alluvial diagram showing relationships between three categorical variables (Class, Sex, Survived) with two categories each. The crossing ribbons with color encoding create moderate visual complexity through overlapping flows and color mixing. While the structure has only 3 levels with 2 categories each, the intersecting colored bands and their varying widths add perceptual complexity beyond a simple chart."
wsj603.png,"This is a dual-line time series chart showing two financial instruments over roughly 3 years. It has moderate complexity with two detailed, volatile line series, several annotated callout labels with spread measurements, and a shaded area highlighting the gap between the lines. The annotations and dual-series add complexity beyond a simple line chart, but it remains a single-panel visualization with a straightforward layout."
InfoVisJ.619.17.png,"This is a biplot/PCA-style scatterplot with multiple encoding channels: point color (continuous gradient from black to orange representing values 50-160), point size variation, directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression/axis line with tick marks and numeric labels, dotted reference circles, and labeled outlier points. The moderate density of ~60+ data points with overlapping elements and multiple simultaneous encodings creates substantial but not extreme complexity."
VisJ.1515.12.png,"This image shows concentric circular rings radiating from a center point, with alternating dark green and reddish-brown bands. While the pattern has some visual intricacy due to the multiple rings and color gradients, it is a single repeating pattern with no text, labels, axes, or data encodings, making it relatively simple in terms of informational complexity. The perceptual demand is moderate due to the ring density increasing toward the edges."
VisJ.1499.8.png,"This visualization shows two side-by-side 3D rendered cardiac surfaces with color mapping (orange-yellow gradient) and wireframe mesh overlays. The right panel adds scattered marker points (green diamonds), increasing its complexity. While the 3D surfaces with mesh grids and color encoding add moderate detail, the overall layout is relatively straightforward with just two panels and no dense text or multi-layered encodings."
