filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary,topic_explanation
visMost97.png,Only 5 data points represented by continent shapes with numbers; extremely sparse.,Simple geographic shapes with size roughly proportional to values; straightforward encoding.,"Clear title, subtitle, and 5 labeled values; minimal but readable text.",Simple infographic concept requiring no specialized knowledge.,"Five distinct flat colors (red, blue, green, yellow, light blue) for continents; simple but present.","Very clean, minimal layout with ample whitespace; no clutter.",Immediately understandable at a glance; near-zero cognitive effort required.,A simple infographic showing world population distribution by continent using colored map shapes and large numbers. Extremely clean and minimal design with very low visual complexity.,The color-coded continent shapes are the primary visual element contributing to what little complexity exists. The geographic encoding and text labels are the only other notable features in this otherwise minimal infographic.
VisC.375.9(2).png,Very sparse graph with only 9 nodes and a handful of edges; minimal data content.,Simple node-link diagram with uniform black dots and blue lines; trivial encoding.,"Clear node labels (a1, a5, b1, b9, b10, c1, c3, c9, d1, d2) with ample spacing.","Basic graph/network diagram requiring minimal domain knowledge, though node naming suggests some grouping structure.",Only two visual elements: black dots and blue lines; extremely limited color/symbol variety.,"Very clean, spacious layout with no overlapping elements.",Immediately interpretable; very few elements to process.,A very simple node-link graph with approximately 9 labeled nodes and a few connecting edges. The layout is sparse and clean with minimal visual complexity.,The extremely low data density is the defining characteristic of this visualization's simplicity. The basic graph schema and trivial cognitive load confirm the minimal complexity.
InfoVisJ.1063.13.png,"Dense dendrogram with many leaf nodes and an accompanying heatmap with numerous rows, creating high information density.",Hierarchical clustering dendrogram paired with a binary/sparse heatmap; moderately complex dual encoding.,Very small text labels visible along the heatmap columns but largely illegible at this resolution; minimal readable text.,"Requires understanding of hierarchical clustering dendrograms and heatmaps, a specialized bioinformatics/statistics schema.",Only black and white used throughout; minimal color variety.,The dense branching structure and tightly packed heatmap rows create visual clutter and a sense of disorder.,Tracking hierarchical relationships across many branches and correlating with heatmap patterns demands significant cognitive effort.,"A hierarchical clustering dendrogram paired with a black-and-white heatmap showing many rows/samples. Despite the monochrome palette, the dense branching structure and numerous leaf nodes create substantial visual complexity. The specialized schema and high data density are the primary complexity drivers.",The extremely dense dendrogram with many branches and the accompanying heatmap create high data density. The specialized hierarchical clustering schema requires domain knowledge. Interpreting cluster relationships across many nodes demands significant cognitive effort.
VASTJ.1.7.png,"Dense network clusters with hundreds of edges creating visual clutter, especially in the expanded graph views.","Multiple visual encodings: node-link diagrams at different scales, zoom lenses, color-coded chains, and dashed circle selections.",Virtually no text present in the visualization.,Complex multi-scale network visualization with detail-on-demand zoom panels requiring specialized graph analysis knowledge.,Color gradient from yellow to red encodes a variable along the chain; blue dashed circles mark selections; dark dense edge textures in expanded views.,"Moderately cluttered with overlapping expanded views and dense edge bundles, though the layout has some organization.",Understanding the multi-scale relationship between the central chain and the expanded cluster views requires significant cognitive effort.,"A multi-scale network visualization showing a central color-coded node chain (yellow to red) with detail-on-demand zoom panels revealing dense graph cluster structures. The combination of scales, dense edge networks, and color encoding creates high visual and cognitive complexity.","The specialized multi-scale network schema with zoom lenses is the primary complexity driver, requiring graph analysis expertise. The extreme edge density within expanded clusters creates significant visual clutter. The cognitive load of connecting the overview chain to detailed subgraph views is substantial."
economist_daily_chart_493.png,"Each of 16 German states has multiple data values (GDP, population for two years) plus choropleth encoding, creating substantial data density across the map.",Combines choropleth shading with embedded numerical tables per region and a dashed boundary line; multiple encoding types simultaneously.,"Heavy text load with state names, city names, neighboring country labels, numerical values in small boxes, and a detailed legend.",Thematic choropleth map of Germany with embedded statistics; moderately specialized but geographic maps are generally familiar.,Five-level unemployment color scale plus contrasting blue/red for data tables; dashed boundary line adds visual markers.,The map is well-organized but the many small data boxes create moderate visual clutter across the geographic space.,"Requires cross-referencing choropleth colors with legend, reading small embedded data tables, and understanding temporal comparisons.","A choropleth map of German states showing unemployment rates via color shading, with embedded data tables for GDP and population across two time periods. The combination of geographic encoding, color scale, and dense numerical annotations creates substantial visual complexity.","The enormous amount of text labels and numerical data embedded in each state region dominates the complexity. The high data density from multiple variables per state compounds this, and the cognitive load of integrating choropleth colors with tabular data across 16 regions is demanding."
VASTJ.870.4.png,Moderate data density with 6 rows of stacked/segmented bars showing multiple small segments of varying widths.,Dual-encoding with bar length and color gradient representing student numbers; requires understanding the legend mapping.,Row labels with comma-separated number sequences and a legend at top; moderate text volume.,Specialized educational visualization showing question ordering permutations and student distributions; requires domain context.,Orange-to-green color gradient encoding student counts with dashed borders distinguishing sections.,"Relatively clean layout with clear row separation, though small bar segments on the right side add some visual noise.",Understanding the relationship between question orderings and the dual color-coded bar segments requires moderate cognitive effort.,A horizontal bar chart showing different question orderings with dual color-coded segments (orange and green gradients) representing student distributions. Moderate complexity due to the specialized schema and dual encoding requiring legend reference.,"The specialized schema of question permutations and student distributions is the primary complexity driver. The cognitive load of mapping dual color gradients to student counts adds interpretive effort, and the visual encoding with graduated colors across two sections requires careful legend reference."
visMost573.png,"Dense overlapping concentric circles cover the entire map, creating significant visual clutter especially in the eastern portion.",Concentric ring glyphs encode sound types and combinations via color and pattern; moderately complex spatial encoding on a geographic base.,"Extensive legend with 16 entries, descriptive paragraph text, street labels, and landmark annotations create substantial text volume.",A specialized sound-mapping visualization over a geographic map requires understanding of overlapping radial glyphs representing audio phenomena.,"Multiple translucent colors (blue, orange, green, pink) in concentric rings with numerous combinations; rich and varied color palette.","Heavy overlap of translucent circular elements creates visual density, though the overall design is aesthetically intentional.","Interpreting overlapping sound zones, distinguishing color combinations, and reading the detailed legend demands significant cognitive effort.","A sophisticated sound segmentation map of Jerusalem showing overlapping concentric ring glyphs representing different religious and municipal sounds. The dense layering of translucent colored circles over the city map, combined with an extensive legend of sound types and combinations, creates high visual and cognitive complexity.","The rich variety of translucent colored concentric rings and their combinations is the primary complexity driver. The dense overlapping of these glyphs across the map creates substantial clutter, and distinguishing individual sound sources amid the layered transparency demands high cognitive effort."
InfoVisJ.522.15.png,Eight panels showing dense matrix heatmaps and zoomed snippets with substantial pixel-level data content.,"Multiple matrix visualizations at different zoom levels with annotations (circles, arrows) requiring cross-referencing between panels.","Minimal text — section headers, panel labels (A-D), and small citation text; relatively low text volume.",Hi-C contact matrices from genomics require specialized domain knowledge to interpret diagonal patterns and interaction frequencies.,Grayscale and red-orange heatmap colormaps used across panels with red circle annotations and arrows.,Multi-panel layout is organized but the dense matrix textures and varied zoom levels create moderate visual disorder.,"Requires understanding genomic contact matrices, cross-referencing zoom levels, and interpreting subtle pattern differences across 8 panels.","A multi-panel figure showing Hi-C genomic contact matrices at different resolutions and zoom levels, with annotated snippets highlighting specific features. The specialized domain schema and need to cross-reference across panels drives high cognitive load.",The genomics Hi-C contact matrix schema requires specialized knowledge and is the primary complexity driver. Cross-referencing 8 panels at different zoom levels demands high cognitive load. The dense pixel-level matrix data across all panels contributes substantial information density.
VASTC.41.5.png,"Four panels each densely filled with overlapping colored stripes, black shapes, and visual noise creating very high clutter.","Highly abstract encoding with striped patterns, black silhouettes, and layered colored bands that are difficult to interpret.","Minimal text present — only panel labels (a, b, c, d) in yellow circles.",Highly specialized abstract visualization requiring domain expertise to understand what the striped patterns and black shapes represent.,"Rich variety of colors (red, orange, green, pink, black, beige, olive) with complex striped textures across panels.","Visually chaotic and disordered appearance with overlapping elements, glitch-like artifacts, and dense layering.",Extremely difficult to interpret without context; the abstract nature and visual chaos demand high cognitive effort.,"A four-panel visualization with highly abstract, glitch-like visual patterns featuring dense colored stripes and black silhouette shapes. The panels appear to show progressive transformations or different views of the same data, but the encoding is extremely abstract and visually chaotic, making interpretation very challenging without domain knowledge.","The specialized abstract schema is the primary driver of complexity, as it's nearly impossible to interpret without domain context. The chaotic, glitch-like aesthetics create high visual disorder, and the resulting cognitive load is substantial since the viewer must decipher unfamiliar encodings across four dense panels."
VisJ.1949.11.png,Extremely sparse — just a couple of colored trajectory lines on a black background with vast empty space.,"Color-mapped trajectory curves suggest a continuous variable encoding along the path, but without axes or legend the encoding is ambiguous.","No text, labels, axes, legends, or annotations whatsoever.",Appears to be a scientific trajectory or phase-space plot requiring domain knowledge to interpret.,Rainbow-like color gradient along the trajectory from red/yellow through cyan/teal adds some encoding richness.,Very clean and minimal; no clutter or overlap; mostly empty black space.,"Without context, labels, or legend, the meaning is opaque, but the visual itself is simple to perceive.",A minimalist visualization showing one or two color-mapped trajectory curves on a black background with no text or annotations. The sparse content keeps visual complexity very low despite some interpretive ambiguity from the lack of context.,Schema is most relevant because the trajectory requires domain knowledge to interpret. Cognitive load is elevated by the complete absence of labels or legend. The color gradient along the trajectory is the primary visual encoding and the most notable detail in an otherwise sparse image.
