filename,explanation
economist_daily_chart_165.png,"This is a straightforward horizontal stacked bar chart with 20 countries and two color-encoded categories (Deceased and Living donors). The layout is clean and well-organized with clear labels, a simple legend, and minimal clutter. While there are a moderate number of data points, the encoding is immediately interpretable and requires no specialized knowledge, keeping cognitive load relatively low."
visMost97.png,"This is a clean, simple infographic with a world map showing only 5 color-coded regions with large, easily readable numbers and labels. The data density is very low (5 data points), the color encoding is straightforward with distinct solid colors, and the layout is spacious with minimal clutter. The concept is immediately understandable with virtually no cognitive load required."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level categories each, creating moderate data density. The text labels on the y-axis are numerous but legible, and the three-color encoding (dark blue, light purple, orange) is straightforward. The chart is well-organized with a clear layout, but the quantity of categories and stacked segments requires moderate cognitive effort to parse and compare across risk factors."
wsj135.png,"This is a straightforward grouped bar chart with two categories (refinance and home purchase) across 12 time periods, using a simple two-color scheme (green and orange). The layout is clean with clear labels, a descriptive title, and minimal clutter. The annotations for the final year's values and the overall design follow standard Wall Street Journal infographic conventions, making it immediately interpretable with low cognitive load."
SciVisJ.1025.11.png,"This scatter plot has moderate complexity with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.). The direct labeling of each point adds text density, and some labels overlap slightly in the 800-900 megabyte range, creating mild clutter. However, the overall layout is clean with a straightforward 2D encoding, clear axes, and the color scheme effectively distinguishes the four groups, keeping cognitive load manageable."
whoQ44_4.png,"This is a stacked area chart with 8 categories over 12 years, using a brown/tan color palette. The color scheme makes it moderately difficult to distinguish between some adjacent layers, and the legend with 8 country names adds text density. However, the overall layout is clean with a single chart type, clear axes, and a straightforward temporal structure that keeps cognitive load moderate."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style diagram showing relationships between Class (1st/2nd), Sex (male/female), and Survived (no/yes). The overlapping colored ribbons connecting categories create moderate visual clutter and require some cognitive effort to trace flows. However, the chart has limited categories (only 2 per variable), minimal text, and uses just two main colors (teal and green), keeping overall complexity moderate."
InfoVisJ.1558.11(3).png,"The visualization shows a scatter plot with three color-coded clusters (red, green, blue) of elongated dot marks within a dashed border. There are no axes, labels, titles, or legends, which reduces text-related complexity significantly. The moderate number of data points creates some density but the clusters are reasonably well-separated, and the clean white background with only three colors keeps the overall cognitive load relatively low."
wsj603.png,"This line chart shows two time series with moderate complexity. The two lines (10-year Treasury note and 10-year TIPS) have considerable detail and volatility, and there are several annotations with callout boxes highlighting specific data points and spreads. However, the overall layout is clean with a clear color distinction between the two series, a straightforward temporal x-axis, and readable text elements. The annotations add some cognitive load but the chart remains interpretable without specialized knowledge."
InfoVisJ.619.17.png,"This biplot-style visualization has moderate-to-high complexity due to multiple overlapping data points with color encoding (continuous gradient from black to orange representing calorie values), directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks and numeric labels, and specific data point annotations (Puffed rice, All-Bran with Extra Fiber). The overlapping scatter points in the center create visual clutter, and the combination of multiple encoding channels (color, size, position, arrows, text labels) increases cognitive load for interpretation."
VisJ.1515.12.png,"This image shows concentric circular rings with a limited color palette of dark green, olive, and dark red/maroon. There is no text, no axes, no labels, and no data annotations. While the repeating ring pattern creates some visual intricacy, the overall structure is simple and repetitive with low cognitive load, requiring minimal domain knowledge to perceive. The lack of any textual or data-encoding elements keeps complexity low."
VisJ.1499.8.png,"The visualization shows two 3D cardiac mesh models side by side with color-mapped surfaces (yellow-orange gradient) and wireframe overlays. The right panel adds scattered diamond-shaped markers increasing its density. The domain-specific schema (cardiac perfusion/motion analysis) requires specialized knowledge, and the 3D rendering with grid lines and symbols adds moderate perceptual complexity, though the overall layout is relatively clean with minimal text."
v483_n7391_8_f5.png,"This contour/heatmap plot shows moderate-to-high complexity with multiple overlapping contour levels representing a continuous variable across a 2D parameter space (k vs E). The color legend has 12 discrete levels, and the contour lines create intricate nested shapes with dense clustering near the dispersion curve (red region). The dual axes (both physical and normalized units on top/right) and the overlaid cyan line add to the cognitive load, while the domain-specific physics notation (meV, k_F, E_F) requires specialized knowledge to interpret."
v487_n7406_7_f3.png,"This visualization combines multiple encoding layers: a continuous color field (heatmap) representing displacement Δz, overlaid vector arrows showing direction/magnitude, and contour lines — all contributing to high data density and visual clutter. The color palette spans a wide rainbow spectrum from red to purple, and the numerous small arrows densely packed across the field add significant perceptual load. Domain-specific knowledge (soil mechanics or material deformation around a rod) is needed for full interpretation, increasing cognitive demand."
SciVisJ.1236.10.png,"This visualization contains a large grid of 48+ small heatmap matrices arranged in 6 rows and 8 columns, creating very high data density and visual clutter. Each sub-matrix contains fine-grained pixel-level detail with purple and green color encodings, making individual interpretation demanding. The repetitive but subtly varying patterns across the grid, combined with the specialized domain labels (E5U, E5W, E1U, E1W combinations), require significant cognitive effort to parse and compare, driving high overall complexity."
VisJ.1197.5(3).png,"This 3D visualization shows an extremely dense, cluttered arrangement of hundreds of rectangular blocks/buildings viewed from an oblique angle. The data density and visual clutter are very high, with massive overlap and occlusion making individual elements difficult to distinguish. The lack of labels, legends, or color variation (grayscale only) slightly reduces complexity, but the sheer volume of geometric elements, the 3D perspective distortion, and the high cognitive load required to parse the spatial relationships push the score very high."
SciVisJ.2926.1.png,"This is a highly complex scientific visualization, likely depicting a 3D simulation of a vortex or turbulent flow field (possibly astrophysical). The data density is very high with numerous overlapping elements including vector glyphs (arrows/lines in green and yellow), a swirling surface colored with a multi-hued colormap (blue, red, orange), and scattered point-like elements. The specialized domain knowledge required, combined with the dense layering of multiple visual encodings (color, direction, texture, 3D perspective) and the lack of legends or axes to aid interpretation, creates substantial cognitive load."
InfoVisJ.2699.12.png,"This network graph exhibits very high data density with hundreds of nodes and edges spread across the entire canvas, creating significant visual clutter and overlap. The numerous interconnected subgraphs with varying cluster sizes and edge densities make it cognitively demanding to parse, requiring specialized knowledge of network/graph theory. The annotations (SG1-SG4) with red circles add semantic layers, but the overall layout is crowded and disordered, contributing to high perceptual load."
InfoVisJ.2402.12(1).png,"This visualization exhibits extremely high data density with hundreds of small rectangular elements packed tightly across the entire image, creating significant visual clutter. The treemap-like structure uses varying sizes of nested rectangles with a limited but distinct color palette (gray, green, cyan) that adds encoding complexity. The sheer volume of elements, tiny illegible text labels throughout, and the cognitive effort required to parse the hierarchical structure and identify patterns make this a highly complex visualization."
SciVisJ.980.12(2).png,"This 3D scientific visualization shows considerable complexity through multiple overlapping streamlines, numerous colored vector/glyph elements (arrows, ellipsoids) in red, blue, green, and yellow scattered throughout the volume, and four distinct vortex structures. The 3D perspective adds schema complexity requiring domain knowledge (likely fluid dynamics), and the dense overlapping of thin streamlines with multicolored directional markers creates significant visual clutter and cognitive load, though the white background and transparent bounding box help maintain some legibility."
