filename,explanation
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with 3 income-level segments each, creating moderate data density (~57 data points). The stacked encoding and numerous categories add to cognitive load, requiring comparison across segments. However, the clean sorted layout, simple three-color scheme, and straightforward structure keep aesthetic order manageable and prevent the complexity from being higher."
wsj135.png,"This is a clean, well-designed grouped bar chart from WSJ with two series (refinance and home purchase) across 12 years. Data density is moderate with 24 bars, visual encoding is straightforward with two color-coded categories, and cognitive load is low due to clear annotations and professional layout. The callout annotations add some text but the overall design is uncluttered and easy to interpret."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries and two categories (Deceased/Living), giving moderate data_density. The visual encoding is straightforward with a simple two-color stacked bar layout, and the cognitive load is low as the chart is clean and easy to interpret. The aesthetic order is well-maintained with evenly spaced bars and minimal clutter, keeping the overall complexity modest despite the number of data points."
visMost97.png,"This is a very simple infographic with only 5 data points displayed on color-coded continent shapes. The layout is extremely clean with ample white space, minimal text annotations, and requires no specialized domain knowledge. Data density and cognitive load are both very low, as the geographic encoding is immediately intuitive and the labeled numbers are easy to read at a glance."
SciVisJ.1025.11.png,"This is a labeled scatter plot with approximately 16 data points across 4 color-coded categories (Dense, Octree, JIT, Opt.) on standard x-y axes. Data density is moderate with some clustering in the lower-center region, and each point is individually labeled, adding text but also aiding interpretation. The visual encoding is straightforward (position + color), and while some domain knowledge about data structures helps, the chart type itself is simple and clean."
whoQ44_4.png,"This is a stacked area chart with 8 country layers over 12 years, representing moderate data density. The monochromatic brown color palette with 8 similar shades increases cognitive load as distinguishing individual country contributions is challenging. The layout is relatively clean but the stacked encoding with similar hues adds interpretive difficulty beyond a simple line or bar chart."
InfoVisC.133.5(3).png,"This parallel sets/alluvial diagram shows only 3 categorical variables (Class, Sex, Survived) with 2 levels each, keeping data_density and text_annotation low. The crossing flow ribbons and proportional width encoding add moderate visual_encoding and cognitive_load complexity, but the overall layout is structured and uses only two main colors (teal and green), resulting in a relatively simple visualization."
InfoVisJ.1558.11(3).png,"This is a simple scatter/cluster visualization with three color-coded groups (red, green, blue) of elongated marks within a dashed border. Data density is moderate with roughly 150 points, but the complete absence of text annotations, axes, legends, or any labeling keeps complexity low. The visual encoding is straightforward (position + color), and cognitive load is minimal as the three clusters are easily distinguishable."
wsj603.png,"This is a dual-line time series chart from the Wall Street Journal showing Treasury yields over ~3 years. It has moderate data density with two detailed line series, several annotated callout boxes on the right side creating some visual clutter, and requires moderate financial domain knowledge to interpret spread concepts and inflation expectations. The color usage is distinctive but limited, and the overall layout is clean despite the annotation clustering on the right."
InfoVisJ.619.17.png,"This biplot/scatterplot combines multiple visual encodings including position, continuous color gradient (black-to-orange), point size, directional arrows for variable loadings (Fat, Sugar, Calories, Sodium), a regression line with tick marks, and dotted reference circles. The moderate data density (~60+ points) with some central overlap, combined with the need for domain knowledge to interpret the biplot structure and multiple simultaneous encodings, drives moderate cognitive load. The visualization is moderately complex but remains a single-panel chart with manageable information density."
