imageName,imageURL,VisType,NormalizedVC,"originalPhrases
(LLM input)",Topics,"SubTopics
(LLM input)","objectWords
(LLM input)",actionWords,attributes,relationships
v484_n7392_1_f4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v484_n7392_1_f4.png,Line,0.78,Plotted points; Too much information,Data Density / Image Clutter,Element Quantity; Information Volume,point; information,plot,high_point_density (point); too_much_information (visualization),point --contributes_to_clutter_in--> visualization
economist_daily_chart_152.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_152.png,Point,0.55,more information; little more time to understand; more dots; more everything; more items; more lines; more time to understand,Data Density / Image Clutter; Immediacy / Cognitive Load,Element Quantity; Information Volume; Processing Time & Effort,information; time; dot; item; line,understand,high_dot_quantity (point); multiple_lines_present (line); many_data_items (data); high_information_volume (visualization); requires_more_processing_time (visualization); visually_dense_overall (visualization),point --increases_clutter_in--> visualization; data --prolongs_interpretation_of--> visualization
VisJ.1515.12.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1515.12.png,Cont.-ColorPatn,0.58,don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Element Quantity; Graphical Forms & Primitives; Information Volume; Domain Familiarity; Encoding Interpretability; Annotations & Labels; Color Palette & Contrast; Perceptual Ambiguity; Interpretive Difficulty,term; shape; information; line; color; fact; difference; context; sense; contrast; eye; feature; measure,understand; resemble; process; cod; separate; identify; focus; give; know; find,multiple_lines_present (line); difficult_to_differentiate (line); ambiguous_shape_encoding (shape); unclear_resemblance (shape); color_coded_separation (color); weird_color_contrast (color); hard_to_focus_eyes (color); provides_no_context (legend); gives_no_further_information (legend); hard_to_find_features (label); measure_not_clear (label); too_dark (background),color --causes_difficulty_identifying--> line; background --increases_visual_strain_on--> color; legend --fails_to_clarify--> shape; line --contributes_to_clutter_with--> shape
InfoVisJ.339.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.339.10.png,Node-link,0.51,"numbers, sticks and boxes; the distribution of numbers; the ratio between them; more information shown; more time to understand; visually more details","Data Density / Image Clutter; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Text Volume & Content; Dimensionality & Structure; Symbols & Texture; Processing Time & Effort,number; stick; box; distribution; ratio; information; time; detail,show; understand,multiple_box_elements (shape); multiple_stick_elements (bar); distributed_numeric_labels (number); spread_of_values_shown (data); ratio_information_present (number); visually_more_details (shape); more_time_to_understand (number),bar --combined_with--> shape; data --increases_information_in--> shape; number --adds_cognitive_load_to--> number
InfoVisJ.924.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.924.5.png,Bar,0.42,Description easy to read; Key is easy to understand; Labels are clear,Semantics / Text Legibility; Immediacy / Cognitive Load,Annotations & Labels; Interpretive Difficulty,description; key; label,read; understand,easy_to_read (description); easy_to_understand (legend); clear_labeling (label),
InfoVisC.57.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.57.4.png,Bar,0.58,lots of colors close together; not sure what the circles are representing,"Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Semantic Clarity; Color Palette & Contrast,lot; color; circle,close; represent,unclear_representation (point); ambiguous_visual_encoding (point); many_colors_present (color); colors_densely_clustered (color),color --increases_clutter_around--> point; point --requires_interpretation_effort--> color
InfoVisJ.2072.16.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2072.16.png,Area,0.65,Lots of boxes; lots of text; lots of colors,"Data Density / Image Clutter; Semantics / Text Legibility; Color, Symbol, and Texture Details",Element Quantity; Text Volume & Content; Color Palette & Contrast,lot; box; text; color,,high_quantity_boxes (shape); high_text_volume (label); many_colors_present (color),shape --contains--> label; shape --encoded_with--> color; label --increases_load_alongside--> color
visMost786.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost786.png,Area,0.53,much easier to figure out,Immediacy / Cognitive Load,Interpretive Difficulty,,figure,easy_to_interpret (visualization),
VASTJ.200.8.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.200.8.png,Node-link,0.78,no color guide; names too small to read; lines; no order; more difficult to follow the lines,"Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","Position, Scale & Organization; Graphical Forms & Primitives; Typography & Readability; Color Palette & Contrast; Interpretive Difficulty",color; guide; name; line; order,read; follow,multiple_lines_present (line); difficult_to_follow (line); names_too_small_to_read (label); no_color_guide_present (legend); no_ordering_structure (layout),legend --absent_making_harder_to_decode--> line; layout --increases_difficulty_tracing--> line; label --too_small_to_identify--> line
treasuryG07_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/treasuryG07_2.png,Line,0.31,straightforward lines; easier to read; easier to read and discern; lines; graph,Visual Encoding Clarity; Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,Graphical Forms & Primitives; Typography & Readability; Domain Familiarity; Interpretive Difficulty,line; graph,read; discern,straightforward_line_paths (line); multiple_lines_present (line); easier_to_read (visualization); easier_to_discern (visualization); graph_adds_complexity (visualization),line --rendered_as--> visualization; line --plotted_within--> axes
