imageName,imageURL,VisType,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,UniqueSubTopics,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,oar_B_synset_objects
VisJ.1431.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1431.7.png,Line,0.15,lack of information to derive meaning.,"just an image to me,  I have no way of knowing what it is showing me; Simply a line of points on a graph with a hump.",Visual Encoding Clarity; Immediacy / Cognitive Load,,no way of knowing what it is showing me; a line of points,shape increase/decrease point; unclear meaning/confusing,(-); (-),Graphical Forms & Primitives; Semantic Clarity,way; know; show; line; point,line (mark); point (mark),,know (cognitive); show (semantic),"way (filtered, 7 images)",point (mark); visualization (whole)
InfoVisJ.2412.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2412.7.png,Schematic,0.19,,Simplistic symbol,"Color, Symbol, and Texture Details",,Simplistic symbol,symbols,(-),Symbols & Texture,simplistic; symbol,symbol (annotation); symbol (quantity_reference),simplistic (complexity),,,
SciVisJ.995.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.995.5.png,Bar,0.22,,"The image I chose shows what information the graph is presenting, and therefore provokes more thought and understanding. There are axes, numerical values.",Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,,axes; numerical values; information presenting; provokes thought and understanding,infomration representation; lack of/not enough axis labels/legend/annotations/context; title/axis/label/descriptions; provokes thought and understanding,(+); (+); (+); (+),Domain Familiarity; Annotations & Labels; Processing Time & Effort,axis; numerical; value; information; present; provoke; thought; understand,axis (chart_component); value (data_element); value (quantity_reference); information (cognitive_element),,present (semantic); thought (cognitive); understand (cognitive),"numerical (rare, 2 images); provoke (unclustered)",axes (furniture); number (content); data (content)
VisC.503.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.503.6.png,Bar,0.22,,The graph has more information and looks complex. The bar graphs look more important than the circle graphs. It looks more professional than the other graph. There is more detail surrounding the graph for better understanding,Schema; Immediacy / Cognitive Load,,bar graphs; circle graphs; easy to understand,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",(+); (+) (-); (+) (-),Domain Familiarity; Interpretive Difficulty,bar; graph; circle; easy; understand,bar (mark); graph (chart_type); circle (mark),easy (readability),understand (cognitive),,visualization (whole)
VisC.199.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.199.5.png,Line,0.26,,"more easily understood, less time consuming, make sense.",Immediacy / Cognitive Load,,less time consuming; make sense.; more easily understood,easy to interpret/read/understand; more interpretable/readable/understandable,(-); ?; (-),Interpretive Difficulty,time; consume; sense; easily; understand,sense (cognitive_element),time (temporal); sense (cognitive); easily (readability),make sense (cognitive); understand (cognitive),"consume (rare, 1 image)",visualization (whole); data (content); layout (structure)
VASTC.72.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.72.13.png,Bar,0.27,,more informations; more colour,"Data Density / Image Clutter; Color, Symbol, and Texture Details","Color, Symbol, and Texture Details",more color; more information,much/more data/info/info spread; color variety/arrangement/distribution,(+); (+),Information Volume; Color Palette & Contrast,color; information,more information (quantity_reference); more color (quantity_reference); color (perceptual_element); information (cognitive_element),more information (information_quality); more color (color),,,visualization (whole); color (property); data (content)
whoJ40_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ40_2.png,Area,0.28,bold color,The images are both very simple to digest; the colours in the orange chart are bold and distract me from the information conveyed.,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,colors are bold; distract me from the information conveyed; very simple to digest,bold colors; distracting/confusing/unclear; easy to interpret/read/understand,(+); (+); (+),Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty,color; bold; distract; information; convey; simple; digest,the information (quantity_reference); color (perceptual_element); information (cognitive_element),simple (complexity),convey (semantic),"bold (rare, 1 image); distract (rare, 1 image); digest (unclustered)",visualization (whole); color (property); data (content)
economist_daily_chart_75.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_75.png,Bar,0.28,horizontal bar,There are more bars on the graph There are more factors It is harder to read with the bars extending horizontally,Data Density / Image Clutter; Visual Encoding Clarity; Immediacy / Cognitive Load,,more bars; bars extending horizontally; It is harder to read,more charts/points/lines/shapes/elements; horizontal bars; more difficult to interpret/read/understand/differentiate,(+); (+); (+),Element Quantity; Graphical Forms & Primitives; Interpretive Difficulty,bar; extend; horizontally; hard; read,bar (mark),hard (readability),read (cognitive),"extend (rare, 1 image); horizontally (rare, 1 image)",bar (mark); axes (furniture); visualization (whole)
whoQ50_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ50_2.png,Bar,0.28,,Image 1 I would say is most important because it can easily be read.,Immediacy / Cognitive Load,,can easily be read,easy to read,(-),Interpretive Difficulty,easily; read,,easily (readability),read (cognitive),,visualization (whole)
VASTC.81.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.81.3(2).png,Glyph,0.28,,the simpler visual which just uses shapes and a limited colour range,"Visual Encoding Clarity; Color, Symbol, and Texture Details",,shapes; a limited color range,shapes; inadequate/few coloring,(+) (-); (-),Graphical Forms & Primitives; Color Palette & Contrast,shape; limited; color; range,shape (mark); shape (perceptual_element); color (perceptual_element); range (data_element); range (quantity_reference),,shape (evaluative),limited (unclustered),shape (mark); color (property)
