image,sceneGraph,imageName,imageURL,VisType,mentioningColor,context,NormalizedVC,ConfusingSource,rawUserComments,UniqueTopics,CuratedUniqueTopics,CuratePhrasesMore/LessComplex,humanCuratedPhrases,originalSentiments,allStems,visual_objects,visual_attributes,visual_predicates,unmatched_stems,originalStems,objectWords,actionWords,originalStemPOS,oar_B_synset_objects,UniqueSubTopics,UniqueSubTopicsCount,UniqueTopicsCount,oar_B_synset_attributes,oar_B_synset_relationships
,,VisJ.1431.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1431.7.png,Line,,,0.15,lack of information to derive meaning.,"just an image to me,  I have no way of knowing what it is showing me; Simply a line of points on a graph with a hump.",Visual Encoding Clarity; Immediacy / Cognitive Load,,no way of knowing what it is showing me; a line of points,shape increase/decrease point; unclear meaning/confusing,(-); (-),way; know; show; line; point,line (mark); point (mark),,know (cognitive); show (semantic),"way (filtered, 7 images)",way; know; show; line; point,way; line; point,know; show,NOUN; VERB; VERB; NOUN; NOUN,point (mark); visualization (whole),Graphical Forms & Primitives; Semantic Clarity,,,arranged_in_single_line (point); unclear_semantic_meaning (visualization); lacks_interpretive_context (visualization),point --fails_to_convey_meaning_in--> visualization
,,InfoVisJ.2412.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2412.7.png,Schematic,,,0.19,,Simplistic symbol,"Color, Symbol, and Texture Details",,Simplistic symbol,symbols,(-),simplistic; symbol,symbol (annotation); symbol (quantity_reference),simplistic (complexity),,,simplistic; symbol,symbol,,ADJ; NOUN,,Symbols & Texture,,,,
,,SciVisJ.995.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.995.5.png,Bar,,,0.22,,"The image I chose shows what information the graph is presenting, and therefore provokes more thought and understanding. There are axes, numerical values.",Semantics / Text Legibility; Schema; Immediacy / Cognitive Load,,axes; numerical values; information presenting; provokes thought and understanding,infomration representation; lack of/not enough axis labels/legend/annotations/context; title/axis/label/descriptions; provokes thought and understanding,(+); (+); (+); (+),axis; numerical; value; information; present; provoke; thought; understand,axis (chart_component); value (data_element); value (quantity_reference); information (cognitive_element),,present (semantic); thought (cognitive); understand (cognitive),"numerical (rare, 2 images); provoke (unclustered)",axis; numerous; value; information; present; provoke; thought; understand,axis; numerical; value; information; provoke; thought,present; understand,NOUN; PROPN; NOUN; NOUN; VERB; NOUN; NOUN; VERB,axes (furniture); number (content); data (content),Domain Familiarity; Annotations & Labels; Processing Time & Effort,,,multiple_axes_present (axes); dense_numerical_labels (number); rich_information_presented (data); provokes_thought_and_understanding (data),axes --annotated_with--> number
,,VisC.503.6.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.503.6.png,Bar,,,0.22,,The graph has more information and looks complex. The bar graphs look more important than the circle graphs. It looks more professional than the other graph. There is more detail surrounding the graph for better understanding,Schema; Immediacy / Cognitive Load,,bar graphs; circle graphs; easy to understand,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",(+); (+) (-); (+) (-),bar; graph; circle; easy; understand,bar (mark); graph (chart_type); circle (mark),easy (readability),understand (cognitive),,bar; graph; circle; easy; understand,bar; graph; circle,understand,NOUN; NOUN; PROPN; ADJ; VERB,visualization (whole),Domain Familiarity; Interpretive Difficulty,,,increases_visual_complexity (visualization); simple_circular_form (visualization); easy_to_understand (visualization),visualization --combined_with--> visualization
,,VisC.199.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.199.5.png,Line,,,0.26,,"more easily understood, less time consuming, make sense.",Immediacy / Cognitive Load,,less time consuming; make sense.; more easily understood,easy to interpret/read/understand; more interpretable/readable/understandable,(-); ?; (-),time; consume; sense; easily; understand,sense (cognitive_element),time (temporal); sense (cognitive); easily (readability),make sense (cognitive); understand (cognitive),"consume (rare, 1 image)",time; consume; sense; easily; understand,time; sense,consume; understand,NOUN; VERB; NOUN; ADV; VERB,visualization (whole); data (content); layout (structure),Interpretive Difficulty,,,low_cognitive_effort (visualization); easily_understood (data); less_time_consuming (layout),data --makes_sense_to--> visualization; layout --supports_quick_interpretation_of--> data
,,VASTC.72.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.72.13.png,Bar,,,0.27,,more informations; more colour,"Data Density / Image Clutter; Color, Symbol, and Texture Details","Color, Symbol, and Texture Details",more color; more information,much/more data/info/info spread; color variety/arrangement/distribution,(+); (+),color; information,more information (quantity_reference); more color (quantity_reference); color (perceptual_element); information (cognitive_element),more information (information_quality); more color (color),,,color; information,color; information,,NOUN; NOUN,visualization (whole); color (property); data (content),Information Volume; Color Palette & Contrast,,,multiple_colors_present (color); high_information_volume (data),
,,whoJ40_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ40_2.png,Area,,0.0,0.28,bold color,The images are both very simple to digest; the colours in the orange chart are bold and distract me from the information conveyed.,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",,colors are bold; distract me from the information conveyed; very simple to digest,bold colors; distracting/confusing/unclear; easy to interpret/read/understand,(+); (+); (+),color; bold; distract; information; convey; simple; digest,the information (quantity_reference); color (perceptual_element); information (cognitive_element),simple (complexity),convey (semantic),"bold (rare, 1 image); distract (rare, 1 image); digest (unclustered)",color; bold; distract; information; convey; simple; digest,color; information; digest,distract; convey,NOUN; ADJ; VERB; NOUN; VERB; ADJ; NOUN,visualization (whole); color (property); data (content),Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty,,,bold_colors_used (color); simple_to_digest (visualization),
,,economist_daily_chart_75.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_75.png,Bar,,,0.28,horizontal bar,There are more bars on the graph There are more factors It is harder to read with the bars extending horizontally,Data Density / Image Clutter; Visual Encoding Clarity; Immediacy / Cognitive Load,,more bars; bars extending horizontally; It is harder to read,more charts/points/lines/shapes/elements; horizontal bars; more difficult to interpret/read/understand/differentiate,(+); (+); (+),bar; extend; horizontally; hard; read,bar (mark),hard (readability),read (cognitive),"extend (rare, 1 image); horizontally (rare, 1 image)",bar; extend; horizontal; hard; read,bar,extend; read,NOUN; VERB; ADV; ADJ; VERB,bar (mark); axes (furniture); visualization (whole),Element Quantity; Graphical Forms & Primitives; Interpretive Difficulty,,,high_bar_count (bar); extends_horizontally (bar); harder_to_read (visualization),bar --increases_clutter_in--> visualization; bar --extends_along--> axes
,,whoQ50_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ50_2.png,Bar,,,0.28,,Image 1 I would say is most important because it can easily be read.,Immediacy / Cognitive Load,,can easily be read,easy to read,(-),easily; read,,easily (readability),read (cognitive),,easily; read,,read,ADV; VERB,visualization (whole),Interpretive Difficulty,,,easily_readable_content (visualization),
,,VASTC.81.3(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.81.3(2).png,Glyph,,,0.28,,the simpler visual which just uses shapes and a limited colour range,"Visual Encoding Clarity; Color, Symbol, and Texture Details",,shapes; a limited color range,shapes; inadequate/few coloring,(+) (-); (-),shape; limited; color; range,shape (mark); shape (perceptual_element); color (perceptual_element); range (data_element); range (quantity_reference),,shape (evaluative),limited (unclustered),shape; limited; color; range,shape; color; range,,NOUN; ADJ; NOUN; NOUN,shape (mark); color (property),Graphical Forms & Primitives; Color Palette & Contrast,,,multiple_shape_types (shape); limited_color_range (color),shape --encoded_with--> color
,,InfoVisJ.2251.3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.2251.3.png,Schematic,,,0.28,lack of information to derive meaning.,Harder to understand; The one on the left does not give much information. I had no clue what it meant.,Immediacy / Cognitive Load,,Harder to understand; does not give much information.; I had no clue what it meant.,more difficult to interpret/read/understand/differentiate; unclear meaning/confusing,(+); (-); (+),hard; understand; information; clue; mean,information (cognitive_element),hard (readability),understand (cognitive); mean (semantic),"clue (rare, 2 images)",hard; understand; information; clue; mean,information; clue,understand; mean,ADJ; VERB; NOUN; NOUN; VERB,,Interpretive Difficulty; Semantic Clarity,,,,
,,whoQ58_4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoQ58_4.png,Area,,,0.29,,straight to the point,Immediacy / Cognitive Load,,straight to the point,intuitive,(-),straight; point,the point (quantity_reference); point (mark),straight (structure),,,straight; point,point,,ADV; NOUN,visualization (whole),Interpretive Difficulty,,,straightforward_and_concise (visualization),
,,VASTJ.1720.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1720.4.png,Bar,,,0.29,,The one on the right is a simple bar graph. I could gather a little bit what it meant.,Schema; Immediacy / Cognitive Load,,simple bar graph; could gather what it meant,"a specific technique, e.g., bar, pie, circle; easy to interpret/read/understand",(-); (-),simple; bar; graph; gather; mean,bar graph (chart_type); bar (mark); graph (chart_type),simple (complexity),mean (semantic),"gather (rare, 1 image)",simple; bar; graph; gather; mean,bar; graph,gather; mean,ADJ; NOUN; NOUN; VERB; VERB,visualization (whole); bar (mark),Domain Familiarity; Interpretive Difficulty,,,simple_chart_type (visualization); easily_interpretable (visualization); straightforward_encoding (bar),visualization --affords_quick_understanding--> bar
,,VisC.527.1.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.527.1.png,Point,,,0.29,,"When I look at the image of the left, its easier. Dots in more or less a line, axis, few items.",Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Immediacy / Cognitive Load,,few items; Dots in more or less a line; axis; its easier,little data/info; shape increase/decrease point; title/axis/label/descriptions; easier to interpret/read/understand,(-); (-); (+) (-); (-),item; dot; line; axis; easy,item (domain_object); item (quantity_reference); dot (mark); line (mark); axis (chart_component),easy (readability),,,item; dot; line; axis; easy,item; dot; line; axis,,NOUN; NOUN; NOUN; NOUN; ADJ,point (mark); axes (furniture),Information Volume; Graphical Forms & Primitives; Annotations & Labels; Interpretive Difficulty,,,few_data_items (point); linear_arrangement (point); standard_axis_present (axes); easy_to_interpret (axes),point --arranged_along--> axes
,,InfoVisC.211.18.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisC.211.18.png,Bar,,,0.3,,Bar graph is incredibly simple,Schema; Immediacy / Cognitive Load,,Bar graph; incredibly simple,"a specific technique, e.g., bar, pie, circle; simple to interpret/read/understand",(-); (-),bar; graph; incredibly; simple,bar graph (chart_type); bar (mark); graph (chart_type),simple (complexity),,"incredibly (rare, 1 image)",bar; graph; incredibly; simple,bar; graph,,NOUN; NOUN; ADV; ADJ,visualization (whole),Domain Familiarity; Interpretive Difficulty,,,familiar_chart_type (visualization); very_low_complexity (visualization),
