imageName,VisType,originalPhrases,originalSentiments,subj_raw,subj_synset,subj_category,subj_attrs,pred_raw,pred_canon,obj_raw,obj_synset,obj_category,obj_attrs,sentiment,topic
whoO06_2.png,Bar,legend; title,(+); (-),legend,furniture.legend,furniture,increases_perceived_complexity,adds_complexity_relative_to,adds_complexity_relative_to,title,text.title,text,aids_quick_interpretation,[+],Immediacy / Cognitive Load
visMost97.png,Area,common knowledge; distinguished/distinctive colors; simple information; easy to understand,(-); (-); (-); (-),color_encoding,property.color,property,distinguished_distinctive_colors,aids_interpretation_of,aids_interpretation,data_content,content.data,content,simple_information; common_knowledge_domain,[-],Visual Encoding Clarity
visMost97.png,Area,common knowledge; distinguished/distinctive colors; simple information; easy to understand,(-); (-); (-); (-),data_content,content.data,content,simple_information; common_knowledge_domain,requires_minimal_cognitive_load,requires_minimal_cognitive_load,chart,whole.visualization,whole,easy_to_understand,[-],Immediacy / Cognitive Load
wsj135.png,Bar,alignment; time scale; 2 data sets; different colors; easy to understand,?; (-); (-); (-); (-),dataset_1,content.data,content,,distinguished_from,distinguished_from,dataset_2,content.data,content,,[-],"Color, Symbol, and Texture Details"
wsj135.png,Bar,alignment; time scale; 2 data sets; different colors; easy to understand,?; (-); (-); (-); (-),dataset_1,content.data,content,,shares_time_axis_with,shares_time_axis_with,dataset_2,content.data,content,,[-],Data Density / Image Clutter
InfoVisC.133.5(3).png,Node-link,number of details; element size; shapes and contrasts,(-); (-); (+),shapes,mark.shape,mark,varied_shapes_present; high_contrast_marks,increases_visual_complexity_of,increases_complexity,chart,whole.visualization,whole,low_detail_count,[+],Aesthetics Uncertainty
InfoVisC.133.5(3).png,Node-link,number of details; element size; shapes and contrasts,(-); (-); (+),data_elements,content.data,content,large_element_size,reduces_clutter_in,reduces_clutter_in,chart,whole.visualization,whole,low_detail_count,[-],Data Density / Image Clutter
SciVisJ.1025.11.png,Point,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+),text_labels,text.label,text,lots_of_inscriptions; detailed_annotations; sparse_text_present,increases_cognitive_load,increases_effort,data_elements,content.data,content,high_information_volume; nuanced_data_content; more_data_points,[+],Immediacy / Cognitive Load
SciVisJ.1025.11.png,Point,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+),numbers,content.number,content,numeric_labels_present,contributes_to_clutter_in,contributes_to_clutter_in,measurements,content.number,content,several_measurements_shown,[+],Data Density / Image Clutter
SciVisJ.1025.11.png,Point,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+),colors,property.color,property,multiple_colors_used; high_color_contrast,aids_differentiation_of,aids_differentiation_of,data_elements,content.data,content,high_information_volume; nuanced_data_content; more_data_points,[-],Visual Encoding Clarity
SciVisJ.1025.11.png,Point,Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+),measurements,content.number,content,several_measurements_shown,adds_detail_to,adds_detail_to,data_elements,content.data,content,high_information_volume; nuanced_data_content; more_data_points,[+],Data Density / Image Clutter
InfoVisJ.619.17.png,Point,dots are everywhere; seems cluttered; spread around; easier to figure out,(+); (+); (+); (-),dots,mark.point,mark,scattered_everywhere; spread_around,contributes_to,contributes_to,layout,structure.layout,structure,cluttered_appearance; easier_to_figure_out,[+],Aesthetics Uncertainty
economist_daily_chart_165.png,Bar,contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,(+); (+); (+); (-); (+); (+); (+); (+); (-); (-); (-); (+),color_encoding,property.color,property,mixes_several_colors; distinct_colors_used,encodes_variation_in,encodes_variation_in,data_elements,content.data,content,lot_of_details; more_details_present; data_easier_to_see; content_hard_to_see,[+],"Color, Symbol, and Texture Details"
economist_daily_chart_165.png,Bar,contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,(+); (+); (+); (-); (+); (+); (+); (+); (-); (-); (-); (+),text_labels,text.label,text,requires_reading; clear_text,adds_reading_burden_to,adds_reading_burden_to,chart,whole.visualization,whole,contains_more_information; two_dimensional_layout; understandable_visual; requires_concentration,[+],Semantics / Text Legibility
economist_daily_chart_165.png,Bar,contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,(+); (+); (+); (-); (+); (+); (+); (+); (-); (-); (-); (+),data_elements,content.data,content,lot_of_details; more_details_present; data_easier_to_see; content_hard_to_see,contributes_detail_to,contributes_detail_to,chart,whole.visualization,whole,contains_more_information; two_dimensional_layout; understandable_visual; requires_concentration,[+],Data Density / Image Clutter
economist_daily_chart_165.png,Bar,contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,(+); (+); (+); (-); (+); (+); (+); (+); (-); (-); (-); (+),title,text.title,text,,aids_interpretation_of,aids_interpretation,chart,whole.visualization,whole,contains_more_information; two_dimensional_layout; understandable_visual; requires_concentration,[-],Immediacy / Cognitive Load
VisJ.1499.8.png,Glyph,more information to think about; number of points/shapes,(+); (-),information_content,content.data,content,requires_more_thinking,increases_cognitive_demand_of,increases_cognitive_demand_of,chart,whole.visualization,whole,,[+],Immediacy / Cognitive Load
VisJ.1499.8.png,Glyph,more information to think about; number of points/shapes,(+); (-),data_points,mark.point,mark,low_number_of_points,limited_quantity_reduces_clutter_in,limited_quantity_reduces_clutter_in,chart,whole.visualization,whole,,[-],Data Density / Image Clutter
wsj603.png,Line,shapes and lines; more colors; fairly easy to read; many small details; much more information,(+); (+); (-); (+); (+),lines,mark.line,mark,multiple_lines_present,combined_with,combined_with,shapes,mark.shape,mark,varied_shape_marks,[+],Visual Encoding Clarity
wsj603.png,Line,shapes and lines; more colors; fairly easy to read; many small details; much more information,(+); (+); (-); (+); (+),small_details,content.detail,content,many_small_details,contributes_to,contributes_to,information_content,content.data,content,high_information_volume; fairly_easy_to_read,[+],Data Density / Image Clutter
wsj603.png,Line,shapes and lines; more colors; fairly easy to read; many small details; much more information,(+); (+); (-); (+); (+),color_scheme,property.color,property,more_colors_used,increases_complexity_of,increases_complexity,information_content,content.data,content,high_information_volume; fairly_easy_to_read,[+],"Color, Symbol, and Texture Details"
whoQ44_4.png,Area,data in  different format; number of different graphic elements; Readability; colors are difficult to tell apart; reading data more difficult; easier to read; undersant easly what is about; Small numbers; more information; shapes more complex; variations of shade; Lots of variables; Large numbers; Different colors; more forms; more colors; quicker/easier to process; legend; numbers; clear and clean,(+); (+); (+); (+); (+); (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (+); (+); (-),graphic_elements,mark.element,mark,high_number_of_elements; more_forms_present,increases_visual_clutter_in,increases_visual_clutter_in,chart,whole.visualization,whole,data_in_different_format; more_information_present; clear_and_clean_layout; quicker_easier_to_process; easier_to_read; understand_easily_what_about; reading_data_more_difficult; reduced_readability,[+],Aesthetics Uncertainty
