filename,vc_score
wsj135.png,0.38
economist_daily_chart_165.png,0.52
visMost97.png,0.25
SciVisJ.1025.11.png,0.45
whoO06_2.png,0.62
whoQ44_4.png,0.52
InfoVisJ.1558.11(3).png,0.42
InfoVisC.133.5(3).png,0.52
InfoVisJ.619.17.png,0.68
wsj603.png,0.55
VisJ.1515.12.png,0.35
VisJ.1499.8.png,0.58
v487_n7406_7_f3.png,0.72
v483_n7391_8_f5.png,0.62
SciVisJ.1236.10.png,0.82
SciVisJ.2926.1.png,0.82
InfoVisJ.2699.12.png,0.82
VisJ.1197.5(3).png,0.88
SciVisJ.980.12(2).png,0.72
VisC.503.6.png,0.2
InfoVisJ.2402.12(1).png,0.88
InfoVisC.211.18.png,0.25
whoJ44.png,0.22
wsj340.png,0.28
whoQ50_2.png,0.42
InfoVisC.73.6.png,0.35
VisC.167.11.png,0.52
economist_daily_chart_153.png,0.45
VASTJ.2908.2.png,0.62
InfoVisJ.1236.13.png,0.72
InfoVisJ.1558.9.png,0.62
SciVisJ.822.18.png,0.35
InfoVisJ.349.1.png,0.72
VASTJ.422.7.png,0.62
VisJ.1949.18(3).png,0.62
VASTJ.2012.9(2).png,0.82
v488_n7412_9_f1.png,0.78
v488_n7409_12_f4.png,0.62
v488_n7409_19_f1.png,0.78
visMost573.png,0.82
VisJ.1541.1(2).png,0.82
vis734.png,0.88
VASTJ.1.7.png,0.85
InfoVisC.65.5(2).png,0.82
VASTC.13.9.png,0.82
InfoVisJ.1149.6(1).png,0.82
