phrase,0.0–0.2,0.2–0.4,0.4–0.6,0.6–0.8,0.8–1.0,total
color variety/arrangement/distribution,0,4,29,46,7,86
more charts/points/lines/shapes/elements,0,1,26,40,11,78
much/more data/info/info spread,0,4,26,24,3,57
easy to interpret/read/understand,0,16,26,11,2,55
"domain-specific concepts (e.g., chemical, biology, map)",0,2,16,21,2,41
title/axis/label/descriptions,0,6,17,10,4,37
unclear colormaps,0,0,11,21,2,34
lack of/not enough axis labels/legend/annotations/context,0,3,17,11,3,34
more detailed/things,0,2,8,20,4,34
hard to interpret/read/understand,0,0,14,15,4,33
unfamiliar concepts/patterns,0,1,18,10,3,32
unclear meaning/confusing,1,3,11,13,2,30
more difficult to interpret/read/understand/differentiate,0,3,10,14,1,28
not interpretable/readable/understandable,0,3,7,14,3,27
a specific technique,0,3,11,12,1,27
familiar representation,0,4,12,9,2,27
take longer to interpret,0,3,13,7,2,25
shapes and lines,0,4,7,12,1,24
distracting/confusing/unclear,0,1,10,11,1,23
amount of words/context/numbers,0,2,8,11,1,22
more texts/words,0,1,8,10,1,20
easier to interpret/read/understand,0,5,10,4,1,20
little data/info,0,4,10,4,1,19
word/text/sentence,0,2,3,14,0,19
word rotation/small font size,0,0,5,10,3,18
hard to interpret/read/understand/differentiate,0,1,5,9,2,17
overlapping shapes/colors/lines,0,0,6,9,2,17
shapes,0,1,6,9,0,16
too much legend,0,0,7,5,1,13
multiple features/elements/graphs,0,1,2,9,1,13
lines,0,4,2,5,1,12
unclear color meaning,0,0,5,4,2,11
looks random/messy/lack structure,0,0,5,5,1,11
more reading/interpretation/understanding,0,0,4,4,3,11
lack of color contrast / hard to distinguish colors,0,1,8,1,1,11
unclear coloring,0,1,3,4,2,10
messy/mixed up/noisy/intermingled elements,0,0,1,8,1,10
low color contrast/separation/segmentation,0,1,5,4,0,10
"a specific technique, e.g., bar, pie, circle",0,5,2,2,1,10
dense/cluttered data/info,0,1,3,5,1,10
2D/3D,0,0,4,4,2,10
easier to process/visualize,0,0,6,3,0,9
fine/layered details,0,0,3,6,0,9
readability,0,1,5,1,2,9
color shading,0,0,5,4,0,9
dense/cluttered layout,0,0,5,4,0,9
unclear colors/contrast,0,0,6,2,0,8
clear title/axis/label,0,0,4,3,1,8
more title/axis/label,0,0,4,3,1,8
inadequate/few coloring,0,2,2,4,0,8
shape size variation,0,0,2,4,2,8
different font/word sizes/structure,0,1,1,6,0,8
amount of / too many colors,0,1,2,3,2,8
more complicated,0,1,3,4,0,8
more to read/analyze/understand,0,0,3,5,0,8
more parameters/variables,0,0,5,3,0,8
shape variety,0,1,1,4,1,7
curves and shapes,0,1,4,2,0,7
dense points/lines/shapes/elements,0,0,2,5,0,7
black-to-white/color gradient,0,1,4,2,0,7
intuitive,0,2,4,1,0,7
no measurement/metric/axis,0,0,5,2,0,7
hard to see/tell/visualize,0,0,2,3,2,7
hard to compare/discern/distinguish,0,0,1,4,2,7
soft/layered/overlapping colors,0,0,4,2,0,6
element sizes,0,0,2,4,0,6
no context or reference,0,0,2,4,0,6
hard to identify/extract/find features,0,1,3,2,0,6
complicated to process,0,0,2,1,3,6
too much data/info,0,0,3,3,0,6
simple to interpret/read/understand,0,3,2,1,0,6
unclear relation between words,0,1,1,3,1,6
organized/structured,0,0,3,3,0,6
not intuitive/simple data,0,1,3,2,0,6
ambiguous/confusing colors,0,0,1,4,0,5
good color contrast/separation/segmentation,0,1,2,2,0,5
too many colors,0,0,3,2,0,5
visual clarity/appealing,0,0,3,2,0,5
unclear meaning,0,0,1,4,0,5
too many details/divisions,0,0,1,3,1,5
hard to focus/follow,0,0,3,2,0,5
indistinguishable/unintuitive lines,0,0,2,3,0,5
distinguishable/full/highly contrast color uses,0,0,3,2,0,5
abstract shapes or colors,0,0,1,4,0,5
clear colors/shapes,0,2,2,1,0,5
many/more data/info,0,1,1,3,0,5
color scale/scheme,0,0,3,2,0,5
unclear shape meaning,0,0,1,3,0,4
many points/lines/shapes/elements,0,1,1,2,0,4
a specific domain,0,1,1,1,1,4
white/black background / other background,0,0,1,2,1,4
attention/squinting to understand,0,0,1,3,0,4
more difficult to compare/discern/distinguish,0,0,2,2,0,4
understand/read shapes,0,0,4,0,0,4
two colors,0,1,2,0,1,4
design-data relationship,0,0,1,3,0,4
more effort/reading/detailed analysis,0,1,2,1,0,4
no clear indication,0,0,2,2,0,4
read/analyze many figures/items,0,0,1,3,0,4
easier to see/tell/visualize,0,1,2,1,0,4
several elements,0,0,2,2,0,4
scale difference,0,1,1,1,1,4
distinguishable color variety/arrangement/distribution,0,0,3,1,0,4
more labels/context,0,0,2,2,0,4
straight lines,0,1,1,2,0,4
clear indication,0,1,3,0,0,4
clear text/scale/information,0,0,1,3,0,4
easy to understand,0,0,2,1,0,3
"scattered shapes (e.g., dots, squares, pictures)",0,0,0,1,2,3
easier to read,0,1,2,0,0,3
shape increase/decrease point,1,1,1,0,0,3
ordered,0,0,1,2,0,3
easy to focus/follow,0,0,2,1,0,3
shape position,0,0,2,1,0,3
too many points/lines/shapes/elements,0,0,1,1,1,3
clear text arrangement/density,0,0,2,1,0,3
simple visual elements,0,0,2,1,0,3
curved lines,0,0,2,1,0,3
code/text,0,0,1,2,0,3
color keys,0,0,2,1,0,3
-,0,1,1,1,0,3
few points/lines/shapes/elements,0,2,1,0,0,3
shape point of interest,0,1,1,1,0,3
bright colors,0,1,1,1,0,3
blurry colors/images,0,0,1,2,0,3
shape size,0,0,1,1,1,3
monochrome,0,0,1,1,1,3
more regions/space,0,0,2,1,0,3
less intuitive,0,0,2,0,1,3
less attractive,0,0,1,2,0,3
more difficult,0,0,0,3,0,3
more difficult to focus/follow,0,0,2,1,0,3
little/less text/numbers/context,0,1,1,1,0,3
less organized elements,0,0,0,3,0,3
legend easy to understand,0,0,2,1,0,3
more contrast,0,0,2,1,0,3
texture details,0,0,1,1,0,2
text hard to read,0,0,1,1,0,2
text and imagery,0,0,0,2,0,2
unclear movement,0,0,1,1,0,2
size decreasing,0,0,0,0,2,2
context,0,0,1,1,0,2
color represents groups,0,0,1,1,0,2
confusing connection,0,0,1,1,0,2
symbols,1,1,0,0,0,2
spatial organization,0,0,2,0,0,2
size variation,0,0,2,0,0,2
small and simple,0,0,0,2,0,2
description easy to read,0,0,1,1,0,2
convoluted composition,0,0,1,1,0,2
shape variation,0,0,1,1,0,2
shapes and contrasts,0,0,1,1,0,2
color details,0,0,0,2,0,2
color dimension,0,1,0,1,0,2
cluttered labels/annotations,0,0,1,1,0,2
clear connection,0,1,0,1,0,2
value and graphic alignment,0,1,0,1,0,2
unreadable,0,0,0,1,1,2
bars as individual lines,0,0,1,1,0,2
clear color uses,0,0,0,2,0,2
blue color,0,0,1,1,0,2
