filename,explanation
SciVisJ.1025.11.png,"This is a scatterplot with 16 data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with direct text labels. The data density is moderate with some clustering in the lower-right region, but the layout is relatively clean with adequate spacing. The use of 4 distinct colors and individual point labels adds some cognitive load, but the overall structure is a straightforward 2D scatterplot that is fairly easy to interpret."
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents and their corresponding population numbers. The data density is very low with only 5 data points, the color encoding is straightforward with distinct solid colors for each region, and the layout is clean and spacious with minimal text. The cognitive load is minimal as the message is immediately interpretable."
economist_daily_chart_165.png,"This is a stacked/grouped horizontal bar chart with 20 countries and two categories (Deceased and Living donors), resulting in moderate data density. The dual-color encoding is straightforward but the large number of bars (20 countries) adds to the visual load. Text labels are clear and legible, and the layout is well-organized, but the quantity of elements and the need to compare across many countries elevates complexity above a simple bar chart."
whoO06_2.png,"This is a grouped/stacked horizontal bar chart with 19 categories and 3 color-encoded income levels per bar, creating moderate data density. The extensive text labels on the y-axis for each risk factor, combined with the title, legend, and axis labels, add significant semantic load. The three-color encoding is clear but the number of categories (19) and the stacked nature of the bars increase cognitive load compared to a simple bar chart, pushing complexity above a standard grouped chart."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) over 12 years, which is relatively straightforward. The chart uses only two colors (green and orange), has clear annotations and labels, and includes a descriptive title and subtitle. While there are ~24 bars total and some callout annotations on the right side, the overall layout is clean and immediately interpretable, keeping complexity moderate-to-low."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
InfoVisC.133.5(3).png,"This is a parallel sets or alluvial diagram showing the flow between three categorical variables (Class, Sex, Survived) with two categories each. The overlapping colored ribbons create moderate visual complexity through their crossings and transparency effects. While the number of variables and categories is small, the crossing flows between levels and the color blending where ribbons overlap add perceptual complexity. The text labels are clear and minimal, but the schema requires some familiarity with flow-based visualizations to interpret correctly."
InfoVisJ.1558.11(3).png,"This is a scatter-like plot with three color-coded clusters (red, green, blue) of elliptical marks within a dashed border. There are no axes, labels, legends, or text annotations, which keeps text/semantic complexity very low. The data density is moderate with roughly 100+ points, but the clean white background, simple color scheme, and lack of any textual or structural elements make it straightforward to interpret. The absence of axes or labels slightly increases ambiguity but overall cognitive load remains low."
whoQ44_4.png,"This stacked area chart has moderate complexity with 8 different country categories encoded using a brown/tan color gradient, spanning 12 years of data. The legend with 8 items and the lengthy title add to text density. However, the single-panel layout, straightforward stacked area encoding, and clean design keep it from being highly complex, though distinguishing between the similar brown/beige shades adds some perceptual difficulty."
wsj603.png,"This is a dual-line time series chart with two clearly labeled series (10-year Treasury note and 10-year TIPS) spanning 2009-2012. The lines themselves are fairly detailed and jagged, showing daily-level data which adds moderate data density. The chart includes several annotation callouts (Wednesday values, spread indicators) and a shaded area highlighting the spread, which adds to the cognitive load. The text is moderately dense with a lengthy subtitle, source attribution, and multiple in-chart annotations. However, the overall structure is straightforward—two lines on a single panel with a clear temporal axis—keeping it from being highly complex."
