,visMost97.png,InfoVisJ.2402.12(1).png,VisC.503.6.png,VisC.167.11.png,VisJ.1515.12.png,VisJ.1541.1(2).png,InfoVisJ.1558.9.png,SciVisJ.980.12(2).png,VASTJ.2908.2.png,InfoVisJ.1149.6(1).png,whoJ44.png,wsj603.png,InfoVisC.133.5(3).png,InfoVisC.65.5(2).png,SciVisJ.1025.11.png,VASTJ.422.7.png,InfoVisC.73.6.png,VASTC.13.9.png
Information Volume,1,0,1,0,0,0,0,0,0,0,2,3,3,0,3,3,2,2
Element Quantity,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Visual Clutter & Overlap,0,0,0,0,0,2,3,0,0,2,0,0,2,3,0,0,2,0
Graphical Forms & Primitives,0,3,1,0,1,0,4,1,0,0,2,2,3,0,0,0,0,0
"Position, Scale & Organization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encoding Interpretability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotations & Labels,0,0,0,0,2,0,3,2,0,3,0,0,0,0,0,2,0,1
Text Volume & Content,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
Typography & Readability,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0
Domain Familiarity,2,1,2,2,0,1,0,2,2,0,0,0,0,1,2,0,0,3
Dimensionality & Structure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstraction Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color Palette & Contrast,2,2,0,2,3,2,3,2,2,0,0,2,1,2,3,2,1,2
Symbols & Texture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual Disorganization,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Perceptual Ambiguity,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Interpretive Difficulty,1,0,2,2,3,0,2,0,2,0,0,1,0,3,0,0,1,0
Semantic Clarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Processing Time & Effort,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
