filename,explanation
visMost97.png,"This is a simple infographic showing a world map with continents color-coded and labeled with population proportions. It has only 5 data points, minimal text labels, clean white background, and bold simple typography. The visual elements are few and well-spaced, making it very easy to parse at a glance."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) over 12 years, resulting in about 24 bars. The design is clean with a clear color scheme (green and orange), readable labels, and helpful annotations. While there are a moderate number of data points, the layout is well-organized with minimal clutter, keeping complexity below the midpoint."
SciVisJ.1025.11.png,"This scatter plot has moderate complexity with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with labeled variants. While the layout is clean with clear axes, the numerous overlapping labels in the lower-right cluster and the need to distinguish four categories with their size variants adds cognitive demand. The overall structure remains straightforward as a standard 2D scatter plot."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level categories each, creating a substantial amount of visual information. The numerous labeled categories on the y-axis, three-color stacked segments per bar, legend, detailed title, and x-axis annotations contribute to moderate-to-high complexity. However, the consistent layout, clear color scheme, and orderly arrangement keep it from reaching the highest complexity levels."
economist_daily_chart_165.png,"This horizontal stacked bar chart displays 20 countries with two categories (Deceased and Living organ donors), creating a moderate amount of visual information. The dual-color encoding and numerous bars add complexity, but the clean layout, clear labels, and straightforward structure keep it from being highly complex. The consistent formatting and readable axis make it relatively easy to parse despite the substantial number of data points."
InfoVisC.133.5(3).png,"This is a parallel sets or alluvial diagram showing the relationships between Class (1st, 2nd), Sex (male, female), and Survived (no, yes). While it has only three categorical variables with two levels each, the crossing ribbons with varying widths and semi-transparent color overlaps create moderate visual complexity. The color-coded flows intersecting between levels add perceptual demand, though the overall structure remains relatively straightforward with limited categories."
wsj603.png,"This line chart displays two time series (10-year Treasury note and 10-year TIPS) with moderately volatile, jagged lines spanning from 2009 to 2012. The complexity is increased by multiple annotated callout boxes highlighting specific data points and spreads, a shaded area between the lines near the end, and a substantial text block providing context. However, the overall structure remains a two-line chart with a clear layout, keeping it at moderate complexity."
whoQ44_4.png,"This stacked area chart has moderate complexity with 8 different country layers distinguished by shades of brown/beige, spanning 12 years of data. The overlapping stacked areas and similar color palette make it somewhat challenging to distinguish individual countries, but the overall layout is a single standard chart type with clear axes and legend, keeping complexity at a moderate level."
InfoVisJ.1558.11(3).png,"This scatter plot shows three color-coded clusters (red, green, blue) of data points within a dashed border. While there are many individual points, the visualization lacks axes, labels, legends, gridlines, or any textual annotations, keeping it relatively simple. The moderate number of scattered elements and three distinct color groups add some perceptual demand but the overall design is clean and minimalist."
InfoVisJ.619.17.png,"This is the same biplot/scatter visualization as previously scored. It contains numerous scattered data points with color encoding (black-to-orange gradient), multiple labeled arrows for variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks, dotted reference lines, labeled data points (Puffed rice, All-Bran with Extra Fiber), and a continuous color legend. The moderate density of overlapping elements and multiple encoding channels contribute to a mid-range complexity score."
VisJ.1515.12.png,"This visualization shows concentric circular rings radiating from a center point, with alternating dark green and dark red/maroon bands. While the pattern has some visual intricacy due to the multiple rings, the overall structure is simple and repetitive with no text, labels, axes, or data annotations. The limited color palette and uniform geometric pattern keep the complexity relatively low."
VisJ.1499.8.png,"This visualization shows two side-by-side 3D renderings of a heart model (Case 4) with color-mapped surfaces using an orange-yellow gradient, wireframe grid overlays, and orientation cubes. The right panel adds numerous diamond-shaped glyph markers scattered across the surface, increasing its complexity. While the individual elements are moderately complex, the dual-panel layout, color mapping, grid lines, glyphs, and 3D perspective collectively create a moderate-to-high level of visual complexity."
v487_n7406_7_f3.png,"This visualization combines multiple layers of information: a continuous color-mapped heatmap showing displacement (Δz), vector field arrows indicating direction and magnitude of movement, and contour lines overlaid on top. The rich color gradient spanning red through green to blue/purple, combined with the dense arrow field and irregular contour lines, creates substantial visual complexity. The physical context (rod penetration into a medium) adds interpretive demand, though the overall layout is a single coherent plot with clear axes and legend."
v483_n7391_8_f5.png,"This contour/heatmap plot has moderate-to-high complexity. It features multiple contour levels with a continuous color gradient from pale yellow to deep red, overlaid line curves (cyan), dual axes on both x and y sides, and densely packed contour lines especially in the lower-left and right regions. The legend with 12 discrete color levels and the scientific notation on axes add to the cognitive load, though the overall layout remains a single coherent plot."
SciVisJ.1236.10.png,"This visualization contains a large grid of 54 small heatmap matrices arranged in 6 rows and 9 columns, each showing different correlation or similarity patterns with varying purple and green color intensities. The sheer number of individual sub-plots, the fine-grained pixel-level detail within each matrix, and the multiple labeled column headers (E5U, E5W, E1U, E1W combinations) create high visual density and cognitive demand for comparison across panels."
SciVisJ.2926.1.png,"This scientific visualization shows a highly detailed 3D rendering with complex swirling patterns, multiple color channels (blue, red, yellow, green), dense particle/glyph distributions, and intricate flow structures. The visual density is high with many overlapping elements, though the dark background and single-panel layout reduce complexity slightly compared to multi-panel dashboards."
VisJ.1197.5(3).png,"This 3D visualization shows an extremely dense cityscape-like arrangement of hundreds of rectangular blocks/buildings viewed from an aerial perspective. The sheer number of overlapping geometric elements, the strong contrast between light and dark surfaces creating visual noise, and the lack of any labels or legend make it perceptually overwhelming. The complexity is very high due to the density, occlusion, and difficulty in distinguishing individual elements."
InfoVisJ.2699.12.png,"This network graph visualization contains a very large number of nodes and edges spread across the entire canvas, creating high visual density. Multiple interconnected clusters of varying sizes with overlapping edges contribute to significant visual clutter. The four annotated subgroups (SG1-SG4) with red circles add additional elements, though the overall complexity is primarily driven by the dense, intricate network structure with hundreds of nodes and edges."
InfoVisJ.2402.12(1).png,"This treemap visualization exhibits extremely high visual complexity with hundreds of nested rectangular cells of varying sizes, creating a dense and intricate layout. The predominantly gray palette is punctuated by green and cyan/turquoise highlights, adding color-coded information layers. The sheer number of small elements, especially in the lower portion where cells become very fine-grained, combined with the hierarchical nesting structure, demands significant perceptual effort to parse."
VisC.503.6.png,"This is a simple bar chart with only 3 hatched bars, clear axis labels, a title, and small red error bars. The layout is clean and uncluttered with minimal visual elements, making it very low in visual complexity."
SciVisJ.980.12(2).png,"This 3D flow visualization contains multiple layers of complexity including streamlines/flow lines creating swirling patterns, numerous colored glyphs (arrows, ellipsoids) scattered throughout the volume, and four distinct vortex structures with 3D isosurfaces at their centers. The overlapping elements, multiple colors, and 3D perspective create significant perceptual demand, though the white background and relatively organized spatial structure prevent it from reaching maximum complexity."
whoQ50_2.png,"This is a straightforward bar chart with 19 bars showing percentage change across countries. While there are many category labels (rotated at an angle) which add some textual density, the chart uses a single color, simple axis structure, and a clean layout. The moderate number of bars and long country names add some complexity but the overall design remains relatively simple."
InfoVisC.211.18.png,"This is a simple bar chart showing a right-skewed distribution with approximately 18 bars decreasing in height. The chart has minimal labeling (partially illegible axis labels), no color variation (all black bars), no legend, and a straightforward single-variable layout, making it low in visual complexity."
wsj340.png,"This is a simple pie chart with only 6 segments, clear labels with percentages directly on the slices, and a straightforward layout. The chart uses a limited color palette and includes a modest amount of explanatory text. The 3D-like donut design adds slight visual complexity but overall the visualization is clean and easy to parse."
whoJ44.png,"This is a simple line chart with only two clearly distinguished lines (Total ODA and General budget support) over an 11-year period. The layout is clean with minimal gridlines, a straightforward legend, clear axis labels, and limited annotations. The low number of data series and uncluttered design result in low visual complexity."
InfoVisC.73.6.png,"This image shows repeated text ('IEEE Information Visualization 2005') arranged along curved paths at decreasing sizes, with red dots marking endpoints. While the curved text arrangement adds some visual interest, the content is repetitive and the overall composition is relatively simple with limited data encoding, few colors (green text, red dots, black curves on white), and no complex data structures or dense information layers."
