filename,explanation
visMost97.png,"This is a clean, minimalist infographic with very low data density — only 5 data points representing continental populations. The visual encoding is straightforward using color-coded continent shapes with large, easily readable numbers and labels. The layout is spacious with ample white space, minimal text, and no overlapping elements, making it immediately interpretable with very low cognitive load."
whoO06_2.png,"This stacked horizontal bar chart displays 19 risk factors with three income-level categories each, creating moderate data density. The extensive text labels on the y-axis, detailed title, and legend add to the semantic load. While the color scheme is limited to three distinct colors and the chart type is straightforward, the large number of categories (19 bars with 3 segments each) and the need to compare across both categories and income levels increases cognitive load and overall complexity."
wsj135.png,"This is a straightforward grouped bar chart with two categories (Refinance and Home purchase) over 12 years, using only two colors (green and orange). The layout is clean and well-organized with clear annotations, a descriptive title, and subtitle. While there are a moderate number of bars (~24) and some text annotations with callout labels for the final year's values, the overall design is highly readable with minimal cognitive load, keeping complexity relatively low."
SciVisJ.1025.11.png,"This scatter plot has moderate complexity with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with direct text labels. While the encoding is straightforward (2D scatter with color differentiation), the clustering of points in the 750-900 megabytes range creates some visual clutter and label overlap, particularly around the JIT and Opt. points. The overall layout is clean with clear axes, but the number of individually labeled points and the need to mentally group by color category adds moderate cognitive load."
whoQ44_4.png,"This stacked area chart has moderate complexity driven by 8 overlapping color-coded layers representing different countries, requiring careful differentiation among similar brown/beige tones. The legend with 8 entries and the lengthy title add to the text density. However, the chart type is a standard stacked area chart with a clean layout, clear axis labels, and a straightforward temporal progression, keeping the cognitive load manageable."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style visualization showing the relationship between Class (1st, 2nd), Sex (male, female), and Survived (no, yes). While the number of categories is small and text labels are clear, the overlapping colored ribbons connecting the three levels create moderate visual complexity. The crossing flows between Sex and Survived are particularly tangled, increasing cognitive load for tracing individual paths. The color palette is limited to two main hues (teal and green), keeping color complexity moderate, but the overlapping translucent bands add perceptual difficulty."
economist_daily_chart_165.png,"This horizontal bar chart displays organ donor rates for 20 countries with two categories (Deceased and Living) encoded in dark and light blue. The data density is moderate with 40 bars total, and the text is legible with clear country labels. While the chart is straightforward in schema and encoding, the number of countries and the dual-bar comparison adds moderate cognitive load, and the unsorted arrangement (not ordered by total or either category) slightly increases interpretation effort."
InfoVisJ.1558.11(3).png,"This scatter plot shows three color-coded clusters (red, green, blue) of elongated marks within a dashed border. While there are a moderate number of data points creating some visual density, the visualization lacks any text labels, axes, legends, or annotations, making it very minimal in terms of semantics and schema. The three distinct colors and spatial separation of clusters make interpretation relatively straightforward, though the oriented/elongated mark shapes add slight encoding complexity beyond simple dots."
InfoVisJ.619.17.png,"This is the same biplot/scatter visualization as previously scored. It features moderate data density with ~60+ scattered points encoded by both size and a continuous color gradient (black to orange), directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks, dotted reference lines, labeled data points, and a color legend. The combination of multiple encoding channels, overlapping elements, and the need for domain knowledge about biplots contributes to moderate complexity."
wsj603.png,"This line chart shows two time series (10-year Treasury note and 10-year TIPS) with moderate data density from the detailed, jagged line paths spanning 2009-2012. The annotations with colored callout boxes (Wednesday values, spread indicators) and the shaded area between lines add visual elements, but the overall layout is well-organized with clear labels. The color scheme is limited to gold, red, and blue annotations on a green background, and the chart type is straightforward, keeping cognitive load moderate despite the dense line detail and multiple text annotations."
VisJ.1515.12.png,"This visualization shows concentric circular/elliptical rings with a limited color palette of dark green, olive, and dark red/maroon. While the repeating ring pattern creates some visual intricacy, there is no text, no axes, no labels, and no legend, which significantly reduces semantic and cognitive load. The pattern is relatively uniform and predictable, though the color blending and overlapping rings add moderate perceptual complexity. The lack of any data annotations or structural framework means interpretation relies on specialized domain knowledge (possibly an interference pattern or scientific field visualization), which adds some schema complexity."
VisJ.1499.8.png,"This visualization shows two side-by-side 3D renderings of what appears to be a cardiac model (likely left ventricle) with color-mapped surfaces and wireframe overlays. The right panel adds numerous diamond-shaped glyph markers, increasing its visual density. The 3D schema requires some domain knowledge (medical/cardiac imaging), and the color gradient encoding adds another dimension. However, the overall layout is relatively clean with only two panels, minimal text labels, and a straightforward comparison structure, keeping the complexity moderate rather than high."
v483_n7391_8_f5.png,"This contour/heatmap plot has moderate-to-high complexity. It features a continuous color-mapped field with many contour levels (12 discrete levels in the legend), dual axes on both x (k and k/k_F) and y (E and E/E_F) sides, and overlaid line features (cyan curve, red/black concentrated contour regions). The domain knowledge required is specialized (condensed matter physics, dispersion relations), and the intricate contour shapes with nested regions and a prominent diagonal feature add to cognitive load. However, the overall layout is clean with a single panel and a clear legend, keeping it from the highest complexity levels."
SciVisJ.1236.10.png,"This visualization contains a large grid of 54 small multiple heatmaps arranged in 6 rows and 9 columns, creating very high data density. Each heatmap uses a purple-green color scheme with varying patterns, requiring significant cognitive effort to compare across panels. The combination of numerous small multiples, domain-specific labels (E5U, E5W, E1U, E1W), and the need to discern subtle pattern differences across many matrices makes this visualization highly complex, though the consistent layout and limited color palette prevent it from reaching maximum complexity."
v487_n7406_7_f3.png,"This visualization combines multiple encoding layers: a continuous color-mapped heatmap showing displacement (Δz), overlaid vector arrows indicating direction and magnitude of movement, and contour lines delineating regions of equal displacement. The rich color spectrum from red through green to blue/purple, combined with the dense grid of arrows and numerous contour lines, creates substantial visual clutter and data density. The interpretation requires understanding of the physical domain (rod penetration into a medium) and simultaneous processing of three overlapping visual encodings, contributing to moderate-to-high cognitive load."
VisJ.1197.5(3).png,"This 3D treemap or city-block visualization exhibits extremely high data density with hundreds of overlapping rectangular blocks of varying heights and sizes, creating significant visual clutter. The grayscale-only color scheme reduces color complexity but the 3D perspective with occlusion and shadows makes interpretation very challenging, demanding high cognitive load. There are no labels, axes, or legends visible, which paradoxically increases complexity by making the visualization harder to decode without context, while the sheer volume of geometric elements and their spatial arrangement creates a visually overwhelming scene."
SciVisJ.2926.1.png,"This scientific visualization shows a highly detailed 3D rendering of what appears to be a fluid dynamics or astrophysical simulation with swirling vortex structures. The image has very high data density with numerous overlapping elements including glyphs/arrows, color-mapped surfaces, and particle-like features. The color palette is rich and varied (blues, reds, oranges, yellows, greens) encoding multiple data dimensions, and the 3D perspective with complex spatial structures demands significant domain knowledge and cognitive effort to interpret. However, the minimal text (only label '(a)') and the large dark background regions slightly reduce the overall complexity."
InfoVisJ.2699.12.png,"This network graph exhibits very high data density with hundreds of nodes and edges spread across the entire canvas, creating significant visual clutter and overlap especially in the central region. The graph structure requires specialized knowledge to interpret (network/graph schema), and the dense interconnections between nodes make it cognitively demanding to trace relationships. While the color palette is relatively simple (purple nodes, black edges, red annotations), the sheer volume of elements, overlapping edges, and lack of clear spatial organization drive the complexity score high."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, minimal text (title, axis label, and three category labels), and a single hatched texture pattern. The visual encoding is straightforward, the layout is clean and uncluttered, and the cognitive load is very low — the chart can be interpreted almost immediately. The only slight additions beyond a bare-minimum bar chart are the error bars and the diagonal hatch fill pattern."
InfoVisC.211.18.png,"This is a simple bar chart (histogram) showing a right-skewed distribution with approximately 18 bars in a single color (black). The visual encoding is straightforward with minimal text — just axis labels that are partially illegible. The data density is low, there is no legend, no color variety, and the layout is clean and uncluttered, making it very easy to interpret at a glance."
InfoVisJ.2402.12(1).png,"This visualization exhibits extremely high data density with hundreds of small rectangular elements packed tightly across the entire image, creating significant visual clutter. The treemap-like structure uses varying sizes and a limited but distinct color palette (gray, green, cyan) with 3D-shaded textures on each element, adding to perceptual complexity. The lack of visible labels, legends, or axes makes interpretation very difficult, requiring significant cognitive effort to understand the schema and what the visualization represents, though the limited color range prevents it from reaching maximum complexity."
SciVisJ.980.12(2).png,"This 3D flow visualization exhibits high complexity through multiple overlapping streamlines creating dense visual clutter, numerous colored glyphs (arrows, ellipsoids) scattered throughout the volume representing vector field properties, and the use of diverse colors, symbols, and 3D perspective. The schema requires specialized domain knowledge of fluid dynamics or vector field topology, and the lack of labels, legends, or axes increases cognitive load for interpretation. The intertwining streamlines and varied glyph orientations create significant visual density, though the white background and transparent bounding box provide some structural clarity."
whoQ50_2.png,"This is a straightforward bar chart showing percentage change across countries, with a single color encoding and clear layout. The moderate number of bars (about 20 countries) and rotated x-axis labels add some text density and reading effort, but the visual encoding is simple and immediately interpretable. The clean white background and minimal graphical elements keep overall clutter low."
whoJ44.png,"This is a simple line chart with only two data series (Total ODA and General budget support) over 11 time points. The visual encoding is straightforward with clear color differentiation between the two lines. Text elements are minimal and well-organized, including a descriptive title, axis labels, legend, annotations for endpoint values, and a source citation. The layout is clean with no clutter or overlapping elements, making it immediately interpretable with low cognitive load."
wsj340.png,"This is a simple donut/pie chart with only 6 categories, clear direct labels with percentages, and a clean uncluttered layout. The color palette is limited and well-differentiated, and the chart type is immediately recognizable requiring minimal cognitive effort. The accompanying text provides context but doesn't add visual clutter to the chart itself."
InfoVisC.73.6.png,"This image shows repeated text ('IEEE Information Visualization 2005') rendered along curved paths at progressively smaller sizes, with red dots marking endpoints. While the text-along-path layout is somewhat unconventional, the overall data density is low, the color palette is minimal (green text, red dots, black curves on white), and there is no actual data being encoded. The cognitive load is moderate due to the curved text requiring some effort to read, but the content is repetitive and the visual elements are sparse."
VisC.167.11.png,"This stacked bar chart has moderate complexity. It contains approximately 30 bars with three color-encoded categories (Index search, Label regions, Build geometry), which creates a reasonable data density. The visual encoding is straightforward as a standard stacked bar chart, and the legend, axis labels, and gridlines are clear and legible. However, the number of bars, the three-component stacking, and the varying proportions across categories add some cognitive load when trying to parse individual contributions, pushing complexity slightly above a simple bar chart."
VASTJ.2908.2.png,"This visualization is a matrix-style chart with 5 columns and 17 rows, creating a substantial amount of visual information to process. The color encoding uses three shades of blue (high, medium, low) against a gray background, which is relatively simple but applied across many cells, increasing data density. The text labels on the left are numerous and use domain-specific terminology (e.g., 'sensemaking,' 'operationalizability'), requiring cognitive effort to parse. The overall layout is organized and systematic, which reduces some complexity, but the sheer number of category combinations and the need to compare patterns across columns elevates the cognitive load moderately."
economist_daily_chart_153.png,"This stacked area chart has moderate complexity with three overlapping categories spanning 30 years of data. The visual encoding is straightforward with a clear legend, readable axis labels, and a well-organized layout. However, the overlapping stacked areas with jagged peaks create some visual density and make it slightly harder to parse individual category contributions, particularly in the middle layers. The color palette is limited to three similar blue-grey tones, which adds mild difficulty in distinguishing categories but keeps overall clutter low."
VisJ.1949.18(3).png,"This visualization displays a grid of approximately 60+ small 3D glyph-like objects against a black background, creating significant data density and repetition. The specialized 3D rendering with orange and green color encoding requires domain knowledge to interpret, increasing schema complexity and cognitive load. While the individual elements are similar in form, their varying orientations, sizes, and positions across the grid, combined with the absence of any text labels, axes, or legends, make interpretation challenging and contribute to moderate-to-high visual complexity."
InfoVisJ.1236.13.png,"This visualization presents two side-by-side representations of the Netherlands — a choropleth/cartogram map with numbered regions and a gridded tile map equivalent. The color palette is highly varied with many distinct hues (greens, browns, yellows, reds, oranges, blues), contributing significantly to visual complexity. The data density is high, especially in the tile map on the right which contains hundreds of small colored squares. The numerous numeric labels on the left map and the need to mentally map between the two representations increase cognitive load. The lack of a legend or axis labels adds interpretive difficulty, requiring domain knowledge to understand the encoding."
InfoVisJ.1558.9.png,"This visualization displays moderate-to-high complexity with numerous overlapping elliptical glyphs varying in orientation, size, and color intensity, creating significant visual clutter in the central and left regions. The color encoding uses a continuous red-to-dark gradient with a legend, and the dashed blue rectangles with a zoom connection add additional structural elements. The schema requires some domain knowledge to interpret the ellipse orientations and the zoom-in detail view, increasing cognitive load, though the overall layout is relatively open with substantial white space in some areas."
SciVisJ.822.18.png,"This visualization shows three heatmap-style grid panels for different years (1999, 2003, 2005), each with 5 rows (labeled 2-6) and a consistent color scheme using shades of blue. The data density is moderate with repetitive grid structures, but the encoding is straightforward. Text is minimal (just year labels and row numbers), and the color palette is limited to a single blue gradient. The layout is clean and well-organized with clear separation between panels, making cognitive load relatively low, though the lack of axis labels for columns and no legend requires some domain knowledge to interpret."
InfoVisJ.349.1.png,"This network/circuit diagram contains a substantial number of nodes (circles and squares) connected by many intersecting lines, creating moderate-to-high visual clutter. The lack of color, labels, or text reduces some complexity dimensions, but the dense interconnections, crossing edges, and the need to trace paths through the diagram create significant cognitive load. The schema requires specialized knowledge to interpret, and the spatial layout with overlapping connections adds to perceptual difficulty."
VASTJ.2012.9(2).png,"This visualization combines multiple chart types—a temporal stream/flow graph at the top with labeled topic streams, and two large word clouds at the bottom—creating high data density and visual clutter. The extensive text in the word clouds with varying font sizes, combined with overlapping colored streams, numerous labels, annotations, and a color-coded legend for different account types, demands significant cognitive effort to parse. The multi-layered composition with different visual encodings (flow chart, word clouds, pie charts, timeline) increases the schema complexity and interpretive difficulty."
VASTJ.422.7.png,"This timeline visualization has moderate complexity driven by several factors. The color and symbol encoding is fairly rich, with 5 distinct color categories plus 2 symbol types (circles and triangles) across 11 user rows, creating a dense multi-dimensional encoding scheme. Data density is moderate—there are numerous data points distributed across the timelines with some clustering, particularly for Users 2, 7, 9, and 10. The legend with 7 categories and the need to cross-reference colors, symbols, and positions simultaneously increases cognitive load, though the overall layout structure (horizontal timelines) is straightforward and familiar."
v488_n7412_9_f1.png,"This geographic visualization has high complexity driven by multiple factors: dense data encoding with numerous colored circles of varying sizes overlaid on a detailed topographic basemap, extensive text annotations (region names, statistical values, geographic labels, coordinate markers), and a multi-variable legend encoding both color (elevation difference trend) and size (standard error). The combination of overlapping symbols, dashed boundary lines, river lines, and the textured relief background creates significant visual clutter and demands considerable cognitive effort to parse the spatial patterns and their associated quantitative values."
v488_n7409_12_f4.png,"This phylogenetic timeline visualization has moderate-to-high complexity driven by several factors. The dense geological timescale at the bottom with numerous rotated period/stage labels (Lochkovian, Pragian, etc.) contributes significant text density and legibility challenges. The branching cladogram structure with both solid and dashed lines, combined with the overlaid temporal bands (Romer's gap, Hexapoda gap), an embedded fossil photograph, and multiple taxonomic labels creates a multi-layered schema requiring domain knowledge in paleontology and entomology. However, the color palette is restrained (mostly blues and grays) and the overall layout is reasonably organized, preventing it from reaching the highest complexity levels."
v488_n7409_19_f1.png,"This visualization is a complex multi-panel genomic heatmap with very high data density, combining clinical variables, subtypes, copy number alterations, and somatic mutations across dozens of patient samples. The extensive use of color encoding (10+ distinct colors for different categories), numerous text labels for genes and identifiers, and the detailed legend all contribute to high cognitive load. The matrix-style layout with many rows and columns creates significant visual clutter, requiring specialized domain knowledge in cancer genomics to fully interpret."
visMost573.png,"This visualization exhibits high complexity through multiple overlapping translucent circular elements representing different sound types across a map of Jerusalem, creating significant visual clutter and density. The extensive legend with 16 distinct categories of sounds and sound combinations, combined with color and pattern encoding, demands considerable cognitive effort to decode. The layering of geographic features (streets, landmarks, boundaries) with the semi-transparent sound circles creates a dense, information-rich composition that requires sustained attention to interpret."
VisJ.1541.1(2).png,"This visualization shows a finite element mesh or computational fluid dynamics result with extremely high data density — thousands of triangular mesh elements fill the entire domain, creating significant visual clutter. The color encoding uses a single blue gradient which is relatively simple, but the sheer density and irregularity of the mesh elements makes it visually overwhelming. The schema requires specialized domain knowledge (likely engineering/physics simulation), and the cognitive load is high due to the difficulty of extracting meaningful patterns from the dense tessellated surface, though the color bar and overall structure provide some interpretive guidance."
vis734.png,"This infographic displays extremely high data density with hundreds of rows representing countries and dozens of columns representing Olympic years, creating a massive matrix of colored bars. The text is very small and largely illegible at this resolution, with country names along the left axis being barely readable. The color encoding uses multiple hues (magenta, pink, blue, cyan, gray) on a dark background, and the sheer volume of data elements creates significant visual clutter and high cognitive load, requiring substantial effort to parse any individual data point or pattern."
VASTJ.1.7.png,"This visualization displays high data density with multiple densely connected network graphs (node-link diagrams) at various scales, connected by zoom-in callouts. The intricate edge crossings within the dense clusters create significant visual clutter, and the multi-scale representation with detail insets adds structural complexity. The use of color encoding (red, orange, yellow, blue/dark nodes) adds another dimension, though the lack of text labels and legends slightly reduces semantic load. The cognitive demand is high due to the need to parse overlapping edges and understand the hierarchical zoom relationships between components."
InfoVisC.65.5(2).png,"This is a highly complex network/graph visualization with hundreds of nodes and edges creating significant visual clutter, especially in the central and left portions where edges overlap extensively. The monochromatic black-and-white scheme reduces color complexity but the sheer density of interconnected lines and nodes creates high data density and perceptual demand. The lack of labels, legends, or any textual annotations makes interpretation extremely difficult, requiring significant cognitive effort to trace relationships, contributing to high cognitive load despite the absence of text-based complexity."
VASTC.13.9.png,"This visualization exhibits high complexity across multiple dimensions. The data density is very high with numerous word clouds, connecting lines/flows, colored dot matrices, and multiple panels (labeled 1-4) creating significant visual clutter. The visual encoding uses multiple simultaneous channels—color-coded part-of-speech categories (11 in the legend), varying text sizes for word frequency, flow lines of different widths and colors, and small matrix visualizations on the left—demanding substantial cognitive effort to parse. The text density is extreme with overlapping words in the word clouds and numerous labels, while the schema requires understanding of NLP concepts and the relationship between the matrix representations, flow connections, and word groupings."
