filename,explanation
wsj135.png,"This is a grouped bar chart with two categories (refinance and home purchase) across 12 years, making it relatively straightforward. The color encoding is simple with just two colors (green and orange), clear annotations, and a clean layout. The text density is moderate with a title, subtitle, axis labels, source, and two callout annotations, but the overall cognitive load is low due to the familiar chart type and clear visual hierarchy."
economist_daily_chart_165.png,"This is a horizontal stacked/grouped bar chart with 20 countries and two color-encoded categories (Deceased and Living donors). The data density is moderate with a clear layout, but the number of bars (40 total) and country labels adds meaningful complexity. The dual-color encoding is straightforward and the chart is well-organized, though the volume of categories requires some scanning effort to compare across countries."
whoO06_2.png,"This is a horizontal stacked bar chart with 19 categories and 3 color-encoded income levels, creating moderate data density. The text labels are numerous but legible, and the stacked encoding requires some cognitive effort to compare segments across categories. The color palette is limited to three distinct colors, and the layout is clean and well-organized, preventing it from scoring higher despite the substantial number of data elements."
SciVisJ.1025.11.png,"This is a scatterplot with moderate complexity. It contains about 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with direct text annotations that add semantic density. While the layout is relatively clean with clear axes, the clustering of points in the 750-900 megabytes range creates some visual crowding and label overlap, increasing cognitive load slightly. The domain-specific terminology and need to compare across categories adds moderate interpretive demand."
visMost97.png,"This is a simple infographic with a world map showing 5 color-coded continents/regions with corresponding population numbers. The data density is very low (only 5 data points), the color encoding is straightforward with distinct solid colors, and the layout is clean and spacious with minimal text. Cognitive load is minimal as the message is immediately interpretable."
whoQ44_4.png,"This is a stacked area chart with 8 categories (countries) over 12 time points. The color palette uses variations of brown/tan which makes distinguishing some layers moderately difficult. The legend contains 8 items and the title is lengthy, adding to text density. However, the overall layout is a single standard chart type with clear axes, keeping complexity moderate."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style plot showing relationships between three categorical variables (Class, Sex, Survived) with crossing flow bands. The overlapping colored ribbons create moderate visual clutter and require some cognitive effort to trace flows between categories. However, the number of categories is small (2 per variable), the color palette is limited to two main hues (teal and green), and the text labels are clear and minimal, keeping complexity at a moderate level."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) containing a moderate number of data points. There are no axes, labels, legends, or text annotations, which reduces complexity significantly. The data density is moderate with some overlap between clusters, but the overall layout is clean and the color encoding is straightforward, making interpretation relatively easy."
InfoVisJ.619.17.png,"This is a biplot/PCA-style scatterplot with moderate-to-high complexity. It features numerous data points encoded by both color (continuous gradient from black to orange representing values 50-160) and size, overlaid with directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks and numeric labels, dotted reference lines, and specific point annotations (Puffed rice, All-Bran with Extra Fiber). The combination of multiple encoding channels, scattered overlapping points, and layered annotations creates substantial cognitive load, though the overall layout remains a single-panel view."
wsj603.png,"This is a dual-line time series chart with moderate complexity. It features two clearly colored lines (gold and red) with several annotations including callout boxes showing specific values and spreads, a shaded area highlighting the gap between the lines, and a detailed subtitle. The annotations and text labels add some cognitive load beyond a basic line chart, but the overall layout is clean and the encoding is straightforward."
