filename,data_density,visual_encoding,text_annotation,domain_schema,color_symbol,aesthetic_order,cognitive_load,vc_score,relevant_topics
visMost97.png,0.15,0.25,0.3,0.2,0.35,0.1,0.15,0.2,"Color, Symbol, and Texture Details; Visual Encoding Clarity; Semantics / Text Legibility"
VisC.375.9(2).png,0.15,0.2,0.25,0.3,0.1,0.1,0.2,0.18,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load
InfoVisJ.1063.13.png,0.75,0.65,0.35,0.7,0.3,0.7,0.72,0.67,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load
VASTJ.1.7.png,0.82,0.78,0.08,0.85,0.7,0.65,0.82,0.78,Schema; Data Density / Image Clutter; Immediacy / Cognitive Load
economist_daily_chart_493.png,0.75,0.65,0.8,0.55,0.6,0.6,0.7,0.68,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load
VASTJ.870.4.png,0.45,0.55,0.4,0.6,0.5,0.4,0.6,0.5,Schema; Immediacy / Cognitive Load; Visual Encoding Clarity
visMost573.png,0.78,0.72,0.65,0.7,0.82,0.7,0.75,0.75,"Color, Symbol, and Texture Details; Data Density / Image Clutter; Immediacy / Cognitive Load"
InfoVisJ.522.15.png,0.75,0.7,0.35,0.85,0.6,0.65,0.8,0.73,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter
VASTC.41.5.png,0.82,0.78,0.15,0.85,0.75,0.88,0.85,0.8,Schema; Aesthetics Uncertainty; Immediacy / Cognitive Load
VisJ.1949.11.png,0.1,0.3,0.02,0.45,0.35,0.15,0.4,0.25,"Schema; Immediacy / Cognitive Load; Color, Symbol, and Texture Details"
wsj124.png,0.25,0.3,0.45,0.25,0.2,0.1,0.2,0.25,Semantics / Text Legibility; Visual Encoding Clarity; Data Density / Image Clutter
VisJ.1197.5(3).png,0.9,0.75,0.05,0.7,0.4,0.85,0.8,0.78,Data Density / Image Clutter; Aesthetics Uncertainty; Immediacy / Cognitive Load
SciVisJ.980.7(2).png,0.65,0.75,0.3,0.85,0.8,0.5,0.8,0.72,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load"
InfoVisC.157.1.png,0.75,0.6,0.35,0.65,0.25,0.55,0.7,0.63,Data Density / Image Clutter; Immediacy / Cognitive Load; Schema
InfoVisJ.669.4.png,0.6,0.35,0.15,0.25,0.15,0.5,0.4,0.4,Data Density / Image Clutter; Aesthetics Uncertainty; Immediacy / Cognitive Load
VASTJ.1720.4.png,0.15,0.15,0.2,0.1,0.2,0.08,0.12,0.15,Data Density / Image Clutter; Immediacy / Cognitive Load; Visual Encoding Clarity
wsj28.png,0.55,0.4,0.7,0.35,0.3,0.45,0.5,0.46,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load
InfoVisJ.2639.8.png,0.55,0.5,0.7,0.45,0.55,0.4,0.5,0.52,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load
InfoVisJ.691.6(3).png,0.5,0.35,0.7,0.3,0.3,0.45,0.4,0.4,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load
InfoVisJ.2556.8.png,0.8,0.7,0.9,0.55,0.3,0.75,0.7,0.7,Semantics / Text Legibility; Data Density / Image Clutter; Aesthetics Uncertainty
whoJ44.png,0.2,0.25,0.4,0.15,0.2,0.1,0.15,0.2,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load
VASTC.51.10.png,0.78,0.75,0.75,0.8,0.55,0.72,0.82,0.76,Immediacy / Cognitive Load; Schema; Data Density / Image Clutter
SciVisJ.796.18.png,0.35,0.45,0.2,0.55,0.45,0.25,0.45,0.4,"Schema; Visual Encoding Clarity; Color, Symbol, and Texture Details"
v483_n7390_1_f2.png,0.45,0.4,0.35,0.55,0.25,0.35,0.5,0.43,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter
InfoVisC.8.7.png,0.75,0.8,0.6,0.85,0.6,0.7,0.85,0.78,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter
VisC.433.1.png,0.75,0.55,0.25,0.6,0.75,0.6,0.65,0.64,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load"
SciVisJ.259.7.png,0.6,0.55,0.3,0.7,0.65,0.5,0.65,0.6,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load"
