filename,explanation
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents/regions, each labeled with a single number and category name. The design is clean and minimalist with ample white space, few data points (only 5 values), and straightforward visual encoding using color and size. The cognitive demand is very low."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries and two categories (Deceased and Living donors), making it moderately complex. The dual-color encoding and numerous bars create a fair amount of visual information to process, but the layout is clean and well-organized. The complexity is elevated beyond a simple bar chart due to the number of items and the stacked encoding, but it remains a single-panel, single-chart visualization."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) over 12 years, totaling about 24 bars. While it has more elements than a simple bar chart, the design is clean with clear color encoding (green and orange), readable labels, and helpful annotations. The moderate number of data points and dual-category grouping push it slightly above a simple bar chart but it remains straightforward to interpret."
whoO06_2.png,"This is a grouped/stacked horizontal bar chart with 19 categories, each broken into three income-level segments (high, middle, low). The large number of categories and the three-color stacking create moderate-to-high complexity, with many labels and data elements to parse. However, the layout is clean and well-organized with a single chart type, keeping it from reaching the highest complexity levels."
SciVisJ.1025.11.png,"This is a scatterplot with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.). While the layout is clean with clear axes, the individual point labels add moderate textual density and the color encoding adds a categorical dimension. The overall complexity is moderate but not high, as the structure is straightforward with no overlapping panels or dense encodings."
whoQ44_4.png,"This is a stacked area chart with 8 categories (countries) over 12 time points, using a brown/beige color palette. The overlapping stacked areas create moderate visual complexity, and the legend with 8 items adds to the cognitive load. However, it is a single-panel chart with a straightforward structure, placing it in the moderate complexity range."
InfoVisC.133.5(3).png,"This is a mosaic/parallel sets style visualization showing the flow between three categorical variables (Class, Sex, Survived) with crossing ribbons. While it has overlapping colored bands creating some visual intricacy, there are only 3 levels with 2 categories each, keeping the overall element count low. The crossing patterns and color blending add moderate perceptual complexity beyond a simple chart."
InfoVisJ.619.17.png,"This is a biplot/scatterplot with multiple visual encodings: color gradient mapping to a continuous scale (50-160), size variation in dots, directional arrows for variable loadings (Fat, Sugar, Calories, Sodium), a regression line with tick marks, dotted reference lines, and labeled data points. The combination of ~60+ data points with dual encoding (color and size), overlapping annotations, and multiple graphical layers creates moderate complexity."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) containing roughly 100-150 data points total. There are no axes, labels, legends, or gridlines, which reduces complexity significantly. The points use varying orientations (elongated marks rather than simple dots), adding slight visual texture, but overall the visualization is relatively simple with just colored point clusters in a dashed border frame."
wsj603.png,"This is a dual-line chart showing two time series (10-year Treasury note and 10-year TIPS) over approximately 4 years, with several annotated callout boxes highlighting specific data points and spreads. The lines themselves are fairly detailed with high-frequency financial data creating jagged patterns. The annotations, shaded spread area, and descriptive text add moderate complexity, but it remains a single-panel visualization with only two primary data series."
VisJ.1515.12.png,"This image shows concentric circular rings radiating from a center point, with alternating dark green and dark red/maroon bands. While the pattern has some visual intricacy due to the multiple rings and color gradients, there are no labels, axes, data points, or multiple panels. The pattern is repetitive and relatively simple in structure, with limited color variation and no textual or data-encoding complexity."
v483_n7391_8_f5.png,"This is a filled contour plot with approximately 12 color levels showing energy dispersion data, with dual axes (k and k/k_F on x-axes, E and E/E_F on y-axes). The contour regions have moderate complexity with nested irregular shapes, overlaid line curves (cyan), and a detailed color legend. While it's a single-panel visualization, the density of contour lines especially in the lower-left and right regions, combined with multiple axis scales and overlaid curves, pushes complexity above a standard chart."
v487_n7406_7_f3.png,"This is a single-panel visualization but with multiple overlaid encodings: a continuous color-mapped heatmap (displacement field), vector arrows showing direction and magnitude, and contour lines. The combination of these three visual layers creates substantial perceptual complexity. The color gradient spans the full spectrum from red to purple, and the dense arrow field and contour lines add significant visual detail, pushing the complexity well above a simple heatmap."
SciVisJ.1236.10.png,"This is a large multi-panel matrix visualization with 54 individual heatmap/correlation matrix panels arranged in a 6×9 grid. Each panel contains dense pixel-level detail with varying patterns of purple and green coloring. The sheer number of panels, the fine-grained detail within each, and the multiple labeled column conditions (E5U, E5W, E1U, E1W combinations) create very high visual complexity and cognitive demand for comparison across panels."
VisJ.1499.8.png,"This visualization shows two side-by-side 3D renderings of what appears to be a heart model (Case 4) under different scenarios — perfusion and motion. Each has a color-mapped surface with grid lines and orientation cubes. The right panel adds numerous glyph markers (diamond shapes) on the surface, increasing its complexity. While the dual-panel layout and 3D surfaces with color encoding and glyphs add moderate complexity, the overall number of distinct visual elements and encodings is moderate rather than extremely dense."
SciVisJ.2926.1.png,"This is a highly detailed scientific visualization showing what appears to be a 3D rendering of a vortex or spiral structure with multiple visual encodings including color mapping (blue, red, orange, yellow, green), glyph-like elements (small arrows or vectors), and complex surface textures. The dense overlapping of elements, rich color palette, and intricate spatial patterns create significant perceptual demand, though it is a single view rather than a multi-panel dashboard."
VisJ.1197.5(3).png,"This is an extremely dense 3D treemap or city-scape visualization with hundreds of rectangular blocks of varying heights and shades of gray. The sheer number of elements, the 3D perspective creating occlusion and depth, and the lack of any labels or guides make it visually overwhelming. The high density of geometric forms with strong contrast between light and dark surfaces creates significant perceptual complexity."
InfoVisJ.2699.12.png,"This is a dense network graph with hundreds of nodes and edges spread across the entire canvas. Multiple clusters and subgroups are visible with varying densities, and four specific subgroups (SG1-SG4) are annotated with red circles. The high number of overlapping edges, numerous nodes with varying sizes (indicating degree or importance), and the overall visual clutter contribute to significant perceptual and cognitive demand."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, hatched fill pattern, error bars, and clear labels. The layout is clean and minimal with a single variable on each axis, making it very low in visual complexity."
SciVisJ.980.12(2).png,"This is a 3D flow visualization showing multiple vortex structures within a rectangular domain. It features numerous streamlines (gray curves), colored directional glyphs (arrows/cones in blue, red, green, yellow), and 3D isosurfaces at vortex cores. The multi-encoding approach with overlapping flow lines, scattered glyphs, and 3D perspective creates substantial visual complexity, though the white background and relatively organized vortex pattern prevent it from reaching the highest complexity levels."
InfoVisJ.2402.12(1).png,"This is an extremely dense treemap visualization with hundreds of nested rectangular elements of varying sizes. The image contains massive amounts of fine-grained detail, especially in the lower portion where elements become very small and tightly packed. Color encoding with green, cyan, and gray adds another layer of complexity, and the hierarchical nesting structure creates high perceptual and cognitive demand to parse the information."
whoQ50_2.png,"This is a single bar chart with approximately 20 bars showing percentage change across countries. While it has more categories than a minimal chart, it uses a single color encoding, one variable, and a straightforward sorted layout. The rotated country labels add some visual density but the overall design is clean and standard."
InfoVisC.211.18.png,"This is a simple bar chart (histogram) showing a single data series with approximately 18 bars in a monotonically decreasing pattern. The chart uses a single color (black), has minimal labeling (partially illegible axis labels), no legend, and no additional visual encodings. The overall perceptual demand is very low."
whoJ44.png,"This is a simple dual-line chart with only two clearly distinguished lines (Total ODA and General budget support) over 11 time points. The layout is clean with minimal visual clutter, a straightforward legend, clear axis labels, and annotated endpoint values. The low number of data series and clean design keep complexity low."
wsj340.png,"This is a single donut/pie chart with 6 segments, each clearly labeled with percentages. The design is clean with a warm color palette, a central label showing total capacity, and a brief text description above. It has minimal visual complexity with few data elements and straightforward encoding."
InfoVisC.73.6.png,"This image shows repeated text 'IEEE Information Visualization 2005' arranged along curved paths at decreasing sizes, with red dots marking endpoints. It is more of a typographic demonstration than a data visualization. The visual elements are relatively simple — text along curves with minimal data encoding — resulting in low complexity despite the multiple repetitions."
VisC.167.11.png,"This is a stacked bar chart with 30 bars, each composed of three color-coded segments (Index search, Label regions, Build geometry). The number of data elements is moderate with clear labeling and a standard layout. The stacking adds some complexity beyond a simple bar chart, and the varying bar heights create visual interest, but the overall structure remains straightforward and readable."
VASTJ.2908.2.png,"This is a multi-column categorical heatmap/matrix with 17 rows and 5 columns, using three shades of blue to encode research focus levels (high, medium, low). The number of cells (~85) and the need to cross-reference row labels with column headers across multiple categories creates moderate-to-high cognitive demand. However, the encoding is uniform and the layout is clean and well-organized, preventing it from reaching higher complexity levels."
economist_daily_chart_153.png,"This is a stacked area chart with three categories spanning about 30 years of data. While the overlapping areas and jagged peaks create moderate visual complexity, it remains a single-panel chart with a clear legend, clean labeling, and only three data series. The irregular peaks and troughs add some perceptual demand but the overall design is straightforward."
InfoVisJ.1236.13.png,"This visualization contains two side-by-side representations of the Netherlands: a choropleth/cartogram map on the left with numerous labeled regions using different colors and numerical values, and a gridded/tile map on the right with hundreds of small colored squares representing the same data. The combination of two views, many distinct color categories, numerous numerical labels, and the dense grid representation on the right creates substantial visual complexity, though it lacks additional axes, legends, or multi-layered annotations that would push it higher."
InfoVisJ.1558.9.png,"This visualization shows a scatter-like plot with numerous elliptical glyphs varying in color intensity (mapped to a continuous scale from 1.10 to 4.96), orientation, and size. There are roughly 80-100 overlapping ellipses with a color legend, plus blue dashed selection/zoom rectangles indicating interactive detail regions. The multiple visual encodings (color, orientation, size, position) and moderate density of overlapping elements create a moderately high level of visual complexity."
VisJ.1949.18(3).png,"This visualization displays a grid of approximately 60+ small multiples showing 3D glyph-like objects (with green and orange/red coloring) arranged in rows and columns against a black background. The repetitive nature of the elements adds density, and each glyph varies slightly in orientation and size, requiring careful inspection to discern differences. The dark background with colorful elements and the sheer number of repeated objects create moderate-to-high visual complexity."
InfoVisJ.349.1.png,"This is a moderately complex network/graph diagram with numerous nodes (circles and squares) connected by orthogonal edges spanning the entire canvas. The layout features many crossing lines and branching structures that require significant cognitive effort to trace, though the monochrome color scheme and consistent node styling reduce some visual complexity compared to multi-encoded visualizations."
VASTJ.422.7.png,"This is a timeline/event chart showing 11 users with multiple event types encoded by color and shape along a time axis. The chart has moderate complexity with multiple overlapping symbols across many rows, a legend with 7 categories, and varying densities of events per user. While the layout is structured and readable, the multi-encoding scheme (color, shape, position) and the number of data points across 11 parallel timelines push it above a simple chart."
SciVisJ.822.18.png,"This visualization shows three heatmap-style panels for different years (1999, 2003, 2005), each with 5 rows and a grid structure using a blue color gradient. While there are three panels, each is relatively simple with a uniform grid pattern and limited color variation (white to dark blue). The repetitive structure and minimal labeling keep complexity moderate-low, though the multi-panel layout and color encoding add some perceptual demand."
VASTJ.2012.9(2).png,"This visualization combines multiple coordinated views: a temporal stream/flow chart at the top showing topic evolution over time with colored bands and labels, and two large word clouds at the bottom with embedded pie charts. The word clouds are dense with many overlapping terms at varying sizes, and the temporal view has multiple interweaving streams with annotations. The multi-view composition, dense text, and multiple visual encodings (color, size, flow, pie charts) create substantial perceptual and cognitive demand."
v488_n7412_9_f1.png,"This is a geospatial visualization with multiple overlapping encodings: a shaded relief map background, color-coded circles (diverging color scale for elevation difference trends), size-encoded circles (standard error), geographic boundary lines (rivers, basins, sub-regions), text annotations with statistical values, and a detailed legend. The density of overlapping symbols in the western Himalaya region, combined with the textured terrain background and multiple line types, creates substantial visual complexity. However, it remains a single-panel view rather than a multi-panel dashboard."
v488_n7409_19_f1.png,"This is a complex multi-row genomic heatmap/oncoplot displaying numerous variables across many patient samples. It includes clinical variables (sex, age, histology), subtypes, copy number alterations across many genomic regions, and somatic mutations across multiple pathways and genes. The dense color encoding with many categories, the large number of columns (patient samples), and the multi-layered structure with a detailed legend all contribute to high visual complexity."
v488_n7409_12_f4.png,"This visualization combines a phylogenetic tree with a geological timescale, featuring multiple branching lineages, time period labels (both stages and epochs), shaded regions indicating gaps (Romer's gap, Hexapoda gap), an embedded fossil photograph of Strudiella, and numerous text labels for taxa and geological periods. The multi-layered timeline at the bottom with nested geological subdivisions adds additional complexity. While not extremely dense, the combination of tree structure, temporal axis, annotations, and embedded image creates moderate-to-high visual complexity."
VisJ.1541.1(2).png,"This is a dense finite element mesh or computational simulation visualization with thousands of triangular elements color-mapped to a continuous blue scale (0-18). The mesh density varies significantly across the domain, with extremely fine elements near the central T-shaped cutout and coarser elements in the periphery. The sheer number of visible mesh elements, the continuous color variation, and the intricate geometric detail create high visual complexity, though it is a single-view visualization with one color encoding."
visMost573.png,"This is a highly complex thematic map visualization showing sound segmentation in Jerusalem. It features numerous overlapping semi-transparent concentric circles in multiple colors representing different sound types and combinations, layered over a detailed street map. The extensive legend with 16 different categories, dense overlapping of visual elements especially in the Old City area, multiple color encodings, and the combination of geographic and thematic data all contribute to high visual complexity."
vis734.png,"This is an extremely dense and complex infographic showing Olympic medal data across many countries and many years. It features hundreds of colored bars (pink, magenta, blue, gray) arranged in a massive matrix-like layout with numerous country labels on the left axis and time periods across the top. The sheer volume of data points, the multiple color encodings, and the tiny text labels create very high perceptual and cognitive demand."
VASTC.13.9.png,"This visualization is highly complex, featuring multiple coordinated views with word clouds on both sides connected by a dense network of colored flow lines/edges. There are numerous text labels of varying sizes and colors, a categorical legend with 10+ categories, small matrix-like glyphs on the left, and enlarged word cloud panels on the right with numbered annotations. The overlapping connections and multi-encoding design create significant perceptual and cognitive demand."
VASTJ.1.7.png,"This visualization features multiple dense network graphs with intricate node-edge structures, zoomed-in detail views connected by visual callouts, and color-coded node chains (red, orange, yellow) forming a path through the center. The combination of numerous overlapping edges within the dense clusters, multiple coordinated sub-views, and the multi-scale representation creates high visual complexity, though the white background and clear spatial separation of components prevent it from reaching the highest scores."
InfoVisC.65.5(2).png,"This is a dense network/graph visualization with hundreds of nodes and edges. The edges create significant visual clutter with many overlapping and crossing lines, particularly in the central and left portions. While it uses only monochrome (black on white) with no color encoding or labels, the sheer density of connections, hierarchical tree-like substructures, and long-range curved edges create high perceptual complexity and make individual elements difficult to trace."
InfoVisJ.1149.6(1).png,"This is an extremely dense multi-view visualization system with at least 7 coordinated panels (labeled A through G), including a base text view, overview, page view, line view, and word view. It contains dense grid/matrix encodings with multiple color channels (green, red, blue, orange), small text annotations, and numerous visual elements packed tightly together, making it one of the most complex visualization layouts possible."
