topic,phrase,sentiment,num_images,Area,Bar,Cont.-ColorPatn,Glyph,Grid,Line,Node-link,Point,Text
Aesthetics Uncertainty,arbitrary imaging,(+),1,0,0,0,0,0,0,1,0,0
Aesthetics Uncertainty,convoluted composition,(+),2,0,0,0,0,1,0,0,1,0
Aesthetics Uncertainty,distracting/confusing/unclear,(+),23,3,1,3,4,2,4,1,2,1
Aesthetics Uncertainty,feeling strange,(+),1,0,0,0,0,0,0,1,0,0
Aesthetics Uncertainty,inconsistent,(+),1,0,0,0,0,0,0,0,0,1
Aesthetics Uncertainty,irregular,(+),2,0,0,0,1,0,0,0,0,1
Aesthetics Uncertainty,less attractive,(+),3,0,0,0,0,1,0,0,1,1
Aesthetics Uncertainty,less simple,(+),1,0,0,0,0,0,0,0,1,0
Aesthetics Uncertainty,looks random/messy/lack structure,(+),12,3,1,0,2,1,1,1,2,1
Aesthetics Uncertainty,struggled to read,(+),1,0,0,0,0,0,1,0,0,0
Aesthetics Uncertainty,unclear colors/contrast,(+),8,1,1,3,0,1,1,0,1,0
Aesthetics Uncertainty,visual clarity/appealing,(+) (-),5,1,0,0,1,2,0,1,0,0
Aesthetics Uncertainty,visually overwhelming,(+),1,0,0,0,0,1,0,0,0,0
Aesthetics Uncertainty,visually striking,(+),1,0,0,1,0,0,0,0,0,0
"Color, Symbol, and Texture Details",ambiguous/confusing colors,(+) (-),5,2,1,0,1,0,0,0,0,1
"Color, Symbol, and Texture Details",amount of / too many colors,(+),9,1,0,2,0,1,0,0,4,1
"Color, Symbol, and Texture Details",appealing colors,(+) (-),3,0,0,0,1,1,0,1,0,0
"Color, Symbol, and Texture Details",black color,(+) (-),2,0,0,0,0,1,0,1,0,0
"Color, Symbol, and Texture Details",black-to-white/color gradient,(+) (-),7,0,1,2,2,1,0,1,0,0
"Color, Symbol, and Texture Details",blended colors,(+),1,0,0,1,0,0,0,0,0,0
"Color, Symbol, and Texture Details",blue color,(+) (-),2,0,0,0,1,1,0,0,0,0
"Color, Symbol, and Texture Details",blurry colors/images,(+),3,0,0,2,0,1,0,0,0,0
"Color, Symbol, and Texture Details",bold colors,(+),1,1,0,0,0,0,0,0,0,0
"Color, Symbol, and Texture Details",bright colors,(+) (-),3,2,0,0,0,0,0,1,0,0
"Color, Symbol, and Texture Details",clear color uses,(+),2,0,0,0,0,1,0,1,0,0
"Color, Symbol, and Texture Details",clear colored bars/charts,(+),1,0,0,0,0,0,1,0,0,0
"Color, Symbol, and Texture Details",clearer coloring,(-),1,0,1,0,0,0,0,0,0,0
"Color, Symbol, and Texture Details",color details,(+),2,1,0,0,0,1,0,0,0,0
"Color, Symbol, and Texture Details",color differentiation,(+),1,0,0,0,1,0,0,0,0,0
"Color, Symbol, and Texture Details",color dimension,(+),3,0,1,0,0,1,0,1,0,0
"Color, Symbol, and Texture Details",color hues,(-),1,0,0,1,0,0,0,0,0,0
"Color, Symbol, and Texture Details",color intensity,(+),1,0,0,0,1,0,0,0,0,0
"Color, Symbol, and Texture Details",color keys,(+),3,3,0,0,0,0,0,0,0,0
"Color, Symbol, and Texture Details",color represents groups,(-),2,0,1,0,1,0,0,0,0,0
"Color, Symbol, and Texture Details",color represents sounds,(+),1,1,0,0,0,0,0,0,0,0
"Color, Symbol, and Texture Details",color saturation,(+),1,0,0,0,0,1,0,0,0,0
