filename,explanation
visMost97.png,"This is a clean, minimalist infographic showing world population by nationality/continent using a simple color-coded world map with just 5 data points. The layout is spacious with ample white space, the color palette uses distinct primary colors for easy differentiation, and the text is large and highly legible. The cognitive load is very low as the concept is immediately intuitive and requires no specialized knowledge to interpret."
economist_daily_chart_165.png,"This horizontal stacked bar chart displays 20 countries with two color-coded categories (Deceased and Living donors), creating moderate data density but with a clean, well-organized layout. The encoding is straightforward with only two colors and standard bar chart format, making it immediately interpretable. The text elements (country labels, axis, legend, title) are legible and well-spaced, contributing to relatively low cognitive load despite the substantial number of data points."
wsj135.png,"This is a clean, well-designed grouped bar chart with only two color-coded categories (refinance and home purchase) over 12 years. The text elements include a descriptive title, subtitle, axis labels, and two callout annotations, adding moderate but manageable semantic content. The layout is uncluttered with clear visual encodings and minimal cognitive load required for interpretation."
whoO06_2.png,"This stacked horizontal bar chart displays 19 risk factors with three income-level segments each, creating moderate data density with 57 data points. The text is substantial with 19 lengthy category labels, a detailed title, and axis annotations, but the layout is clean and well-organized. The familiar chart type and simple three-color scheme keep cognitive load moderate, though comparing non-baseline segments across categories requires some mental effort."
SciVisJ.1025.11.png,"This is a moderately simple scatter plot with 16 labeled data points across four color-coded categories (Dense, Octree, JIT, Opt). While direct labeling of each point adds text density and some label crowding occurs in the 800-900 megabyte range, the overall layout remains clean and interpretable. The use of four distinct colors and a standard 2D scatter plot format keeps cognitive load relatively low."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
InfoVisC.133.5(3).png,"This alluvial/parallel sets diagram has moderate complexity driven by the crossing, overlapping colored bands between three categorical variables, which creates some visual intricacy and cognitive load in tracing flows. However, the data dimensionality is low (only 2 categories per variable), text is minimal with clear labels, and the color palette is limited to two main hues (teal and green), keeping overall complexity restrained."
InfoVisJ.1558.11(3).png,"This scatter-like visualization shows moderate data density with roughly 100-150 colored marks in three clusters (red, green, blue), but the complete absence of text, axes, labels, or legends significantly reduces complexity. The oriented elliptical brush-stroke marks add slight visual interest beyond simple dots, but the overall layout is clean with ample white space and straightforward cognitive interpretation of three color-coded clusters."
whoQ44_4.png,"This stacked area chart has moderate complexity with 8 country categories stacked over 12 years. The monochromatic brown color palette makes distinguishing individual layers challenging, increasing cognitive load. While the overall layout is clean with clear labels and a standard chart type, the number of stacked categories and similar color tones require moderate effort to parse individual country contributions."
VisJ.1515.12.png,"The visualization shows concentric circular rings with a limited color palette of dark green and maroon/red, creating a relatively simple repeating pattern. There is no text, labels, axes, or legend, which reduces semantic complexity significantly. However, the abstract nature of the visualization requires domain knowledge (possibly an interference or diffraction pattern) to interpret, and the subtle color gradations in the rings add moderate perceptual detail, preventing the score from being very low."
wsj603.png,"This visualization features two volatile time series lines with moderate data density spanning several years, accompanied by multiple annotation callout boxes, a shaded spread area, and a multi-line descriptive subtitle that add to the text and semantic load. The color palette (gold, red, blue, yellow highlight) and annotation boxes on the right create moderate visual clutter, though the overall chart type is a standard and interpretable line chart requiring only moderate cognitive effort."
