filename,explanation
wsj135.png,"This is a straightforward grouped bar chart with two color-coded categories (refinance and home purchase) across 12 time periods. The layout is clean with minimal gridlines, clear labels, and simple annotations. The visual complexity is relatively low due to the standard chart type and limited number of data points."
visMost97.png,"This is a simple infographic showing a world map with continents color-coded and labeled with population proportions. It uses only 5 colors, minimal text labels, and a clean white background with no gridlines, axes, or dense data elements. The layout is straightforward with low perceptual and cognitive demand."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries showing two categories (Deceased and Living organ donors). While there are many data items, the chart uses a clean design with only two colors, clear labels, and a straightforward layout. The moderate number of bars and dual-category encoding add some complexity but the overall structure remains readable and well-organized."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level segments per bar, creating moderate visual complexity. The lengthy category labels and color-coded stacked segments require careful reading, but the consistent layout and limited color palette (three colors) keep it organized. The chart is dense in information but follows a straightforward visual structure."
SciVisJ.1025.11.png,"This is a scatter plot with approximately 16 labeled data points across four color-coded categories (Dense, JIT, Octree, Opt.). The layout is relatively clean with simple axes, minimal gridlines, and clear labels on each point, resulting in moderate but manageable visual complexity. The chart structure is straightforward with no overlapping elements or dense clustering that would significantly increase perceptual demand."
whoQ44_4.png,"This stacked area chart displays 8 countries over 12 years with overlapping shaded regions in varying brown/tan tones. The multiple stacked layers and similar color palette add moderate perceptual complexity, though the overall layout is straightforward with clear axes and a standard legend. The sharp increase after 2008 adds some visual density in the right portion of the chart."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial diagram with three categorical variables (Class, Sex, Survived) connected by colored ribbon-like bands. While the overlapping and crossing ribbons create some visual intricacy, the chart has only two categories per variable (6 total nodes) and uses a limited color palette of teal and green. The moderate number of crossing flows adds complexity but the overall structure remains relatively straightforward."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-coded clusters (red, green, blue) of roughly elliptical dot marks. The visualization has no axes, labels, legends, or gridlines, keeping it relatively simple. The moderate number of data points (~100-150) and their spatial distribution add some perceptual complexity, but the overall design is clean and minimalist."
wsj603.png,"This line chart displays two time series with moderately volatile trajectories over a 3-year period, creating visual intricacy through their jagged movements. The chart includes several annotation callouts (spread values, Wednesday values), a shaded area highlighting the gap between the series, and descriptive text. While informative, the overall structure is a standard dual-line chart with a manageable number of visual elements."
VisJ.1515.12.png,"The image shows concentric circular rings with a limited color palette of dark green, olive, and dark red/maroon. The pattern is repetitive and regular with no text, labels, or complex data elements. While the rings create some visual interest, the overall structure is simple and uniform."
VisJ.1499.8.png,"The image shows two side-by-side 3D rendered heart-like surfaces with wireframe meshes and color gradients (orange-yellow). The right panel adds scattered diamond markers increasing its complexity. The grid lines, color mapping, and 3D orientation cubes add moderate detail, but the overall layout is straightforward with only two panels and limited annotation."
v483_n7391_8_f5.png,"This contour/heatmap plot has moderate-to-high complexity with multiple overlapping contour levels spanning a wide color scale, dual axes on both x (k and k/k_F) and y (E and E/E_F) sides, overlaid line curves (cyan parabolic boundaries), and regions of dense contour clustering especially near the dispersion relation features. The color legend with 12 discrete levels and the intricate contour shapes in the central region add to the perceptual demand."
InfoVisJ.619.17.png,"This biplot/PCA visualization has moderate-to-high complexity with numerous scattered data points (50+) encoded by a continuous color gradient and varying sizes, overlapping biplot arrows for multiple variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks and numeric labels, dotted reference lines and a unit circle, and specific labeled outliers. The layering of multiple encoding channels and overlapping elements in the center increases perceptual demand."
VisJ.1197.5(3).png,"This is a highly complex 3D visualization showing hundreds of densely packed rectangular blocks/buildings viewed from an aerial perspective. The scene contains enormous amounts of geometric detail with overlapping forms, strong contrast between light and dark surfaces, and no clear focal point, creating significant perceptual demand. The sheer density of elements and their varied orientations make it very difficult to parse individual components."
SciVisJ.2926.1.png,"This scientific visualization depicts a highly intricate swirling vortex structure with multiple overlapping visual elements including color-mapped surfaces (blue, red, orange), vector glyphs (green and yellow arrows/lines), and scattered point-like features. The dense layering of textures, colors, and geometric elements across the turbulent flow field creates substantial perceptual complexity, though the dark background and single dominant structure provide some visual grounding."
v487_n7406_7_f3.png,"This visualization overlays three simultaneous encoding methods—a continuous color-mapped heatmap (rainbow scale), irregular contour lines, and a dense vector field of displacement arrows—creating substantial perceptual complexity. The color gradients span the full spectrum from red to purple with complex spatial transitions, and the numerous contour lines with varying shapes add further intricacy. The combination of these layered elements demands significant cognitive effort to parse."
SciVisJ.1236.10.png,"This visualization contains a large grid of approximately 54 small heatmap matrices arranged in 6 rows and 9 columns, each with detailed pixel-level patterns in purple and green. The sheer number of subplots, the fine-grained detail within each matrix, and the need to compare patterns across multiple labeled conditions create substantial perceptual and cognitive demand. The repetitive yet varying structures across the grid further add to the visual intricacy."
InfoVisJ.2699.12.png,"This network graph contains hundreds of nodes and edges spread densely across the entire canvas, with numerous clusters of varying sizes and densities. The heavy edge crossings, overlapping elements, and sheer volume of interconnected components create high perceptual and cognitive demand. Four annotated subgroups (SG1-SG4) add minimal additional complexity to an already intricate visualization."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, clear labels, minimal color usage (black/white hatched bars with red error bars), and a straightforward layout. The chart has a single axis scale and no legend or additional annotations, making it very low in visual complexity."
InfoVisC.211.18.png,"This is a simple bar chart (histogram) showing a clear right-skewed distribution with approximately 15-18 bars decreasing in height. The chart uses a single color (black), has minimal labeling, no legend, and no gridlines, making it straightforward to interpret with low visual complexity."
SciVisJ.980.12(2).png,"This 3D scientific visualization contains multiple overlapping streamlines forming vortex patterns, numerous color-coded vector glyphs (red, blue, green, yellow) distributed throughout the domain, and several 3D isosurfaces at four focal points. The layered transparency of streamlines, multi-colored elements, and spatial depth create significant perceptual complexity, though the repeating pattern of four vortex cells provides some structural regularity that slightly reduces cognitive load."
whoQ50_2.png,"This is a straightforward single-series bar chart with 19 bars showing percentage change across countries. The visual complexity is moderate due to the number of categories and angled country labels, but the chart uses a single color, simple axis structure, and clean layout with no additional encodings or layered elements."
InfoVisJ.2402.12(1).png,"This treemap visualization exhibits extreme visual complexity with hundreds of nested rectangles at multiple hierarchical levels, dense small text labels that are largely illegible, and varied sizing from large blocks to tiny cells. The predominantly grayscale palette with sporadic green and cyan highlights adds color-coding complexity, while the bottom portion becomes especially dense with very fine-grained subdivisions creating significant perceptual and cognitive demand."
whoJ44.png,"This is a simple line chart with only two lines (Total ODA and General budget support) over 11 time points. The design is clean with minimal visual elements, clear labels, and a straightforward layout with no overlapping or dense data points."
wsj340.png,"This is a simple donut/pie chart with only 6 segments, clear labels with percentages directly on the slices, and a central annotation showing total capacity. The color palette is limited and muted, the layout is clean with a straightforward title and subtitle, and there is minimal visual clutter or layering of information."
VisC.167.11.png,"This is a stacked bar chart with three color-coded categories across approximately 30 bars. The layout is straightforward with clear axes, gridlines, and a simple legend. While the number of bars and the stacked segments add moderate detail, the overall design is conventional and relatively easy to interpret."
VASTJ.2908.2.png,"This visualization is a multi-column categorical matrix with 17 row categories and 5 theoretical frameworks, each cell encoded with three shades of blue indicating research focus levels. The repetitive structure and consistent encoding reduce complexity somewhat, but the large number of cells (~85), the need to distinguish three similar blue shades, and the dense labeling create moderate-to-high perceptual and cognitive demand."
InfoVisC.73.6.png,"The visualization shows repeated text labels ('IEEE Information Visualization 2005') along curved arcs with red endpoint markers, decreasing in size from top to bottom. The design is relatively simple with limited visual elements—just text, curves, and dots—though the varying text sizes and curved paths add some perceptual complexity. The overall composition is sparse with a white background and few distinct graphical components."
economist_daily_chart_153.png,"This is a stacked area chart with three categories tracked over approximately 30 years. The overlapping areas with jagged peaks create moderate visual complexity, but the clean color scheme, clear legend, and straightforward layout keep it relatively accessible. The number of data points and irregular patterns add some perceptual demand but the overall design remains well-organized."
InfoVisJ.1236.13.png,"The visualization presents two side-by-side representations of the Netherlands—a numbered choropleth/cartogram and a gridded waffle map—creating dual visual processing demands. The right grid map contains hundreds of small colored squares across many distinct hues, while the left map has numerous labeled regions with varied colors. The combination of multiple color categories, dense grid elements, geographic shapes, and numerical labels creates substantial perceptual complexity."
