filename,data_density_explanation,visual_encoding_explanation,text_annotation_explanation,domain_schema_explanation,color_symbol_explanation,aesthetic_order_explanation,cognitive_load_explanation,summary
wsj135.png,Moderate number of bars (24 bars across 12 years) but representing only two simple categories.,Standard grouped bar chart with straightforward positional encoding; very conventional.,"Clear title, subtitle, axis labels, source attribution, and callout annotations for the final year's values.",Simple financial/housing data requiring no specialized knowledge to interpret.,Only two colors (green and orange) used consistently; minimal color complexity.,"Very clean, well-organized Wall Street Journal infographic with clear visual hierarchy.",Easy to interpret at a glance; the narrative is clearly communicated through title and annotations.,"A clean Wall Street Journal grouped bar chart showing refinance vs. home purchase mortgages from 2000-2011. The visualization is well-organized with minimal complexity, using only two colors and clear annotations to tell a straightforward story."
SciVisJ.1025.11.png,About 16 data points spread across the plot; moderate but not dense data content.,Simple scatter plot with colored circles; straightforward spatial encoding on two axes.,"Each point is individually labeled with method name and parameter value, adding moderate text density.","Requires some understanding of computational methods (JIT, Octree, Dense, Opt.) and memory/time tradeoffs.","Four distinct colors (green, orange, dark purple, black) categorize four method types; clean and simple.",Well-organized layout with clear spacing; labels are legible and non-overlapping for the most part.,Relatively easy to interpret the time vs. memory tradeoff across methods; moderate domain familiarity needed.,"A clean scatter plot comparing four computational methods across time (ms) and memory (megabytes) dimensions. Each point is color-coded by method type and individually labeled, resulting in moderate but manageable visual complexity."
visMost97.png,Only 5 data points representing continental population proportions; very sparse data.,Simple color-coded continent shapes with numerical labels; straightforward geographic encoding.,"Clear title, subtitle, and labeled continents with numbers; moderate but well-organized text.",No specialized knowledge needed; intuitive world map with population proportions.,"Five distinct solid colors (red, blue, green, yellow, light blue) for continents on white background.","Very clean, well-organized infographic layout with ample whitespace.",Immediately interpretable; simple concept with clear visual-to-data mapping.,"A clean infographic showing world population distribution by continent using a color-coded world map. Very low complexity with only 5 data points and a highly organized, minimalist design."
economist_daily_chart_165.png,20 countries each with two stacked bar segments — moderate data volume but straightforward structure.,Simple stacked horizontal bar chart with two categories; minimal encoding complexity.,"Clear title, subtitle, legend, source note, and country labels; moderate but well-organized text.",No specialized knowledge needed; organ donation rates per million is an accessible metric.,Only two colors (dark teal and light blue) used consistently; very simple palette.,"Clean, well-organized layout with consistent spacing and alignment; highly ordered.",Easy to interpret; standard stacked bar comparison across countries requires minimal effort.,"A clean horizontal stacked bar chart comparing organ donor rates (deceased vs. living) across 20 countries. The visualization is well-organized with minimal visual complexity, using only two colors and a straightforward layout."
whoO06_2.png,19 risk factors each with 3 stacked segments yield a moderate-to-high number of data points in a single chart.,Standard horizontal stacked bar chart with straightforward positional encoding; not highly complex.,"Long descriptive title, 19 category labels, axis label, and legend create moderate text volume.","Requires understanding of DALYs and public health risk factors, but the chart format itself is accessible.","Three distinct colors (dark blue, light purple, orange) used consistently; simple and effective palette.","Well-organized, sorted by total bar length, clean layout with clear legend placement.","Moderate effort needed to compare stacked segments across 19 categories, but the sorted order aids interpretation.","A well-organized horizontal stacked bar chart showing 19 health risk factors broken down by income level. The chart has moderate data density due to many categories but uses a clean, sorted layout with only three colors, keeping overall complexity moderate."
InfoVisC.133.5(3).png,Three categorical variables with 2 levels each; moderate data shown through flow proportions.,Parallel sets/mosaic-style visualization with crossing ribbons encoding proportional flows between categories.,"Minimal text with clear labels for three variables (Class, Sex, Survived) and their categories.","Requires understanding of alluvial/parallel sets diagrams showing categorical relationships, moderately specialized.",Two main colors (teal and green) used to distinguish categories with semi-transparent overlapping ribbons.,"Reasonably well-organized with clear horizontal tiers, though crossing ribbons create some visual complexity.",Tracing flows between categories requires moderate effort due to crossing and overlapping ribbons.,"A parallel sets diagram showing relationships between Class, Sex, and Survived variables, likely from the Titanic dataset. The crossing colored ribbons create moderate visual complexity but the overall structure with three tiers is well-organized and interpretable."
whoQ44_4.png,"Eight countries stacked over 12 years provides moderate data density, though some layers are very thin.",Standard stacked area chart with a single encoding type; straightforward spatial layout.,"Long descriptive title, legend with 8 country names, and labeled axes contribute moderate text volume.",Public health/epidemiological context but the chart type itself is widely understood.,Eight shades of brown/tan used to distinguish countries; monochromatic palette with moderate differentiation difficulty.,Well-organized layout with clear legend and clean axes; visually tidy.,"Distinguishing between similar brown shades requires some effort, but the overall chart pattern is clear.","A stacked area chart showing hospital admissions for 8 African countries from 2000–2011 using a brown monochromatic color scheme. Moderate complexity driven primarily by the number of stacked layers with similar colors, though the chart type and layout are clean and standard."
InfoVisJ.619.17.png,"Moderate number of scatter points (~60-70) with some overlap, plus directional arrows and a regression line.","Combines scatter points with varying size and color, directional arrows (biplot vectors), a trend line, and dotted grid lines.","Multiple labels including data point names, variable labels (Fat, Sugar, Calories, Sodium), and numeric axis tick values along the trend line.","This is a PCA biplot requiring understanding of principal component analysis, loading vectors, and continuous color mapping for a nutritional dataset.","Continuous black-to-orange color gradient encodes a numeric variable (50-160 range), with varying point sizes adding another encoding channel.","Reasonably organized but the overlapping points in the center, multiple label types, and arrows create moderate visual clutter.","Requires understanding biplot interpretation, reading color gradient, parsing multiple overlapping encodings, and relating arrows to variable loadings.","A PCA biplot of cereal nutritional data with color-encoded continuous values and loading vectors for Fat, Sugar, Calories, and Sodium. The visualization has moderate complexity due to the combination of scatter points, arrows, trend line, and continuous color encoding requiring statistical knowledge to interpret fully."
InfoVisJ.1558.11(3).png,"Moderate number of scattered data points across the plot area, but not overly dense.",Simple scatter plot with elongated dot/stroke marks encoding position and possibly orientation.,"Virtually no text, labels, axes, or annotations present.",Appears to be a clustering or classification visualization; requires modest domain understanding.,"Three distinct colors (red, green, blue) used to encode clusters; simple but effective palette.",Relatively clean layout within a dashed border; clusters are somewhat separable but overlap at boundaries.,Easy to perceive three color-coded clusters; low interpretation effort required.,"A simple scatter plot showing three color-coded clusters (red, green, blue) of elongated marks within a dashed border. The visualization has low complexity with no text annotations and a clean, minimal design."
wsj603.png,Two time series lines spanning about 3 years with moderate temporal granularity and a highlighted spread area.,Standard dual line chart with a shaded area between lines at the end; straightforward encoding.,"Title, subtitle paragraph, line labels, callout boxes with specific values, source attribution — moderately heavy text.","Requires some financial knowledge (Treasury yields, TIPS, inflation expectations) but the chart form is standard.",Two-color scheme (gold and red) on a muted green background; limited but effective palette with callout boxes.,Well-organized Wall Street Journal style infographic; clean layout with clear visual hierarchy.,Fairly easy to interpret; the spread comparison and callout annotations guide the reader effectively.,"A Wall Street Journal line chart comparing 10-year Treasury note and TIPS yields from 2009-2012 with annotated spread callouts. The design is clean and professional with moderate text annotations, making it accessible despite the financial domain content."
