raw_name,synset,category,source,n_images,example_images,example_raw_comments,example_llm_input,example_sentiments,example_finalPhrases
categorization_scheme,content.category,content,extended,1,VisJ.1595.7.png,"I'm unable to sort these as I can't understand them, it feels like the colours along with the shape it categorised in a certain way that I can't identify",shapes categorized in a certain way; unable to sort; the colors; can't identify; can't understand them,(+); (+); (+); (+); (+),color contrast/clarity; distracting/confusing/unclear; easy/hard to interpret; shapes and lines
crop_type,content.category,content,extended,1,wsj226.png,much more detailed. It shows me how much crop each country/region produces and how that changed over one year.,how that changed over one year; shows crop each country/region produces,(+); (+),shapes and lines
groups,content.category,content,extended,1,np_11.png,"There is a lot of information to understand, there information is divided in more group, there are multiple area of interests; Multiple elements, includes text and image, in different sizes, and different colours, lots of information; Num of objects/words, how objects spread over the whole picture; too many things; Sports; The one to the right where I know they are talking about the total value of Forbes 50 most valuable sports team in 20112.",Forbes companies; sports team; too many things; Multiple elements; lots of information; different sizes; text; different colors; Num of objects/words; how objects spread; words; a lot of information; more groups; multipe areas of interests,(-); (-); (+); (+); (+); (+); (+); (-); (-); (-); (-); (+); (+); (+),"amount of words/context/numbers; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; much/little data/info; shapes and lines"
time_period,content.category,content,extended,1,wsj226.png,much more detailed. It shows me how much crop each country/region produces and how that changed over one year.,how that changed over one year; shows crop each country/region produces,(+); (+),shapes and lines
content,content.data,content,extended,2,SciVisJ.975.7.png | VisC.199.5.png,"nan || more easily understood, less time consuming, make sense.",meaningless; complexity; unknow || less time consuming; make sense.; more easily understood,(+); ?; (+) || (-); ?; (-),distracting/confusing/unclear || easy/hard to interpret
copies,content.data,content,extended,1,VisC.297.4.png,black and white; only one shape (a vertical live) and multiple copies of it. They are also on the same horizontal axis,multiple copies; on the same axis; one shape; black and white,(-); (-); (-); (-),2D/3D; color variety/shading; more charts/points/lines/shapes/elements; shapes and lines
data,content.data,content,original,1,wsj21.png,The other image has visuals to make it easier for you to understand what the data is about. The other image also has different visual elements that allow you to analyze the data in the image.,different visual elements; allow to analyze the data; easier to understand,(-); (-); (-),easy/hard to interpret; several elements
datapoints,content.data,content,extended,1,InfoVisJ.349.1.png,"has easy lines to follow second option has easily distinct shapes; The numerous intersections on the right chart made it confusing to read to me.; Proximity of items Colours involved Complexity of image; Amount of information to understand the data; Lack of label or explanation; visually more abstract and to me complex; random like shapes; random like ""movement"" of datapoints(?); monochrome colour appeared more complex to me",distinct shapes; lines; easy lines to follow; numerous intersections; confusing to read; random like movement of datapoints; random like shapes; monochrome color; Proximity of items; Colors involved; Lack of label or explanation,(-); (+); (-); (+); (+); (+); (+); (+); (-); (+); (+),color contrast/clarity; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; monochrome; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; random-like shapes; shapes and lines; unclear meaning/confusing; word rotation/small font size
dataset,content.data,content,extended,1,VASTJ.422.7.png,Larger dataset; Bigger key so more things to analyse; More colours,Larger dataset; so more things; Bigger key; More colors,(+); (+); (+); (+),color variety/shading; labels/axes/legends; much/little data/info
dataset_1,content.data,content,extended,1,wsj135.png,"Left one is just a time scale with 2 data sets in same scale, diferent colors and aligment makes it easy to understand.; The other image is more easier to read and understand",alignment; time scale; 2 data sets; different colors; easy to understand,?; (-); (-); (-); (-),color variety/shading; easy/hard to interpret; much/little data/info; scale difference; shapes and lines
