filename,explanation
visMost97.png,"This is a simple infographic showing a world map with 5 color-coded continents/regions, each labeled with a single number and category name. The layout is clean with minimal visual elements, ample white space, and straightforward data encoding. The cognitive demand is very low with only 5 data points to process."
whoO06_2.png,"This is a horizontal stacked bar chart with 19 categories and 3 color-encoded income levels per bar. The number of categories creates moderate density, and the stacked encoding requires some cognitive effort to compare segments across bars. However, the layout is straightforward with a single panel and clear labeling, keeping it from being highly complex."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home Purchase) across 12 years, totaling about 24 bars. The chart includes clear annotations, a descriptive title and subtitle, and callout labels for the final year's values. While it has more elements than a simple bar chart, the design is clean and well-organized with only two color encodings, keeping complexity moderate."
economist_daily_chart_165.png,"This is a horizontal stacked/grouped bar chart with 20 countries and two color-encoded categories (Deceased and Living donors). While the number of data elements is moderate and the dual-encoding adds some complexity, the layout is straightforward with clear labels and a simple structure. The density of bars and the need to compare across categories and countries pushes it slightly above a basic chart."
SciVisJ.1025.11.png,"This is a scatterplot with 16 labeled data points encoded by four color categories (Dense, Octree, JIT, Opt.) across varying sizes. While each point has a text label adding some visual clutter, the overall layout is straightforward with a single panel, two axes, and moderate density. The labeled points and color encoding add moderate complexity beyond a basic scatterplot."
InfoVisC.133.5(3).png,"This is a parallel sets/alluvial diagram showing relationships between three categorical variables (Class, Sex, Survived) with two categories each. The crossing ribbons with color encoding create moderate visual complexity through overlapping flows and color mixing. While the structure has only 3 levels with 2 categories each, the intersecting bands and transparency effects add perceptual complexity beyond a simple chart."
InfoVisJ.1558.11(3).png,"This is a scatter plot with three color-encoded clusters (red, green, blue) containing roughly 100-150 data points total. The visualization has no axes, labels, legends, or gridlines, which reduces complexity. However, the moderate number of scattered points with some overlap and the three distinct clusters add moderate perceptual demand."
whoQ44_4.png,"This is a stacked area chart with 8 categories (countries) over 12 time points. The multiple overlapping shaded areas with similar brown/tan color palette create moderate visual complexity. While it's a single chart type, the number of stacked layers and the need to distinguish between similar earth-tone colors adds perceptual demand beyond a simple chart."
wsj603.png,"This is a dual-line time series chart showing two financial instruments over roughly 3 years. It has moderate complexity with two detailed, volatile line series, several annotated callout labels with specific values, a shaded spread area on the right side, and descriptive text. While not a simple chart, it remains a single-panel visualization with only two data series, keeping it in the moderate range."
InfoVisJ.619.17.png,"This is a biplot/PCA-style scatterplot with multiple encoding channels: point color (continuous gradient from black to orange representing values 50-160), point size variation, directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression/axis line with tick marks and numeric labels, dotted reference circles, and labeled outlier points. The moderate density of ~60+ data points with overlapping elements and multiple simultaneous encodings creates substantial but not extreme complexity."
VisJ.1515.12.png,"This image shows concentric circular rings with a simple color palette of dark green and dark red/maroon. While the rings create some visual pattern, the overall structure is repetitive and simple with no text, labels, axes, or data encodings. The pattern is uniform and predictable, resulting in relatively low visual complexity."
VisJ.1499.8.png,"This visualization shows two side-by-side 3D rendered cardiac mesh models with color-mapped surfaces (orange-yellow gradient) and wireframe overlays. The right panel adds scattered marker points (green diamonds), increasing its complexity. The dual-panel layout with 3D geometry, color encoding, mesh lines, and orientation cubes creates moderate-to-high visual complexity, though the overall composition is relatively straightforward with just two views."
v483_n7391_8_f5.png,"This is a filled contour plot (spectral function or dynamic structure factor) with approximately 12 color levels, multiple overlaid contour lines creating intricate nested shapes, two overlaid curves (cyan lines), and dual axes on both x and y dimensions. The contour structure is moderately complex with dense regions near the dispersion curve and varying topology across the k-E space, but it remains a single-panel visualization with a straightforward color legend."
v487_n7406_7_f3.png,"This visualization combines multiple encoding channels: a continuous color field (heatmap) representing displacement values, overlaid vector arrows showing direction and magnitude, and contour lines delineating regions of equal displacement. The color gradient spans the full spectrum from red to purple, and the spatial patterns are irregular and complex. The combination of three simultaneous visual encodings (color, vectors, contours) creates substantial perceptual demand."
SciVisJ.1236.10.png,"This is a dense multi-panel grid of approximately 54 small heatmap matrices (6 rows × 9 columns), each containing detailed pixel-level patterns in purple and green. The repetitive but varied structure across panels, combined with the fine-grained matrix patterns within each cell and multiple labeled column headers, creates high perceptual and cognitive demand. The sheer number of panels and the intricate internal structure of each heatmap push this well into the high complexity range."
VisJ.1197.5(3).png,"This is an extremely dense 3D visualization showing hundreds of rectangular blocks/buildings in a cityscape-like arrangement viewed from above at an angle. The sheer number of overlapping geometric elements, varying heights, shadows, and the lack of any whitespace or labels creates very high visual complexity. The grayscale rendering with strong contrast between light surfaces and dark shadows adds to the perceptual density."
InfoVisJ.2699.12.png,"This is a dense network graph with hundreds of nodes and edges spread across the entire canvas, forming numerous interconnected clusters and subgraphs. The high number of overlapping edges, varied node sizes, and multiple annotated subgroups (SG1-SG4) add significant perceptual complexity. The overall density and intricacy of the network structure demands considerable cognitive effort to parse."
SciVisJ.2926.1.png,"This is a highly detailed scientific visualization, likely of a fluid dynamics simulation or astrophysical phenomenon, showing a complex vortex structure with multiple color encodings (blue, red, yellow, green) representing different data variables. The image contains dense particle/glyph distributions, swirling flow patterns, and numerous small-scale features that demand significant perceptual effort to parse. The multi-encoding nature with vector glyphs overlaid on a color-mapped surface adds substantial visual complexity."
InfoVisJ.2402.12(1).png,"This is an extremely dense treemap or space-filling visualization with hundreds of nested rectangular elements of varying sizes. The image contains multiple levels of hierarchical detail with fine-grained texture throughout, color encoding (green, cyan, gray), and progressively smaller elements toward the bottom creating very high information density. The sheer number of visible elements and the multi-scale structure demand significant perceptual effort to parse."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, hatched fill pattern, error bars, and minimal labeling. The layout is clean and straightforward with a single variable on each axis, making it very low in visual complexity."
whoQ50_2.png,"This is a single bar chart with approximately 18 bars showing percentage change across countries. While it has a moderate number of categories with rotated labels that add some reading complexity, it uses a single color encoding and a straightforward layout. The angled country labels and varying bar directions (positive and negative) add moderate perceptual demand but it remains a standard single-variable bar chart."
SciVisJ.980.12(2).png,"This is a 3D scientific visualization showing flow fields with streamlines, vector glyphs (arrows in multiple colors), and isosurfaces within a rectangular domain. The multiple vortex structures, overlapping streamlines, scattered directional arrows in various colors (red, blue, green, yellow), and 3D perspective create significant perceptual complexity. The multi-encoding nature with simultaneous display of flow topology, direction, and magnitude across four repeating structures demands considerable cognitive effort to interpret."
InfoVisC.211.18.png,"This is a simple bar chart (histogram) showing a single data series with approximately 18 bars in a monotonically decreasing pattern. The chart uses a single color (black), has minimal labeling, and employs only one visual encoding (bar height). The layout is straightforward with no additional layers of complexity."
wsj340.png,"This is a single donut/pie chart with 6 segments, each clearly labeled with percentages. The design is clean with a central label showing total capacity. The accompanying text adds some context but the visualization itself is straightforward with minimal visual complexity."
whoJ44.png,"This is a simple dual-line chart with only two lines over 11 time points. The visual encoding is straightforward with clear labels, a legend, and minimal clutter. The chart has a clean layout with limited data density and no complex interactions or multi-panel structure."
InfoVisC.73.6.png,"This image shows repeated text ('IEEE Information Visualization 2005') arranged along curved paths at decreasing sizes, with red dots marking endpoints. The visual elements are relatively simple — text along arcs with minimal data encoding. While the curved text arrangement and size variation add some visual interest, the overall complexity is low with limited distinct elements and no data-dense encodings."
VisC.167.11.png,"This is a stacked bar chart with three categories across approximately 30 bars. The chart has moderate complexity due to the number of bars and the stacked encoding with three color-coded segments, but the layout is straightforward with a single panel, clear axes, and a simple legend. The varying bar heights create visual interest but the overall structure is a standard chart type."
VASTJ.2908.2.png,"This is a matrix-style chart with 5 columns and 17 rows, using three color-coded levels (high, medium, low) to indicate research focus across different cognitive frameworks. The numerous categories and multiple columns create moderate-to-high complexity, requiring systematic scanning to compare patterns across dimensions. The color encoding is simple but the sheer number of cells (~85) and the need to cross-reference rows and columns adds significant cognitive load."
economist_daily_chart_153.png,"This is a stacked area chart with three categories spanning about 30 years of data. While the overlapping areas and jagged peaks create moderate visual complexity, it remains a single-panel chart with a clear legend and straightforward encoding. The three layers with varying peaks add some perceptual demand but the overall design is relatively clean."
InfoVisJ.1236.13.png,"This visualization contains two side-by-side representations of the Netherlands: a choropleth map with numbered regions (provinces) using distinct colors, and a gridded/tile map version showing the same data at a finer granularity with many small colored squares. The dual-view layout, numerous color categories, numeric labels, and the dense grid representation on the right create substantial visual complexity, though the overall layout remains relatively organized."
