imageName,imageURL,VisType,NormalizedVC,vc_tier,Topics,SubTopics,rawUserComments,originalPhrases,humanCuratedPhrases
VisC.375.9(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.375.9(2).png,Node-link,0.4,low,Visual Encoding Clarity; Immediacy / Cognitive Load,"Position, Scale & Organization; Interpretive Difficulty",in the right one you can clearly see the 2 point of each element,the 2 point of each element; clearly see,shape position; easy to interpret/read/understand
InfoVisJ.1063.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1063.13.png,Node-link,0.67,mid,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Element Quantity; Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty,"The second one is much easier to understand than the first. The second graph only has black.; Image on the right is simple, although at the end it has many lines it's visually more pleasing than the one on the left.",many lines; more pleasing; only has black; easier to understand,more charts/points/lines/shapes/elements; black color; visual clarity/appealing; easier to interpret/read/understand
VASTJ.1.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1.7.png,Node-link,0.83,high,Data Density / Image Clutter; Immediacy / Cognitive Load,Element Quantity; Processing Time & Effort,"1. Pictures are more scattered, which takes more time to look at.",Pictures are more scattered; takes more time to look at,"scattered shapes (e.g., dots, squares, pictures); take longer to interpret"
visMost97.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost97.png,Area,0.38,low,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,"uses common knowledge, is easy to understand, has distinguished/distinctive colors, and presents simple information.",common knowledge; distinguished/distinctive colors; simple information; easy to understand,simple information; familiar representation; color variety/arrangement/distribution; easy to interpret/read/understand
economist_daily_chart_493.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_493.png,Area,0.59,mid,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",Information Volume; Domain Familiarity; Color Palette & Contrast,"Amount of details, draw style, colors",Amount of details; colors; draw style,more detailed/things; drawing style; unclear colormaps
visMost573.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost573.png,Area,0.77,high,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Visual Clutter & Overlap; Dimensionality & Structure; Element Quantity; Information Volume; Graphical Forms & Primitives; Visual Disorganization; Annotations & Labels; Interpretive Difficulty; Typography & Readability; Text Volume & Content; Abstraction Level; Domain Familiarity; Color Palette & Contrast; Symbols & Texture,"The circles on the right side might also be a lot, but I can clearly link it to the image legend.; To many colours. Text is to small. Its not straight to the point; To many colours Text is to small Its not straight to the point; The initial understanding of what's shown to me made me think the orange image was more complex, as it was harder to decipher. The colour superposition also means more complexity. Finally, the amount of information as well as its disposition.; I assessed the images on how complicated they looked at first glance and whether I could glean any information from them instantly. If one image hurt my eyes or looked confusing I judged that to be more complex.cluttered as the one on the left.; density of information, number of colors, number of items on the legend, overlap of circle areas; It is more complex as I find it more difficult in terms of image layout; The orange image is much less clear, much more packed with information in a visually intricate way. The use of color is much more layered in the orange image than in the other one.; multiple features overlapping features several more colours large key; multiple features; overlapping features; several more colours; large key; Intense colors, multiple figures, smaller icons, hard to understand; number of items on the legend, overlap of different colors; Lots of colours, Different size of circles, Overlapping, The explanation text and the legend on the left side of the page; More overlapping colors; More colors; Background color; More text; Lots of colours; Different size of circles; Overlapping; The explanation text and the legend on the left side of the page; Too many circles in the orange highlighted one. Everything (circles and colours) are mixed together making it difficult to discern information. Use of ambiguous colours on the left.; Too many circles in the orange highlighted one Everything (circles and colours) are mixed together making it difficult to discern information Use of ambiguous colours; The image looks as if it might be easier to decipher.; complexity vague in general difficult to read; complex data sets , appealing colours , easier to visualize; I have the feeling I don't need to do this in the right image.; The visualization on the right looks more like an abstract painting.; However, the second image, even with info, it's quite difficult for me. By the way, another thing I realized was that, sometimes the image is apparently not complex, but it is to me. For example, with these images about black holes or similar to black holes.; At first, I thought that the image on the right was more difficult. But, after looking at it for a long time, I stared to understand what it meant.; 1. Visuals that tell the story 2. Labels are clear 3. Key is easy to understand 4. Description easy to read; The small text in the upper left kept distracting me every time I saw this image. The text is too small to read and because of that I felt this was less accessible and comprehensible. It became more familiar every time I saw it; however, I did feel that it was overly complex.; The image uses circles of various sizes and colors to represent sounds throughout Jerusalem. It conveys information in a complex way using these circles and text labels, though the visual elements themselves are relatively simple.; first reason is how quick i can understand the image, and because i saw the second multiple times, i guess it played a huge role on that; Sur l'image la plus simple il y a une légende et des couleurs aidant à la compréhension.",circles; clearly link to legend; image legend; multiple figures; Intense colors; smaller icons; hard to understand; stared to understand; overlapping colors; More text; Background color; More overlapping colors; Overlapping circles; size of circles; explanation text; legend; Lots of colors; Description easy to read; Key is easy to understand; Labels are clear; overlap of different colors; number of items on the legend; different colors; many colors; Text is small; not straight to the point; Too many circles; circles and colors mixed together; Use of ambiguous colors; difficult to discern; multiple features; overlapping features; large key; several more colors; To many colors; Text is to small; easier to visualize; cluttered; looked confusing; complicated at first glance; glean information instantly; more colors; ambiguous colors; image layout; more difficult; saw it multiple times; images about black holes; quite difficult for me; density of information; overlap of circle areas; number of colors; text is too small; less accessible and comprehensible; amount of information; disposition; color superposition; harder to decipher; difficult to read; abstract painting; circles of various sizes; visual elements relatively simple; text labels; colors to represent sounds; Jerusalem; more packed with information; color more layered; much less clear; Overlapping; Different size of circles; easier to decipher,"dense/cluttered data/info; dense/cluttered layout; disposition; many/more data/info; more charts/points/lines/shapes/elements; much/more data/info/info spread; multiple features/elements/graphs; overlapping shapes/colors/lines; shape-color mix; clear connection; shape size; shape size variation; shapes and lines; simple visual elements; -; clear title/axis/label; description easy to read; explanation text; legend easy to understand; more texts/words; number of legend items; title/axis/label/descriptions; too much legend; word rotation/small font size; abstract shapes or colors; domain-specific concepts (e.g., chemical, biology, map); familiar representation; no context or reference; ambiguous/confusing colors; color represents sounds; color superposition/layer; color variety/arrangement/distribution; distinguishable color variety/arrangement/distribution; indicating symbols; intense/too many colors; more colors; soft/layered/overlapping colors; too many colors; white/black background / other background; distracting/confusing/unclear; complicated to process; easier to interpret/read/understand; easier to process/visualize; easy to interpret/read/understand; hard to compare/discern/distinguish; hard to interpret/read/understand; hard to interpret/read/understand/differentiate; more difficult; more difficult to interpret/read/understand/differentiate; not intuitive/simple data"
VASTJ.870.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.870.4.png,Grid,0.48,low,Immediacy / Cognitive Load,Interpretive Difficulty,Ease of understanding,Ease of understanding,easy to interpret/read/understand
InfoVisJ.522.15.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.522.15.png,Grid,0.64,mid,Data Density / Image Clutter; Immediacy / Cognitive Load,Element Quantity; Interpretive Difficulty,appears to have a lot of data points; unclear what the differences are between the four different matrices and snippets; the quadrants appear to provide slightly more detailed information,a lot of data points; unclear what the differences are,more charts/points/lines/shapes/elements; hard to interpret/read/understand
VASTC.41.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.41.5.png,Grid,0.84,high,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Element Quantity; Color Palette & Contrast; Processing Time & Effort,"A lot of different colors and shapes, it took me a long time to understand what I was looking at and how to look at it.",A lot of shapes; different colors; took a long time to understand,more charts/points/lines/shapes/elements; color variety/arrangement/distribution; take longer to interpret
VisJ.1949.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1949.11.png,Glyph,0.45,low,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Annotations & Labels; Color Palette & Contrast; Visual Disorganization; Semantic Clarity,1) I'm not sure how to interpret the highlighted image because I don't know what I'm looking at 2) No clear pattern 3) No measurements 4) Not sure what the colors differentiate,No measurements; what the colors differentiate; No clear pattern; don't know what looking at,no measurement/metric/axis; color differentiation; distracting/confusing/unclear; unclear meaning/confusing
SciVisJ.980.7(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.980.7(2).png,Glyph,0.65,mid,Immediacy / Cognitive Load,Interpretive Difficulty,it is clearer what I can learn.,it is clearer what I can learn,easy to interpret/read/understand
