filename,explanation
SciVisJ.1025.11.png,"This is a single-panel scatterplot with approximately 16 labeled data points encoded using four distinct colors to represent different categories. The direct labeling of each point adds moderate visual density, and the multiple color categories require cognitive effort to distinguish, but the overall layout remains a standard 2D scatterplot with clean gridlines and no additional panels or complex encodings."
economist_daily_chart_165.png,"This is a horizontal grouped bar chart with 19 countries and two data series (Deceased and Living), using two distinct colors and stacked/grouped bars. The moderate number of categories and dual-encoding increases complexity beyond a simple bar chart, but it remains a single-panel, straightforward visualization with clear labels and a standard layout."
visMost97.png,"This is a clean infographic featuring a simplified world map with five color-coded continental regions and corresponding numerical labels. The design is sparse with minimal visual elements—just colored silhouettes, five data annotations, and a title—resulting in low perceptual demand. The use of color encoding adds slight complexity beyond a plain chart, but the overall layout remains simple and uncluttered."
wsj135.png,"This is a grouped bar chart with two categories (refinance and home purchase) across 12 time periods, using two distinct colors. The chart includes annotation callouts, a descriptive subtitle, dotted gridlines, and source attribution, adding modest complexity beyond a simple bar chart but remaining a straightforward single-panel visualization without dense layering or multiple encoding dimensions."
whoO06_2.png,"This stacked horizontal bar chart displays 19 categories with 3 color-encoded segments each, creating a moderately dense visualization. The large number of labeled rows, multi-segment bars, legend, and detailed axis labeling add perceptual demand. While the chart type is standard, the quantity of data series and text labels pushes complexity above a typical simple bar chart."
whoQ44_4.png,"This stacked area chart features 8 distinct country categories rendered in similar warm/brown hues, requiring perceptual effort to distinguish individual bands. The legend with 8 entries, labeled axes, dense year markings, and the overlapping color gradients add moderate complexity. The similar color palette makes differentiation challenging, pushing complexity slightly higher than a standard area chart."
InfoVisJ.1558.11(3).png,"This visualization shows a scatter plot with three color-coded clusters (red, green, blue) using oriented elliptical glyphs that encode additional dimensions through size and rotation. The multi-color encoding and varying glyph orientations add moderate complexity, but the absence of axes, labels, legends, and grid lines keeps the overall cognitive demand at a moderate level."
InfoVisC.133.5(3).png,"This parallel sets diagram shows three hierarchical levels (Class, Sex, Survived) with crossing flow bands connecting categories. The overlapping teal and green bands create visual intricacy and perceptual demand as viewers must trace connections across levels. The moderate number of categories (2 per level) and dual color encoding keep complexity at a mid-range level."
wsj603.png,"This dual-line chart displays two time series with dense, noisy data spanning multiple years, enhanced by several annotation callout boxes highlighting specific values and a highlighted spread region between the lines. The combination of jagged lines, multiple labeled data points, explanatory text blocks, and the shaded area adds moderate visual complexity beyond a simple line chart. The annotations and color-coded elements require careful perceptual parsing but the overall layout remains a single-panel design."
InfoVisJ.619.17.png,"This biplot-style scatterplot uses multiple visual encodings simultaneously: dot position in 2D space, dot size, color gradient (dark to orange representing calorie values), directional vector arrows labeled with variable names, numerical axis annotations, and specific data point labels. The color legend bar adds an additional layer of complexity. While moderately information-dense, it remains a single-panel view without extreme overplotting."
VisJ.1515.12.png,"The image consists of concentric circular rings in a highly regular, repetitive pattern using only two color hues (dark green and reddish-brown). While there are approximately 15–20 distinguishable rings creating some visual density, the pattern is entirely symmetric and contains no labels, axes, legends, or data encodings beyond the radial gradient structure, keeping cognitive demand low."
v483_n7391_8_f5.png,"This contour/density plot features multiple simultaneous encodings: a continuous color scale with gradient fill, numerous overlaid contour lines of varying density, a distinct blue overlay curve, and dual axes on both x and y dimensions. The combination of color mapping, dense contour lines (particularly clustered in certain regions), multiple axis scales, and a detailed colorbar legend creates moderate-to-high visual complexity in a single panel."
VisJ.1499.8.png,"The visualization contains two side-by-side 3D heart mesh models with color-mapped surfaces (orange-to-red gradient encoding), a grid overlay, and the right panel adds dense green diamond glyphs at each mesh node. The combination of 3D rendering, color encoding, mesh structure, and glyph overlay creates moderate-to-high visual complexity, compounded by the dual-panel layout and orientation cube indicators."
SciVisJ.1236.10.png,"This visualization consists of a dense 6×10 grid of small heatmap/matrix panels, totaling 60 individual sub-visualizations, each containing internal grid structure with varying purple-green color patterns. The sheer number of panels, the internal complexity within each cell, and the multi-encoding (color intensity, spatial position, grid patterns) create very high perceptual and cognitive demand. The repetitive yet varied patterns across rows and columns require significant visual processing to compare and interpret."
v487_n7406_7_f3.png,"This visualization combines three overlapping encodings: a continuous color heatmap, contour isolines, and a dense vector/arrow field spanning the entire plot area. The hundreds of directional arrows, irregular contour curves, and spectral color gradient all compete for attention simultaneously, creating substantial perceptual demand. Despite being a single panel, the multi-layer encoding and high density of graphical elements push complexity well above a standard heatmap or contour plot."
InfoVisJ.2699.12.png,"This is a dense network graph with hundreds of nodes and edges distributed across the entire canvas, creating significant visual complexity. Multiple overlapping edge connections, varying cluster densities, and four annotated subgraphs (SG1–SG4) highlighted with red circles add additional layers of perceptual demand. The combination of dense interconnections in the center, scattered peripheral clusters, and annotation overlays places this firmly in the high-complexity range."
VisJ.1197.5(3).png,"This image depicts an extremely dense 3D urban landscape visualization composed of hundreds of overlapping rectangular block forms rendered in varying grayscale shades, filling nearly the entire frame. The curved fisheye-like perspective adds additional spatial complexity, and the sheer density of elements with varying heights, sizes, and orientations demands significant perceptual effort to parse. There are no axes or labels to simplify interpretation, leaving the viewer to navigate the intricate visual mass alone."
SciVisJ.2926.1.png,"This is an extremely dense scientific flow visualization rendered in 3D perspective, combining multiple simultaneous visual encodings: color mapping across several variables (blue, red, yellow, green), complex swirling LIC-style flow textures, and a dense field of directional glyphs scattered across the right portion. The intricate vortex structure layered with volumetric color fields and thousands of individual glyph elements creates very high perceptual and cognitive demand throughout the entire image."
InfoVisJ.2402.12(1).png,"This visualization is an extraordinarily dense space-filling display (likely a treemap or pixel-based hierarchy) containing thousands of tiny visual elements arranged in a multi-scale hierarchical grid. The density escalates toward the bottom where elements become nearly indistinguishable, creating extreme perceptual demand. Multiple color encodings (green, cyan, gray) are embedded throughout this massive field of micro-elements, making it one of the most cognitively demanding visualization types possible."
