raw_name,synset_term,synset_category,n_images
crop_type,category,content,1
time_period,category,content,1
categorization_scheme,category,content,1
groups,category,content,1
data_elements,data,content,38
data_content,data,content,16
information_content,data,content,7
variables,data,content,5
data_items,data,content,3
data_marks,data,content,2
data_details,data,content,2
data_values,data,content,2
content,data,content,2
distribution,data,content,2
word_frequency,data,content,2
dataset_1,data,content,1
dataset_2,data,content,1
dataset,data,content,1
datapoints,data,content,1
data,data,content,1
data_figures,data,content,1
data_segments,data,content,1
data_entities,data,content,1
statistics,data,content,1
information_elements,data,content,1
copies,data,content,1
data_subjects,data,content,1
data_entries,data,content,1
data_types,data,content,1
chemical_data,data,content,1
wavelet_coefficients,data,content,1
data_visualization,data,content,1
information_noise,data,content,1
entities,data,content,1
parameters,data,content,1
details,detail,content,8
small_details,detail,content,1
detail_features,detail,content,1
hidden_content,detail,content,1
context,domain,content,2
semantic_content,domain,content,2
field_information,domain,content,1
terminology,domain,content,1
biological_content,domain,content,1
subject_matter,domain,content,1
football_imagery,domain,content,1
numbers,number,content,15
measurements,number,content,3
numerical_values,number,content,2
codes_numbers,number,content,1
numeric_values,number,content,1
values,number,content,1
midpoint_values,number,content,1
ratio,number,content,1
metrics,number,content,1
colored_surface,area,mark,1
chart_area,area,mark,1
zoom_area,area,mark,1
bars,bar,mark,6
color_bar,bar,mark,1
filled_bars,bar,mark,1
error_bars,bar,mark,1
sticks,bar,mark,1
measurement_bar,bar,mark,1
columns,bar,mark,1
colored_segments,color_segment,mark,1
color_segments,color_segment,mark,1
color_bands,color_segment,mark,1
visual_elements,element,mark,5
elements,element,mark,3
visual_marks,element,mark,2
graphic_elements,element,mark,1
design_elements,element,mark,1
marks,element,mark,1
graphical_marks,element,mark,1
visual_element,element,mark,1
pixel,element,mark,1
visual_items,element,mark,1
black_elements,element,mark,1
green_elements,element,mark,1
yellow_elements,element,mark,1
graphic_element,element,mark,1
black_element,element,mark,1
components,element,mark,1
ink_marks,element,mark,1
pixel_elements,element,mark,1
3d_elements,element,mark,1
lines,line,mark,41
data_lines,line,mark,4
line,line,mark,4
curve_lines,line,mark,1
dotted_lines,line,mark,1
curved_lines,line,mark,1
overlapping_lines,line,mark,1
horizontal_lines,line,mark,1
straight_line,line,mark,1
trend_line,line,mark,1
dashed_line,line,mark,1
crossing_lines,line,mark,1
seismic_waveform,line,mark,1
scale_lines,line,mark,1
interconnecting_lines,line,mark,1
vertical_lines,line,mark,1
nodes,node,mark,2
data_points,point,mark,40
dots,point,mark,18
circles,point,mark,10
circle,point,mark,2
meeting_points,point,mark,1
unique_point,point,mark,1
points_of_interest,point,mark,1
dot_marks,point,mark,1
point_boundaries,point,mark,1
spots,point,mark,1
intersection_point,point,mark,1
plotted_points,point,mark,1
horizon_point,point,mark,1
center_points,point,mark,1
point_shapes,point,mark,1
shapes,shape,mark,35
squares,shape,mark,6
boxes,shape,mark,6
shape,shape,mark,6
geometric_shapes,shape,mark,3
shape_outline,shape,mark,2
cubes,shape,mark,1
circular_shapes,shape,mark,1
rectangular_shapes,shape,mark,1
oval_shape,shape,mark,1
spirals,shape,mark,1
abstract_shapes,shape,mark,1
animal_shapes,shape,mark,1
country_shapes,shape,mark,1
arrows,symbol,mark,3
symbols,symbol,mark,3
cross_shape,symbol,mark,1
formula_symbol,symbol,mark,1
icons,symbol,mark,1
indicators,symbol,mark,1
color_scheme,color,property,70
color_encoding,color,property,64
colors,color,property,34
color,color,property,8
color_palette,color,property,5
color_scale,color,property,3
shading,color,property,2
gradient,color,property,2
color_gradient,color,property,2
color_shading,color,property,2
red_colors,color,property,1
color_key,color,property,1
color_coding,color,property,1
blue_colors,color,property,1
color_overlay,color,property,1
color_fill,color,property,1
color_shades,color,property,1
color_distribution,color,property,1
color_range,color,property,1
color_contrast,color,property,1
color_contrasts,color,property,1
white_color,color,property,1
color_codes,color,property,1
visual_encoding,encoding,property,2
size_encoding,encoding,property,1
metric_representation,encoding,property,1
draw_style,encoding,property,1
motion,encoding,property,1
visual_cues,encoding,property,1
data_encoding,encoding,property,1
encoding_scheme,encoding,property,1
shape_encoding,encoding,property,1
font_styling,font_style,property,2
font,font_style,property,2
typography,font_style,property,1
fonts,font_style,property,1
calligraphy,font_style,property,1
half_shading,opacity,property,1
volume,size,property,1
texture,texture,property,1
axes,axes,scaffold,20
y_axis,axes,scaffold,7
x_axis,axes,scaffold,5
axis,axes,scaffold,3
time_axis,axes,scaffold,1
longitudinal_axis,axes,scaffold,1
axis_numbers,axes,scaffold,1
horizontal_axis,axes,scaffold,1
timeline,axes,scaffold,1
axes_titles,axes,scaffold,1
y_axis_left,axes,scaffold,1
y_axis_right,axes,scaffold,1
legend,legend,scaffold,46
labels_or_legend,legend,scaffold,1
legend_key,legend,scaffold,1
color_code,legend,scaffold,1
scale,scale,scaffold,3
numeric_scale,scale,scaffold,1
background,background,structure,6
white_space,background,structure,2
negative_space,background,structure,1
background_images,background,structure,1
empty_spaces,background,structure,1
grid,grid,structure,6
table,grid,structure,4
columns_and_rows,grid,structure,1
dimension_matrix,grid,structure,1
matrix,grid,structure,1
divisions,grid,structure,1
hierarchical_structure,hierarchy,structure,1
ranking_system,hierarchy,structure,1
ranking_structure,hierarchy,structure,1
hierarchy_levels,hierarchy,structure,1
phylogenetic_tree,hierarchy,structure,1
lineages,hierarchy,structure,1
hierarchy_structure,hierarchy,structure,1
layout,layout,structure,26
chart_layout,layout,structure,2
layout_structure,layout,structure,2
visual_layout,layout,structure,2
presentation_logic,layout,structure,2
layers,layout,structure,1
multi_panel_figure,layout,structure,1
spatial_dimension,layout,structure,1
structure,layout,structure,1
layout_position,layout,structure,1
vertical_layout,layout,structure,1
intersections,link,structure,3
connections,link,structure,3
network,link,structure,3
edge_detail,link,structure,1
interactions,link,structure,1
process_path,link,structure,1
paths,link,structure,1
edges,link,structure,1
branches,link,structure,1
relationships,link,structure,1
link,link,structure,1
frame,panel,structure,1
individual_panel,panel,structure,1
magnification_inset,panel,structure,1
box_indicators,panel,structure,1
computer_screen,panel,structure,1
blue_box,panel,structure,1
dashed_box,panel,structure,1
red_boxes,panel,structure,1
subplots,panel,structure,1
left_image,panel,structure,1
code_block,panel,structure,1
pattern,pattern,structure,7
key_patterns,pattern,structure,2
data_pattern,pattern,structure,1
striped_pattern,pattern,structure,1
patterns,pattern,structure,1
waterfall_pattern,pattern,structure,1
flow_pattern,pattern,structure,1
data_area,region,structure,9
countries,region,structure,2
continents,region,structure,1
active_region,region,structure,1
regions,region,structure,1
highlighted_countries,region,structure,1
geographic_shapes,region,structure,1
dark_green_region,region,structure,1
red_region,region,structure,1
country_region,region,structure,1
dark_regions,region,structure,1
dense_region,region,structure,1
cluster,region,structure,1
sections,region,structure,1
geographic_regions,region,structure,1
earth_geography,region,structure,1
pacific_ocean,region,structure,1
annotations,annotation,text,4
annotation,annotation,text,3
mathematical_formulae,annotation,text,1
title_annotation,annotation,text,1
annotations_or_facts,annotation,text,1
axis_labels,axis_label,text,6
description,description,text,2
captions,description,text,1
descriptions,description,text,1
text_labels,label,text,70
labels,label,text,25
text_elements,label,text,8
text,label,text,6
words,label,text,6
letters,label,text,3
country_labels,label,text,3
explanation_text,label,text,2
labels_annotations,label,text,2
numerical_labels,label,text,2
title_or_label,label,text,2
