section,subcategory,term,n_images
visual_attributes,annotation,almost_no_explanation,1
visual_attributes,annotation,dense_word_content,1
visual_attributes,annotation,excessive_annotations,1
visual_attributes,annotation,eye_catching_descriptions,1
visual_attributes,annotation,high_school_education_context,1
visual_attributes,annotation,mathematical_formulae_present,1
visual_attributes,annotation,missing_explanatory_labels,1
visual_attributes,annotation,more_to_understand,1
visual_attributes,annotation,multiple_facts_conveyed,1
visual_attributes,annotation,precise_aspect_labeling,1
visual_attributes,area,conveys_more_data,1
visual_attributes,area,dense_information_small_space,1
visual_attributes,area,difficult_to_read,1
visual_attributes,area,easy_to_understand,1
visual_attributes,area,harder_to_discern,1
visual_attributes,area,more_difficult_to_understand,1
visual_attributes,area,organized_structured_layout,1
visual_attributes,area,requires_specialized_education,1
visual_attributes,area,understand_at_a_glance,1
visual_attributes,area,unfamiliar_chart_type,1
visual_attributes,area,visually_striking_surface,1
visual_attributes,area,zoomed_in_region,1
visual_attributes,axes,standard_axis_present,2
visual_attributes,axes,additional_y_dimension,1
visual_attributes,axes,axes_absent,1
visual_attributes,axes,axis_absent,1
visual_attributes,axes,axis_aids_orientation,1
visual_attributes,axes,axis_data_present,1
visual_attributes,axes,axis_measurements_clear,1
visual_attributes,axes,axis_numbers_present,1
visual_attributes,axes,axis_present,1
visual_attributes,axes,complex_axis_labeling,1
visual_attributes,axes,different_axis_types,1
visual_attributes,axes,dual_axis_present,1
visual_attributes,axes,easy_to_interpret,1
visual_attributes,axes,easy_to_read_axis,1
visual_attributes,axes,fewer_axes_present,1
visual_attributes,axes,four_axes_present,1
visual_attributes,axes,four_labeled_axes,1
visual_attributes,axes,harder_to_interpret_axis,1
visual_attributes,axes,longitudinal_graph_structure,1
visual_attributes,axes,many_parameters_on_axes,1
visual_attributes,axes,missing_axis_label,1
visual_attributes,axes,mixed_with_charts,1
visual_attributes,axes,more_axes_present,1
visual_attributes,axes,more_variables_represented,1
visual_attributes,axes,multiple_axes,1
visual_attributes,axes,multiple_axes_four_or_five,1
visual_attributes,axes,multiple_axes_present,1
visual_attributes,axes,multiple_different_axes,1
visual_attributes,axes,no_axis_labels,1
visual_attributes,axes,no_graph_metrics_given,1
visual_attributes,axes,non_linear_scale,1
visual_attributes,axes,present_axes_titles,1
visual_attributes,axes,provides_clear_labels,1
visual_attributes,axes,quantitative_relations_encoded,1
visual_attributes,axes,straightforward_x_axis,1
visual_attributes,axes,time_scale_present,1
visual_attributes,axes,two_axes_only,1
visual_attributes,axes,two_axes_present,1
visual_attributes,axes,variable_hard_to_interpret,1
visual_attributes,axes,x_and_y_axes_present,1
visual_attributes,axes,x_and_y_axis_present,1
visual_attributes,axes,x_position_encoding,1
visual_attributes,axes,y_position_encoding,1
visual_attributes,axis_label,contains_letters_and_numbers,1
visual_attributes,axis_label,labeled_axes_present,1
visual_attributes,axis_label,large_numeric_values,1
visual_attributes,axis_label,more_numbers_present,1
visual_attributes,axis_label,precise_axis_naming,1
visual_attributes,axis_label,unfamiliar_label_names,1
visual_attributes,axis_label,words_aid_reading,1
visual_attributes,axis_label,x_and_y_scales_present,1
visual_attributes,background,reduced_white_space,2
visual_attributes,background,background_color_adds_complexity,1
visual_attributes,background,black_background_color,1
visual_attributes,background,creates_depth_illusion,1
visual_attributes,background,excessive_white_space,1
visual_attributes,background,excessively_dark,1
visual_attributes,background,irregular_empty_spaces,1
visual_attributes,background,too_dark,1
visual_attributes,background,white_background_present,1
visual_attributes,bar,adds_visual_complexity,1
visual_attributes,bar,bidirectional_error_bars,1
visual_attributes,bar,extends_horizontally,1
visual_attributes,bar,grouped_by_color,1
visual_attributes,bar,hard_to_distinguish,1
visual_attributes,bar,high_bar_count,1
visual_attributes,bar,multiple_different_bars,1
visual_attributes,bar,multiple_stick_elements,1
visual_attributes,bar,rendered_as_individual_lines,1
visual_attributes,bar,simple_measurement_indicator,1
visual_attributes,bar,straightforward_encoding,1
visual_attributes,bar,vary_in_length,1
visual_attributes,bar,visually_unclear_encoding,1
visual_attributes,category,cannot_identify_categories,1
visual_attributes,category,more_groups_present,1
visual_attributes,category,multiple_crop_categories,1
visual_attributes,category,one_year_change_shown,1
visual_attributes,color,multiple_colors_used,19
visual_attributes,color,multiple_colors_present,17
visual_attributes,color,high_color_variety,7
visual_attributes,color,different_colors_used,5
visual_attributes,color,more_colors_used,5
visual_attributes,color,high_color_contrast,4
visual_attributes,color,many_colors_used,4
visual_attributes,color,multiple_different_colors,4
visual_attributes,color,too_many_colors,4
visual_attributes,color,black_and_white_only,3
visual_attributes,color,different_colors_present,3
visual_attributes,color,many_colors_present,3
visual_attributes,color,color_coding_present,2
