filename,explanation
visMost97.png,"This is a simple infographic showing world population distribution by continent using a color-coded map with only 5 data points. The data density is very low with just 5 numbers, the visual encoding is straightforward (colored continent shapes with size roughly proportional to area), and the color scheme uses basic primary colors. Text annotations are minimal with just a title, subtitle, and 5 labeled values. The layout is clean and uncluttered with ample white space, requiring minimal cognitive effort to interpret."
SciVisJ.1025.11.png,"This is a scatterplot with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.), each with 4 size variants. The data density is moderate with some clustering in the lower-right region. Text annotations are fairly heavy with each point individually labeled, and the color encoding uses 4 distinct colors. However, the layout is clean with a simple 2D structure, no overlapping elements beyond slight crowding in the 800-900 megabyte range, and the domain is relatively straightforward (performance benchmarking). Cognitive load is moderate as the viewer needs to compare groups across two dimensions."
whoO06_2.png,"This is a grouped/stacked horizontal bar chart with 19 categories and 3 income-level segments per bar, creating moderate data density. The text annotation is substantial with 19 category labels, axis labels, a detailed title, and a legend. The color encoding uses three distinct colors (dark blue, light purple, orange) which is straightforward but applied across many bars. The domain requires some familiarity with DALYs and public health metrics, adding modest domain complexity. Overall cognitive load is moderate — the chart is well-organized and readable but contains a significant amount of information to process across the 19 risk factors and their income-level breakdowns."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries and two categories (Deceased and Living organ donors), representing moderate data density. The visual encoding is straightforward with two-color stacked bars, and the text annotation includes country labels, axis values, a legend, title, and source note — a moderate amount. The layout is clean and well-organized, keeping aesthetic clutter low, but the number of bars (20 countries) adds meaningful data density that pushes complexity above a simple bar chart. Cognitive load is moderate as comparisons across stacked segments require some effort."
wsj135.png,"This is a grouped bar chart with two categories (Refinance and Home purchase) over 12 years, which is relatively straightforward. The data density is moderate with about 24 bars total, and the visual encoding is simple (two-color grouped bars). Text annotations include a clear title, subtitle, axis labels, callout annotations for the final year's values, and source attribution, adding moderate text density. The color scheme is limited to two colors (green and orange), and the layout is clean and well-organized with minimal clutter. Cognitive load is low as the chart type is familiar and the message is clearly communicated."
InfoVisJ.619.17.png,Anchor image scored at 0.54.
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style visualization showing the relationship between three categorical variables (Class, Sex, Survived) with flowing colored bands connecting categories. The visual encoding is moderately complex with overlapping translucent bands creating intersections that require some cognitive effort to trace. The color palette uses two main hues (teal and green) with transparency effects. Data density is moderate with only 3 variables and 2 categories each, but the crossing bands add visual complexity. Text annotation is minimal with just category labels. The cognitive load is moderate as users need to follow flow paths through overlapping regions."
whoQ44_4.png,"This stacked area chart displays 8 countries over 12 years, creating moderate data density with overlapping area layers. The color encoding uses a brown/earth-tone gradient with 8 distinct shades, which adds moderate complexity to color_symbol differentiation. The text annotation is moderately heavy with a long title, detailed legend with 8 entries, and axis labels. The cognitive load is moderate—stacked area charts require effort to parse individual country contributions, especially in the middle layers, though the overall trend is clear."
InfoVisJ.1558.11(3).png,"This visualization shows a scatter-like plot with three color-coded clusters (red, green, blue) of elongated marks within a dashed border. The data density is moderate with perhaps 100+ points, but there is no text annotation (no axes, labels, title, or legend), which keeps text complexity at zero. The visual encoding is relatively simple—position and color are the primary channels—and the domain schema requires minimal specialized knowledge. The lack of any textual context or axes increases ambiguity slightly but the overall layout is clean and uncluttered, keeping cognitive load and aesthetic disorder low."
wsj603.png,"This is a dual-line time series chart with moderate complexity. The data_density is moderate with two detailed, volatile time series lines spanning several years. The text_annotation is fairly substantial with a lengthy subtitle, multiple callout labels with specific values, source attributions, and series labels. The color_symbol usage is moderate with distinct gold and red lines, a yellow shaded area for the spread, and colored annotation boxes (blue, red). The visual_encoding is relatively straightforward as a standard line chart, though the spread annotations and callout boxes add some complexity. The cognitive_load is moderate — understanding the spread between the two series and the inflation expectations context requires some financial domain knowledge, but the layout is clean and well-organized."
