imageName,VisType,rawUserComments,originalPhrases,originalSentiments,n_obj,n_attr,n_rel,objects,attributes,relationships
whoO06_2.png,Bar,has a title and legend,legend; title,(+); (-),2,2,1,legend --> furniture.legend [legend] | title --> text.title [title],increases_perceived_complexity @ legend (furniture.legend) [+] | aids_quick_interpretation @ title (text.title) [-],legend(furniture.legend) --adds_complexity_relative_to--> title(text.title) [+]
visMost97.png,Area,"uses common knowledge, is easy to understand, has distinguished/distinctive colors, and presents simple information.",common knowledge; distinguished/distinctive colors; simple information; easy to understand,(-); (-); (-); (-),3,4,2,chart --> whole.visualization [overall] | color_encoding --> property.color [data_area] | data_content --> content.data [data_area],simple_information @ data_content (content.data) [-] | common_knowledge_domain @ data_content (content.data) [-] | distinguished_distinctive_colors @ color_encoding (property.color) [-] | easy_to_understand @ chart (whole.visualization) [-],color_encoding(property.color) --aids_interpretation(raw:aids_interpretation_of)--> data_content(content.data) [-] | data_content(content.data) --requires_minimal_cognitive_load--> chart(whole.visualization) [-]
wsj135.png,Bar,"Left one is just a time scale with 2 data sets in same scale, diferent colors and aligment makes it easy to understand.; The other image is more easier to read and understand",alignment; time scale; 2 data sets; different colors; easy to understand,?; (-); (-); (-); (-),5,4,2,chart --> whole.visualization [overall] | time_axis --> furniture.axes [axes] | dataset_1 --> content.data [data_area] | dataset_2 --> content.data [data_area] | color_encoding --> property.color [legend],time_scale_present @ time_axis (furniture.axes) [-] | alignment_ambiguous @ chart (whole.visualization) [+] | easy_to_understand @ chart (whole.visualization) [-] | different_colors_used @ color_encoding (property.color) [-],dataset_1(content.data) --distinguished_from--> dataset_2(content.data) [-] | dataset_1(content.data) --shares_time_axis_with--> dataset_2(content.data) [-]
InfoVisC.133.5(3).png,Node-link,Both of these images are a bit complex.; - element size - number of details - complexity of shapes and contrasts; The complexity of the information conveyed in the right image seems a lot more than the left image. There are several factors to understand in the right image. overlapping/intersecting lines; Volume of information; Spread of information on the image; Data interpretation; Time to evaluate context,number of details; element size; shapes and contrasts,(-); (-); (+),3,4,2,chart --> whole.visualization [overall] | data_elements --> content.data [data_area] | shapes --> mark.shape [data_area],low_detail_count @ chart (whole.visualization) [-] | large_element_size @ data_elements (content.data) [-] | varied_shapes_present @ shapes (mark.shape) [+] | high_contrast_marks @ shapes (mark.shape) [+],shapes(mark.shape) --increases_complexity(raw:increases_visual_complexity_of)--> chart(whole.visualization) [+] | data_elements(content.data) --reduces_clutter_in--> chart(whole.visualization) [-]
SciVisJ.1025.11.png,Point,"Lots of inscription with details, several measurements on the same graph, numbers; There are more colours in this image and it is displaying more data; -number of information -color contrast; less text; more information and nuances transportet through the picture.; Compared to the other one its a bit more complex",Lots of inscription with details; several measurements; inscription with details; numbers; information and nuance transported; number of information; color contrast; less text; more data; more colors,(+); (+); (+); (+); (+); (+); (-); (+); (+); (+),5,10,4,text_labels --> text.label [overall] | measurements --> content.number [axes] | numbers --> content.number [data_area] | data_elements --> content.data [data_area] | colors --> property.color [overall],lots_of_inscriptions @ text_labels (text.label) [+] | detailed_annotations @ text_labels (text.label) [+] | sparse_text_present @ text_labels (text.label) [+] | several_measurements_shown @ measurements (content.number) [+] | numeric_labels_present @ numbers (content.number) [+] | high_information_volume @ data_elements (content.data) [+] | nuanced_data_content @ data_elements (content.data) [+] | more_data_points @ data_elements (content.data) [+] | multiple_colors_used @ colors (property.color) [+] | high_color_contrast @ colors (property.color) [-],text_labels(text.label) --increases_effort(raw:increases_cognitive_load)--> data_elements(content.data) [+] | numbers(content.number) --contributes_to_clutter_in--> measurements(content.number) [+] | colors(property.color) --aids_differentiation_of--> data_elements(content.data) [-] | measurements(content.number) --adds_detail_to--> data_elements(content.data) [+]
InfoVisJ.619.17.png,Point,this is visually complex because the dots are everywhere not in exact locations spread around seems cluttered; the other photo seems easier to figure out- but was tough to decide,dots are everywhere; seems cluttered; spread around; easier to figure out,(+); (+); (+); (-),2,4,1,dots --> mark.point [data_area] | layout --> structure.layout [overall],scattered_everywhere @ dots (mark.point) [+] | spread_around @ dots (mark.point) [+] | cluttered_appearance @ layout (structure.layout) [+] | easier_to_figure_out @ layout (structure.layout) [-],dots(mark.point) --contributes_to--> layout(structure.layout) [+]
economist_daily_chart_165.png,Bar,"The left image is simpler than the other one because its data are easier to see them, at least, in my opinion.; The highlighted image has a lot of details to read and requires concentration to pay attention to all the data in it (the 'other one' compared to the circle image).; contains more information mix several colors; the size of the graphics; more details；couldnt`see the content; neither is very complex, but comparatively the one on the left is more visually complex as it requires reading; The most important is to understand the topic, what I am looking at. Then the quality of the picture has to be reasonably good, with distinct colours and clear text.; 2D; understandable visual; - how organised/disorganised was the picture - how many type of entities they were - numbers on entities - numbers of unique shapes/colors",contains more information; mix several colors; requires reading; 2D; a lot of details; requires concentration; more details; couldnt`see the content; understandable visual; data are easier to see; clear text; distinct colors,(+); (+); (+); (-); (+); (+); (+); (+); (-); (-); (-); (+),6,12,4,chart --> whole.visualization [overall] | data_elements --> content.data [data_area] | color_encoding --> property.color [data_area] | text_labels --> text.label [axes] | legend --> furniture.legend [legend] | title --> text.title [title],contains_more_information @ chart (whole.visualization) [+] | two_dimensional_layout @ chart (whole.visualization) [-] | understandable_visual @ chart (whole.visualization) [-] | requires_concentration @ chart (whole.visualization) [+] | lot_of_details @ data_elements (content.data) [+] | more_details_present @ data_elements (content.data) [+] | data_easier_to_see @ data_elements (content.data) [-] | content_hard_to_see @ data_elements (content.data) [+] | mixes_several_colors @ color_encoding (property.color) [+] | distinct_colors_used @ color_encoding (property.color) [+] | requires_reading @ text_labels (text.label) [+] | clear_text @ text_labels (text.label) [-],color_encoding(property.color) --encodes_variation_in--> data_elements(content.data) [+] | text_labels(text.label) --adds_reading_burden_to--> chart(whole.visualization) [+] | data_elements(content.data) --contributes_detail_to--> chart(whole.visualization) [+] | title(text.title) --aids_interpretation(raw:aids_interpretation_of)--> chart(whole.visualization) [-]
InfoVisJ.1558.11(3).png,Glyph,"the other one i have no context to what its about; The swirling pattern of the dots, along with the colours, make it appear more complex.",no context,(+) (-),1,3,0,visualization --> whole.visualization [overall],lacks_contextual_information @ visualization (whole.visualization) [+] | requires_external_knowledge @ visualization (whole.visualization) [+] | ambiguous_without_context @ visualization (whole.visualization) [+],
VisJ.1499.8.png,Glyph,more information to actually think about; number of points/shapes,more information to think about; number of points/shapes,(+); (-),3,2,2,chart --> whole.visualization [overall] | data_points --> mark.point [data_area] | information_content --> content.data [overall],low_number_of_points @ data_points (mark.point) [-] | requires_more_thinking @ information_content (content.data) [+],information_content(content.data) --increases_cognitive_demand_of--> chart(whole.visualization) [+] | data_points(mark.point) --limited_quantity_reduces_clutter_in--> chart(whole.visualization) [-]
wsj603.png,Line,had many small details like the small ups and downs. There are much more information; The one on the right seems like it's fairly easy to read; There were more colours in the image on the left. The shapes and lines were more complex; Comprehensibility Readability,shapes and lines; more colors; fairly easy to read; many small details; much more information,(+); (+); (-); (+); (+),5,6,3,lines --> mark.line [data_area] | shapes --> mark.shape [data_area] | color_scheme --> property.color [overall] | small_details --> content.detail [data_area] | information_content --> content.data [overall],multiple_lines_present @ lines (mark.line) [+] | varied_shape_marks @ shapes (mark.shape) [+] | more_colors_used @ color_scheme (property.color) [+] | many_small_details @ small_details (content.detail) [+] | high_information_volume @ information_content (content.data) [+] | fairly_easy_to_read @ information_content (content.data) [-],lines(mark.line) --combined_with--> shapes(mark.shape) [+] | small_details(content.detail) --contributes_to--> information_content(content.data) [+] | color_scheme(property.color) --increases_complexity(raw:increases_complexity_of)--> information_content(content.data) [+]
