filename,explanation
wsj135.png,"This grouped bar chart has moderate complexity with two color-encoded categories (orange for home purchase, green for refinance) across 12 year groups, creating 24 bars total. The text elements include a title, subtitle/description paragraph, axis labels, two annotated callout boxes with specific values, and source attribution, adding meaningful semantic density. The layout is clean and well-organized with no overlap or clutter, but the number of bars, dual-category encoding, and annotated callouts push the cognitive load to a moderate level."
visMost97.png,"The visualization uses a simplified world map with 5 distinct color-coded regions, each labeled with a number and nationality category. The color encoding is clear and distinct (red, blue, yellow, green, cyan), and the text elements are minimal—just a title, subtitle, and 5 labeled data points. The layout is clean with low clutter and straightforward cognitive demand, placing it in the lower-moderate complexity range."
SciVisJ.1025.11.png,"This scatterplot has moderate-to-high complexity driven primarily by the dense labeling of all ~16 data points directly on the chart, creating text crowding especially in the central cluster area. Four distinct color encodings (green, orange, purple, black) add categorical dimensionality that requires decoding. The axis labels and numeric scales are readable, but the combination of per-point text annotations, color categories, and some point overlap elevates cognitive load beyond a standard scatterplot."
economist_daily_chart_165.png,"This horizontal stacked bar chart contains 19 country rows with two data series each (Deceased and Living), resulting in moderate data density with 38 individual bar segments to process. The text load is substantial — 19 y-axis country labels, 11 x-axis tick marks, a title, subtitle, legend, and source note — contributing meaningfully to cognitive load. However, the two-color encoding (dark teal and light blue) is simple, the layout is clean and well-organized, and the chart type is familiar, which keeps overall complexity from reaching the high range."
whoO06_2.png,"This stacked horizontal bar chart contains 19 category rows, each with up to 3 encoded segments (High, Middle, Low income), creating considerable data density and requiring viewers to track multiple color-coded values simultaneously. The text load is substantial with 19 y-axis labels, a detailed title, axis label, and legend, adding to cognitive demand. While the color scheme is limited to three distinct hues and the layout is reasonably clean, the combination of stacked encoding across many rows, the need to compare segment widths within and across bars, and the domain-specific terminology (DALYs, risk factors) elevates the overall cognitive load well above a simple bar chart."
whoQ44_4.png,"This stacked area chart displays 8 country series over 12 years using a monochromatic brown/orange palette, making individual layer differentiation moderately challenging. The legend with 8 items arranged in two rows, multi-line title, and densely spaced y-axis labels (large formatted numbers) add textual complexity. The similar hues across layers increase cognitive load when trying to attribute specific areas to individual countries, though the overall layout remains relatively clean with a white background."
InfoVisC.133.5(3).png,"This parallel sets (alluvial) diagram shows three categorical dimensions (Class, Sex, Survived) connected by crossing ribbon flows, which creates significant visual overlap and clutter in the middle sections where bands intersect. The semi-transparent overlapping green and teal ribbons require active tracing to decode individual flows, imposing moderate cognitive load and interpretive difficulty. While text labels are minimal and readable, the specialized diagram schema and crossing band encodings push the complexity well above a standard chart."
wsj603.png,"The visualization features two high-frequency, jagged time-series lines spanning several years with dense data points, creating significant visual clutter. Multiple annotation callout boxes in different colors (gold, blue, red) overlay the chart, and a highlighted yellow shaded region marks the spread between lines, adding layered visual encoding complexity. The combination of a lengthy explanatory subtitle, multiple labeled data points with specific values, in-chart line labels, source citations, and the need for financial domain knowledge (yield spreads, TIPS) substantially increases cognitive load."
InfoVisJ.1558.11(3).png,"The visualization contains a high density of small elliptical marks (~150-200+) distributed across three color-coded clusters (red, green, blue), with each mark varying in size and orientation — suggesting a multi-dimensional encoding that increases cognitive load. The absence of any text elements (no axes, labels, titles, or legend) moderates the text-driven complexity, but the varying orientations and sizes of the ellipses add a perceptual layer beyond a standard scatter plot. The partially overlapping clusters and scattered outlier marks create moderate visual clutter requiring effort to disentangle the underlying pattern or schema."
InfoVisJ.619.17.png,"This biplot employs multiple simultaneous visual encodings — dot position (x/y), dot size, and a continuous black-to-orange color gradient representing a numeric range (50–160), plus directional arrows for variable loadings (Fat, Sugar, Calories, Sodium), all demanding significant cognitive effort to integrate. The data density is moderate-to-high with ~70 overlapping points and a non-standard axis layout with dotted reference lines and tick values scattered along a diagonal line. Specialized schema knowledge (PCA/biplot interpretation) is required, and the combination of a legend, multiple text annotations, and divergent arrow overlays substantially elevates cognitive load."
