filename,explanation
visMost97.png,"This is a clean, simple infographic with a world map showing only 5 color-coded regions with large, easily readable numbers and labels. The data density is very low (5 data points), the color encoding is straightforward with distinct solid colors, and the layout is spacious with minimal clutter. The concept is immediately understandable with virtually no cognitive load required."
wsj135.png,"This is a straightforward grouped bar chart with two categories (refinance and home purchase) across 12 time periods, using only two colors (green and orange). The layout is clean with clear labels, a descriptive title and subtitle, and simple annotations for the final year's values. The data density is moderate but the visual encoding is immediately interpretable with minimal cognitive load."
whoO06_2.png,"This horizontal stacked bar chart displays 19 risk factors with three income-level categories each, creating moderate data density. The text labels on the y-axis are numerous but legible, and the three-color encoding (dark blue, light purple, orange) is straightforward. The chart is well-organized with a clear layout, but the quantity of categories and stacked segments requires moderate cognitive effort to parse and compare across risk factors."
economist_daily_chart_165.png,"This is a horizontal stacked bar chart with 20 countries showing two categories (Deceased and Living organ donors), using a clear two-color encoding scheme. While the number of data items is moderate, the layout is clean and well-organized with legible labels, a straightforward axis, and minimal clutter. The cognitive load is relatively low as the chart type is familiar and the dual-color encoding is easy to interpret, though comparing across unsorted bars requires some effort."
SciVisJ.1025.11.png,"This scatter plot has moderate complexity with 16 labeled data points across 4 color-coded categories (Dense, Octree, JIT, Opt.). The direct labeling of each point adds text density, and some labels overlap slightly in the 800-900 megabyte range, creating mild clutter. However, the overall layout is clean with a straightforward 2D encoding, clear axes, and the color distinction between groups is immediately interpretable, keeping cognitive load manageable."
whoQ44_4.png,"This is a stacked area chart with 8 categories represented by different shades of brown/beige over 12 time points. The color palette uses similar earth tones which makes distinguishing some layers moderately challenging, adding to cognitive load. However, the overall layout is clean with clear axis labels, a straightforward temporal structure, and a legible legend, keeping complexity at a moderate level."
InfoVisC.133.5(3).png,"This is a mosaic/alluvial-style diagram showing relationships between Class (1st/2nd), Sex (male/female), and Survived (no/yes). The overlapping colored ribbons connecting categories create moderate visual complexity, with crossing flows that require some cognitive effort to trace. However, the chart has only three variables with two categories each, limited color palette (teal and green), and clear text labels, keeping overall complexity at a moderate level."
InfoVisJ.619.17.png,"This biplot-style visualization has moderate-to-high complexity due to multiple overlapping data points with color encoding (continuous gradient from black to orange representing calorie values), directional arrows for variables (Fat, Sugar, Calories, Sodium), a regression line with tick marks, dotted reference lines, and labeled outliers. The overlapping points in the center create clutter, and interpreting the biplot structure requires some domain knowledge about PCA or similar dimensionality reduction techniques, adding cognitive load."
InfoVisJ.1558.11(3).png,"The visualization shows a scatter plot with three color-coded clusters (red, green, blue) of elongated dot marks within a dashed border. There are no axes, labels, titles, or legends, which significantly reduces text-based complexity. The moderate number of data points creates some density but the clusters are reasonably well-separated, and the clean white background with only three colors keeps cognitive load relatively low."
wsj603.png,"This is a dual-line time series chart with moderate complexity. It features two clearly colored lines (gold and red) with several annotations and callout boxes on the right side highlighting specific values and spreads. The text density is moderate with a descriptive subtitle, labels, and annotations, but the overall layout is clean and the chart type is familiar, keeping cognitive load manageable. The shaded area between the lines near the end adds a small layer of visual detail but doesn't significantly increase complexity."
VisJ.1515.12.png,"This image shows concentric circular rings with a limited color palette of dark green, olive, and dark red/maroon. There is no text, no axes, no labels, and no data annotations, keeping semantics and text legibility demands minimal. The pattern is repetitive and relatively simple in structure, though the overlapping rings and color gradients add some visual intricacy. The cognitive load is low as there is little to interpret beyond the radial pattern itself."
v483_n7391_8_f5.png,"This contour/heatmap plot shows moderate-to-high complexity with multiple overlapping contour levels representing a continuous variable across a 2D parameter space (k vs E). The color legend has 12 discrete levels, and the contour lines create intricate nested shapes, particularly in the lower-left region where dense red contours overlap. The dual axes (both top/bottom and left/right with different units) add cognitive load, and the cyan boundary lines introduce additional visual elements requiring domain knowledge (condensed matter physics) to interpret."
VisJ.1499.8.png,"The visualization shows two 3D cardiac mesh models side by side with color-mapped surfaces (yellow-orange gradient) and wireframe overlays. The right panel adds scattered diamond-shaped markers increasing its density. Domain-specific knowledge (cardiac perfusion/motion analysis) is required for interpretation, and the 3D rendering with grid lines and symbols adds moderate perceptual complexity, though the overall layout is relatively clean with minimal text."
SciVisJ.1236.10.png,"This visualization contains a large grid of approximately 54 small heatmap matrices arranged in 6 rows and 9 columns, creating very high data density and visual clutter. The repetitive but varying patterns across cells in purple and green color schemes demand significant cognitive effort to parse and compare. The specialized domain labels (E5U, E5W, E1U, E1W combinations) require domain knowledge to interpret, and the sheer number of small multiples with intricate internal patterns makes rapid comprehension difficult."
v487_n7406_7_f3.png,"This visualization combines multiple overlapping visual encodings: a continuous color field (heatmap) with a wide color spectrum from red to purple, vector arrows indicating displacement direction, and contour lines — all layered simultaneously. The data density is high with hundreds of arrows and complex contour patterns creating significant visual clutter. Domain-specific knowledge of displacement fields and the physical setup (rod penetration) is needed for interpretation, adding to cognitive load."
SciVisJ.2926.1.png,"This is a highly complex scientific visualization, likely depicting a 3D simulation of a vortex or turbulent flow field (possibly astrophysical). The data density is extremely high with thousands of small elements, vector glyphs, and overlapping color-mapped surfaces. The color palette spans multiple hues (blue, red, orange, yellow, green) encoding different variables, and the 3D perspective with intricate swirling structures demands significant domain knowledge and cognitive effort to interpret. The lack of labels, axes, or legends beyond the '(a)' marker adds to the interpretive difficulty."
VisJ.1197.5(3).png,"This 3D visualization shows an extremely dense, cluttered arrangement of hundreds of rectangular blocks/buildings viewed from an oblique aerial perspective. The data density and visual clutter are very high, with massive overlap and occlusion making individual elements difficult to distinguish. The lack of labels, legends, or color variation (grayscale only) slightly reduces complexity, but the sheer volume of geometric elements, the 3D perspective distortion, and the high cognitive load required to parse the spatial relationships drive the score very high."
InfoVisJ.2699.12.png,"This network graph exhibits very high data density with hundreds of nodes and edges spread across the entire canvas, creating significant visual clutter and overlap. The numerous interconnected subgraphs with varying sizes and densities make it cognitively demanding to parse, requiring specialized knowledge of network/graph theory. The annotations (SG1-SG4) with red circles add semantic layers, but the overall layout is crowded and disordered, contributing to high perceptual load despite the relatively simple color scheme of purple nodes and black edges."
InfoVisJ.2402.12(1).png,"This visualization exhibits extremely high data density with hundreds of small rectangular elements packed tightly across the entire image, creating significant visual clutter. The treemap-like structure uses varying cell sizes with green and cyan color highlights against a predominantly gray palette, requiring substantial cognitive effort to parse. The text labels are largely illegible due to the small cell sizes, and the hierarchical nesting pattern with no clear legend or axis labels makes interpretation very demanding, contributing to high cognitive load and schema complexity."
SciVisJ.980.12(2).png,"This 3D scientific visualization shows complex flow patterns with multiple vortex structures, streamlines, and colored glyphs/arrows distributed throughout a rectangular domain. The data density is high with overlapping streamlines and numerous scattered directional markers in multiple colors (red, blue, green, yellow), creating significant visual clutter. The 3D perspective, specialized domain knowledge required (likely computational fluid dynamics), and the cognitive effort needed to parse the multiple interacting flow structures all contribute to elevated complexity, though the white background and transparent bounding box provide some visual relief."
VisC.503.6.png,"This is a simple bar chart with only 3 bars, minimal text (title, axis label, and three category labels), and a clean layout. The hatched texture pattern on the bars and red error bars add slight visual detail, but the overall data density is very low and the chart is immediately interpretable with minimal cognitive load."
whoQ50_2.png,"This is a straightforward bar chart showing percentage change across countries, with a single color encoding and clear axis labels. The moderate number of bars (roughly 18 countries) with rotated x-axis labels adds some text density, but the visual encoding is simple and immediately interpretable. The clean white background, single data series, and standard layout keep complexity relatively low despite the moderate data density."
InfoVisC.211.18.png,"This is a simple bar chart with a single data series showing a clear declining distribution. The visual encoding is straightforward with uniform black bars, minimal text (partially illegible axis labels), no legend, no color variety, and a clean uncluttered layout. The cognitive load is very low as the pattern is immediately recognizable as a right-skewed distribution."
wsj340.png,"This is a straightforward donut/pie chart with only 6 categories, each clearly labeled with percentages directly on the slices. The color palette is limited and well-differentiated, the layout is clean with ample whitespace, and the chart type requires minimal cognitive effort to interpret. The text elements (title, subtitle, labels, source) are well-organized and legible, contributing to low overall complexity."
InfoVisC.73.6.png,"The image shows repeated text 'IEEE Information Visualization 2005' arranged along curved paths at decreasing sizes, with red dots marking endpoints. While the text repetition and curved layout add some complexity, the overall design is relatively simple with minimal data encoding, a limited color palette (green text, red dots, black curves on white), and low data density. The cognitive load is moderate due to the curved text orientations but the content itself is straightforward and repetitive."
VisC.167.11.png,"This is a stacked bar chart with 3 categories across approximately 30 bars, which is moderately data-dense but uses a straightforward and familiar chart type. The color encoding is clear with three distinct colors (blue, dark red, yellow) and a clean legend. The layout is well-organized with clear axis labels and gridlines, though the number of bars and the stacked encoding require some cognitive effort to decompose individual component values."
whoJ44.png,"This is a simple line chart with only two clearly distinguished lines (Total ODA and General budget support), minimal data density, and a clean layout. The color scheme uses just two shades of blue, the axes are clearly labeled, and annotations are sparse with only two endpoint values highlighted. The cognitive load is very low as the message is immediately apparent."
economist_daily_chart_153.png,"This is a stacked area chart with three categories over roughly 30 years, using a clear color scheme of three distinct blue/grey tones. The layout is clean with minimal text (title, subtitle, legend, axis labels, and source), and the visual encoding is straightforward. While the jagged peaks of the stacked areas add some visual complexity and the overlapping layers require some effort to decompose individual category values, the overall design is well-organized and relatively easy to interpret."
VASTJ.2908.2.png,"This matrix-style chart has moderate-to-high complexity due to the large number of cells (17 rows × 5 columns) with three color-coded levels (high/medium/low), requiring careful scanning to interpret patterns. The text labels are numerous and domain-specific (e.g., 'sensemaking,' 'operationalizability'), adding cognitive load. However, the layout is clean and well-organized with a simple color scheme of three blue shades, which keeps the aesthetics manageable despite the dense information content."
InfoVisJ.1236.13.png,"This visualization presents two side-by-side representations of the Netherlands — a choropleth/cartogram map with numbered regions and a gridded/waffle-style equivalent. The high data density is evident from numerous colored regions, many numerical labels, and hundreds of small colored squares in the grid version. The diverse color palette spanning greens, browns, yellows, reds, oranges, and blues across both maps increases visual complexity, and the lack of a legend or title requires significant cognitive effort to interpret the relationship between the two representations and what the numbers/colors encode."
InfoVisJ.1558.9.png,"The visualization contains a moderately high number of overlapping elliptical elements scattered across the space with varying orientations, sizes, and color intensities, contributing to notable data density and clutter. The specialized schema—likely representing tensor fields or directional data with ellipse glyphs—requires domain knowledge to interpret, increasing cognitive load. The color gradient legend, blue rectangular annotations with dashed connector lines, and the absence of axis labels add to interpretive difficulty, though the overall layout is not maximally dense."
