imageName,imageURL,VisType,NormalizedVC,Topics,SubTopics,rawUserComments,originalPhrases,originalSentiments,originalStems,originalStemPOS,objectWords,actionWords,humanCuratedPhrases,finalPhrases
wsj21.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/wsj21.png,Area,0.63,Visual Encoding Clarity; Immediacy / Cognitive Load,Graphical Forms & Primitives; Interpretive Difficulty,The other image has visuals to make it easier for you to understand what the data is about. The other image also has different visual elements that allow you to analyze the data in the image.,different visual elements; allow to analyze the data; easier to understand,(-); (-); (-),differ; visual; element; allow; analyze; datum; easy; understand,ADJ; ADJ; NOUN; VERB; VERB; NOUN; ADJ; VERB,element; datum,allow; analyze; understand,several elements; easier to interpret/read/understand; easier to process/visualize,easy/hard to interpret; several elements
InfoVisJ.1009.9.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1009.9.png,Area,0.73,"Semantics / Text Legibility; Color, Symbol, and Texture Details",Annotations & Labels; Color Palette & Contrast,There is no key for the data. The different colours are confusing. The shades of the colour change. There is less information on the picture,no key for the data; different colors; different colors are confusing; shades of color change,(+); (-); (+); (+),key; datum; differ; color; confuse; shade; change,NOUN; NOUN; ADJ; NOUN; VERB; NOUN; NOUN,key; datum; color; shade; change,confuse,lack of/not enough axis labels/legend/annotations/context; ambiguous/confusing colors; color shading; color variety/arrangement/distribution,color contrast/clarity; color variety/shading; labels/axes/legends
visMost777.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost777.png,Area,0.64,"Schema; Color, Symbol, and Texture Details",Dimensionality & Structure; Domain Familiarity; Color Palette & Contrast,"The image changes over something but not sure what, the meanings of color are not well defined. and it seems like a physical dimension but not sure",not sure; physical dimension; meanings of color not well defined.,(+); (+); (+),sure; physical; dimension; mean; color; define,ADJ; ADJ; NOUN; NOUN; NOUN; VERB,dimension; meaning; color,define,2D/3D; unfamiliar concepts/patterns; unclear color meaning,"2D/3D; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map)"
v484_n7395_11_f2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/v484_n7395_11_f2.png,Area,0.7,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Color Palette & Contrast; Interpretive Difficulty,There is a multitude of differing information and colour keys related to the image. It is hard to ascertain the data without deep attention,multitude of differing information; color keys; hard to ascertain,(+); (+); (+),multitude; differ; information; color; key; hard; ascertain,NOUN; VERB; NOUN; NOUN; NOUN; ADV; VERB,multitude; information; color; key,differ; ascertain,diverse information; color keys; hard to compare/discern/distinguish,color variety/shading; easy/hard to interpret; much/little data/info
vis3.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/vis3.png,Area,0.7,"Visual Encoding Clarity; Semantics / Text Legibility; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Graphical Forms & Primitives; Typography & Readability; Color Palette & Contrast; Processing Time & Effort,Multiple colour schemes and shade variation. Differing font size. It's more challenging and takes longer to 'understand' what it is I'm looking at.,shape varation; Multiple color schemes; Differing font size; takes longer to understand,(+); (+); (+); (+),shape; varation; multiple; color; scheme; differ; font; size; take; long; understand,PROPN; PROPN; ADJ; NOUN; NOUN; VERB; ADJ; NOUN; VERB; ADV; VERB,shape; varation; color; scheme; size,differ; take; understand,shape variety; different font/word sizes/structure; color variety/arrangement/distribution; take longer to interpret,color variety/shading; shapes and lines; take longer to interpret; word rotation/small font size
visMost97.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost97.png,Area,0.38,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,"uses common knowledge, is easy to understand, has distinguished/distinctive colors, and presents simple information.",common knowledge; distinguished/distinctive colors; simple information; easy to understand,(-); (-); (-); (-),common; knowledge; distinguish; distinct; color; simple; information; easy; understand,ADJ; NOUN; VERB; ADJ; NOUN; ADJ; NOUN; ADJ; VERB,knowledge; color; information,distinguish; understand,simple information; familiar representation; color variety/arrangement/distribution; easy to interpret/read/understand,"color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; much/little data/info"
whoJ40_2.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/whoJ40_2.png,Area,0.28,"Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty,The images are both very simple to digest; the colours in the orange chart are bold and distract me from the information conveyed.,colors are bold; distract me from the information conveyed; very simple to digest,(+); (+); (+),color; bold; distract; information; convey; simple; digest,NOUN; ADJ; VERB; NOUN; VERB; ADJ; NOUN,color; information; digest,distract; convey,bold colors; distracting/confusing/unclear; easy to interpret/read/understand,color variety/shading; distracting/confusing/unclear; easy/hard to interpret
economist_daily_chart_493.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_493.png,Area,0.59,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",Information Volume; Domain Familiarity; Color Palette & Contrast,"Amount of details, draw style, colors",Amount of details; colors; draw style,(+); (+); (+),detail; color; draw; style,NOUN; NOUN; VERB; NOUN,detail; color; style,draw,more detailed/things; drawing style; unclear colormaps,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
VASTC.107.10.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.107.10.png,Area,0.63,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",Information Volume; Domain Familiarity; Color Palette & Contrast,"Amount of details, draw style, colors",Amount of details; colors; draw style,(+); (+); (+),detail; color; draw; style,NOUN; NOUN; VERB; NOUN,detail; color; style,draw,more detailed/things; drawing style; unclear colormaps,"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
visMost786.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost786.png,Area,0.53,Immediacy / Cognitive Load,Interpretive Difficulty,sports is more likeable and much easier to figure out.; THe one on the right has words next to each of the circles so I know what they mean. The circles on the right are different sizes so I'm sure the size is an indication of the magnitude,much easier to figure out,(-),easy; figure,ADJ; VERB,,figure,easier to interpret/read/understand,easy/hard to interpret
