keyword,count,n_vistypes,topics_involved,step1_merge,step1b_criteria,step3_subtopic,removed_at,final_status,merged_into
more charts/points/lines/shapes/elements,79,9,Data Density / Image Clutter,kept (rep),kept,Element Quantity,,ASSIGNED,
"domain-specific concepts (e.g., chemical, biology, map)",41,8,Schema,kept (rep),kept,Domain Familiarity,,ASSIGNED,
unclear meaning/confusing,31,9,"Color, Symbol, and Texture Details | Immediacy / Cognitive Load",kept (rep),kept,Semantic Clarity,,ASSIGNED,
take longer to interpret,25,8,Immediacy / Cognitive Load,kept (rep),kept,Processing Time & Effort,,ASSIGNED,
shapes and lines,24,8,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
distracting/confusing/unclear,23,9,Aesthetics Uncertainty,kept (rep),kept,Visual Disorganization,,ASSIGNED,
amount of words/context/numbers,22,8,Semantics / Text Legibility,kept (rep),kept,Text Volume & Content,,ASSIGNED,
overlapping shapes/colors/lines,18,6,Data Density / Image Clutter,kept (rep),kept,Visual Clutter & Overlap,,ASSIGNED,
word rotation/small font size,18,5,Semantics / Text Legibility,kept (rep),kept,Typography & Readability,,ASSIGNED,
2D/3D,11,6,Schema | Visual Encoding Clarity,kept (rep),kept,Dimensionality & Structure,,ASSIGNED,
more parameters/variables,9,4,Data Density / Image Clutter,kept (rep),kept,Information Volume,,ASSIGNED,
unclear colors/contrast,8,6,Aesthetics Uncertainty,kept (rep),kept,Perceptual Ambiguity,,ASSIGNED,
inadequate/few coloring,8,4,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
soft/layered/overlapping colors,7,4,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
simple visual elements,6,4,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
clear colors/shapes,5,5,Visual Encoding Clarity,kept (rep),kept,Encoding Interpretability,,ASSIGNED,
understand/read shapes,5,5,Visual Encoding Clarity,kept (rep),kept,Encoding Interpretability,,ASSIGNED,
abstract shapes or colors,5,5,Schema | Visual Encoding Clarity,kept (rep),kept,Abstraction Level,,ASSIGNED,
design-data relationship,5,4,Visual Encoding Clarity,kept (rep),kept,Encoding Interpretability,,ASSIGNED,
several elements,5,4,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
distinguishable/full/highly contrast color uses,5,3,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
read/analyze many figures/items,4,1,Immediacy / Cognitive Load,kept (rep),kept,Processing Time & Effort,,ASSIGNED,
clear text/scale/information,4,3,Semantics / Text Legibility,kept (rep),kept,Annotations & Labels,,ASSIGNED,
white/black background / other background,4,3,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
scale difference,4,4,Visual Encoding Clarity,kept (rep),kept,"Position, Scale & Organization",,ASSIGNED,
shape variation,4,3,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
distinguishable color variety/arrangement/distribution,4,2,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
two colors,4,2,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
little/less text/numbers/context,4,3,Semantics / Text Legibility,kept (rep),kept,Text Volume & Content,,ASSIGNED,
"scattered shapes (e.g., dots, squares, pictures)",4,3,Data Density / Image Clutter | Visual Encoding Clarity,kept (rep),kept,Element Quantity,,ASSIGNED,
more labels/context,4,3,Semantics / Text Legibility,kept (rep),kept,Annotations & Labels,,ASSIGNED,
bright colors,3,2,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
clear text arrangement/density,3,3,Semantics / Text Legibility,kept (rep),kept,Typography & Readability,,ASSIGNED,
ordered,3,3,Visual Encoding Clarity,kept (rep),kept,"Position, Scale & Organization",,ASSIGNED,
random-like shapes,3,1,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
shape size,3,2,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
shape position,3,3,Visual Encoding Clarity,kept (rep),kept,"Position, Scale & Organization",,ASSIGNED,
shape point of interest,3,2,Visual Encoding Clarity,kept (rep),kept,Encoding Interpretability,,ASSIGNED,
shape increase/decrease point,3,2,Visual Encoding Clarity,kept (rep),kept,Graphical Forms & Primitives,,ASSIGNED,
monochrome,3,2,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
more difficult to focus/follow,3,3,Immediacy / Cognitive Load,kept (rep),kept,Interpretive Difficulty,,ASSIGNED,
more regions/space,3,3,Data Density / Image Clutter,kept (rep),kept,Visual Clutter & Overlap,,ASSIGNED,
less organized elements,3,3,Visual Encoding Clarity,kept (rep),kept,"Position, Scale & Organization",,ASSIGNED,
blurry colors/images,3,2,"Color, Symbol, and Texture Details",kept (rep),kept,Color Palette & Contrast,,ASSIGNED,
symbols,2,1,"Color, Symbol, and Texture Details",kept (rep),kept,Symbols & Texture,,ASSIGNED,
color variety/arrangement/distribution,87,9,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
much/more data/info/info spread,65,9,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
easy to interpret/read/understand,55,9,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more detailed/things,37,8,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
title/axis/label/descriptions,37,9,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
unclear colormaps,34,9,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
lack of/not enough axis labels/legend/annotations/context,34,8,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
hard to interpret/read/understand,33,9,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
unfamiliar concepts/patterns,32,8,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
more difficult to interpret/read/understand/differentiate,28,9,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
familiar representation,27,8,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
a specific technique,27,8,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
not interpretable/readable/understandable,27,7,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more texts/words,20,7,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
easier to interpret/read/understand,20,8,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
