Immediacy / Cognitive Load_sentiment,Immediacy / Cognitive Load_count,Immediacy / Cognitive Load,Immediacy / Cognitive Load (AIcurated),Immediacy / Cognitive Load (HumanCuration),Data Density / Image Clutter_sentiment,Data Density / Image Clutter_count,Data Density / Image Clutter,Data Density / Image Clutter (AIcurated),Data Density / Image Clutter (HumanCuration),Visual Encoding Clarity_sentiment,Visual Encoding Clarity_count,Visual Encoding Clarity,Visual Encoding Clarity (AIcurated),Visual Encoding Clarity (HumanCuration),Semantics / Text Legibility_sentiment,Semantics / Text Legibility_count,Semantics / Text Legibility,Semantics / Text Legibility (AIcurated),Semantics / Text Legibility (HumanCuration),Schema_sentiment,Schema_count,Schema,Schema (AIcurated),Schema (HumanCuration),"Color, Symbol, and Texture Details_sentiment","Color, Symbol, and Texture Details_count","Color, Symbol, and Texture Details","Color, Symbol, and Texture Details (AIcurated)","Color, Symbol, and Texture Details (HumanCuration)",Aesthetics Uncertainty_sentiment,Aesthetics Uncertainty_count,Aesthetics Uncertainty,Aesthetics Uncertainty (AIcurated),Aesthetics Uncertainty (HumanCuration)
(-),8,easy to understand,easy to understand,easy to interpret/read/understand,(+),10,more information,more information,much/more data/info/info spread,(+),11,lines,lines,lines,(+),7,text,text,word/text/sentence,(-),7,map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),20,more colors,many/more colors,color variety/arrangement/distribution,(+),2,confusing,confusing,distracting/confusing/unclear
(+),7,difficult to understand,difficult to understand,hard to interpret/read/understand,(+),6,more details,more details,more detailed/things,(+),6,shapes,shapes,shapes,(+),7,legend,legend,too much legend,(-),4,familiar with,familiar representation,familiar representation,(+),14,colors,colors,unclear colormaps,(+),1,Difference of clarity,difference in clarity,distracting/confusing/unclear
(+),6,don't understand,don't understand,not interpretable/readable/understandable,(+),4,more variables,more variables,more parameters/variables,(-),6,dots,dots,shapes and lines,(-),6,labels,labels,title/axis/label/descriptions,(+),3,countries,countries,"domain-specific concepts (e.g., chemical, biology, map)",(-),12,different colors,different colors,color variety/arrangement/distribution,(+),1,composition is more convoluted,convoluted composition,convoluted composition
(+),5,hard to understand,difficult to understand,hard to interpret/read/understand,(+),4,more data,more data,much/more data/info/info spread,(+),4,circles,circles,shapes and lines,(-),5,words,words,word/text/sentence,(+),2,pattern,pattern,familiar representation,(+),10,More colors,more colors,color variety/arrangement/distribution,(+),1,hurt my eyes,hurts eyes,distracting/confusing/unclear
(-),5,easier to understand,easier to understand,easier to interpret/read/understand,(+),3,More details,more details,more detailed/things,(-),4,clearer,clearer,clear colors/shapes,(+),4,numbers,numbers,amount of words/context/numbers,(-),2,country,country,"domain-specific concepts (e.g., chemical, biology, map)",(+),4,more color,more color,color variety/arrangement/distribution,(+),1,hurts my vision,hurts eyes,distracting/confusing/unclear
(-),4,harder to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),3,a lot going on,more going on,more detailed/things,(-),2,straight lines,straight lines,straight lines,(+),4,more words,more words,more texts/words,(-),2,easily recognizable,familiar representation,familiar representation,(-),4,number of colors,number of colors,distinguishable color variety/arrangement/distribution,(+),1,not tidy,messy,looks random/messy/lack structure
(+),4,difficult to read,hard to read,hard to interpret/read/understand/differentiate,(+),3,a lot of information,more information,much/more data/info/info spread,(+),2,boxes,shapes,shapes,(-),4,title,title,title/axis/label/descriptions,(+),2,network,network,a specific technique,(+),3,lots of colors,many/more colors,color variety/arrangement/distribution,(+),1,nothing is clear,unclear,distracting/confusing/unclear
(+),4,more time to understand,take longer to understand,take longer to interpret,(+),3,too much data,too much data,too much data/info,(-),2,simple,simple visual elements,simple visual elements,(-),3,axis,axis,title/axis/label/descriptions,(-),2,seismic graph,seismic graph,"domain-specific concepts (e.g., chemical, biology, map)",(+),3,Different colors,different colors,color variety/arrangement/distribution,(+),1,strange,strange,feeling strange
(+),3,Hard to understand,difficult to understand,hard to interpret/read/understand,(+),3,many elements,many elements,more charts/points/lines/shapes/elements,(-),2,country shapes,shapes,shapes,(+),3,more text,more text,more texts/words,(+),2,abstract painting,abstract painting,abstract shapes or colors,(-),3,black and white,black and white,black-to-white/color gradient,(+),1,very weird color,weird coloring,unclear colors/contrast
(+),3,harder to read,more difficult to read,more difficult to interpret/read/understand/differentiate,(+),3,More elements,more elements,more charts/points/lines/shapes/elements,(+),2,3D,3D,2D/3D,(+),3,readability,readability,readability,(-),2,immediately recognizable,familiar representation,familiar representation,(+),3,a lot of colors,lots of colors,color variety/arrangement/distribution,(+),1,visually more striking,visually striking,visually striking
(+),3,more difficult to understand,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),3,more lines,more lines,more charts/points/lines/shapes/elements,(-),2,element size,element size,element sizes,(+),3,numbers do not make sense,numbers lack meaning,lack of/not enough axis labels/legend/annotations/context,(-),2,circle graphs,circle graphs,"a specific technique, e.g., bar, pie, circle",(+),3,color,color,unclear colormaps,(+),1,distract me from the information conveyed,distracting design,distracting/confusing/unclear
(+),2,hard to differentiate,hard to differentiate,hard to interpret/read/understand/differentiate,(+),3,more going on,more going on,more detailed/things,(+),2,shapes and contrasts,shapes and contrasts,shapes and contrasts,(+),3,Readability,readability,readability,(+),2,line graph,graph,a specific technique,(+),3,Higher contrast,higher contrast,distinguishable/full/highly contrast color uses,(+),1,can be confusing,confusing,distracting/confusing/unclear
(+),2,more factors to consider,more factors to consider,read/analyze many figures/items,(-),3,number of shapes,more shapes,more charts/points/lines/shapes/elements,(+),2,complexity in shapes,complex curve/shape,curves and shapes,(-),2,fast readability,fast readability,fast readability,(+),2,not familiar with,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),2,amount of colors,amount of colors,amount of / too many colors,(+),1,color contrast really weird,bad colors/contrast,unclear colors/contrast
(+),2,a lot of information to take in,information overload,information overload,(-),3,Volume of information,high information volume,many/more data/info,(-),2,clear,clear,clear indication,(-),2,easier to read,easier to read,easier to read,(+),2,not familiar,unfamiliar design/domain uses,unfamiliar concepts/patterns,(+),2,color differences,color differences,color variety/arrangement/distribution,(+),1,eyes felt blurry,blurry to eyes,distracting/confusing/unclear
(+),2,didn't understand,don't understand,not interpretable/readable/understandable,(+),2,details,more details,more detailed/things,(+),2,shape,shape,shapes,(-),2,number of items on the legend,number of legend items,number of legend items,(-),2,world map,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,color scale,color scale,color scale/scheme,(+),1,bad design of the graph,bad design,distracting/confusing/unclear
(+),2,more difficult,more difficult,more difficult,(+),2,more information to process,more information to process,much/more data/info/info spread,(+),2,no detail,no detail,no detail,(+),2,Large numbers,large numbers,amount of words/context/numbers,(+),1,NASA graph,nasa graph,"domain-specific concepts (e.g., chemical, biology, map)",(+),2,mix several colors,mixed colors,color variety/arrangement/distribution,(+),1,messiness of the graph,messy graph,looks random/messy/lack structure
