original,OriginalSign,OriginalPhraseImageCount,AIcurated,AIcuratedSign,AIcuratedPhraseImageCount,HumanCurated,HumanCuratedSign,HumanCuratedPhraseImageCount
2 data sets,(-),1,2D,(-),2.0,-,(+) (-),3.0
2 dimensions,(-),1,3D,(+),6.0,2D/3D,(+) (-),11.0
2 lines to describe differences,(+),1,3D visualization,(+),2.0,a specific domain,(+) (-),5.0
2D,(-),1,a little busier,(+),1.0,a specific technique,(+) (-),27.0
2d geometric shapes,(-),1,a lot of text,(+),4.0,"a specific technique, e.g., bar, pie, circle",(+) (-),11.0
3 Dimensional elements,(+),1,a lot of words,(+),3.0,abstract shapes or colors,(+),5.0
3 aspects,(+),1,a lot of writing,(+),2.0,almost no explanation,(+),1.0
3 axes,(-),1,abstract,(+),2.0,ambiguous numbers,(+),1.0
3D,(+),2,abstract painting,(+),2.0,ambiguous/confusing colors,(+) (-),6.0
3D visualization (4 dimension matrix),(+),1,additional key,(+),1.0,amount of / too many colors,(+),9.0
4 axes,(+),1,alignment,(-),2.0,amount of words/context/numbers,(+) (-),25.0
4 different center points,(+),1,all the text,(+),1.0,appealing colors,(+) (-),3.0
4 or 5 axes,(+),1,almost no explanation,(+),1.0,arbitrary imaging,(+),1.0
A few squares,(-),1,ambiguous colors,(+) (-),6.0,attention/squinting to understand,(+),4.0
A lot more parameters,(+),1,ambiguous numbers,(+),1.0,axis meaning,(-),1.0
A lot of colors,(+),2,amount of colors,(+),3.0,axis numbers,(-),1.0
A lot of data,(+),2,amount of subjects,(+),1.0,axis scales,(-),1.0
A lot of lines,(+),1,amount of text,(+),1.0,bars as individual lines,(+) (-),2.0
A lot of shapes,(+),1,animal shapes,(+),1.0,black color,(+) (-),2.0
A lot of text,(+),1,appealing colors,(+) (-),4.0,black-to-white/color gradient,(+) (-),7.0
A map is easier to read than a chart,(-),1,arbitrary imaging,(+),1.0,blended colors,(+),1.0
A plethora of datapoints,(+),1,arrow directions,(+),1.0,blue color,(+) (-),2.0
Able to imagine a meaning,(-),2,arrows,(+),1.0,blurry colors/images,(+),3.0
Abundance of individual objects,(+),1,axes titles,(+),1.0,bold colors,(+),1.0
All points converges to each other so that it makes more sense,(-),1,axis,(+) (-),9.0,bright colors,(+) (-),3.0
Almost no explanation,(+),1,axis data,(+),1.0,captions,(-),1.0
Ammount of information,(+),1,axis labeling,(+),1.0,categorized shapes,(+),1.0
Amount of data,(+),1,axis meaning,(-),1.0,change over time,(+),1.0
Amount of details,(+),2,axis numbers,(-),1.0,clear and concise,(-),1.0
Amount of information,(+),2,axis of parameters,(+),1.0,clear color uses,(+),2.0
Amount of subjects,(+),1,axis scales,(-),1.0,clear colored bars/charts,(+),1.0
Axes titles,(+),1,background color,(+),1.0,clear colors/shapes,(-),5.0
Background color,(+),1,bad color contrast,(+),1.0,clear connection,(-),2.0
Bad color choice in regard to contrasts,(+),2,bad colors/contrast,(+),1.0,clear delineation,(-),1.0
Bar graph,(-),1,bad design,(+),1.0,clear indication,(-),4.0
Bigger key,(+),1,bar graph,(+) (-),5.0,clear text arrangement/density,(+),3.0
Black is discordant here.,(+),1,bars as individual lines,(+) (-),2.0,clear text/scale/information,(+) (-),4.0
