filename,vc_score
visMost97.png,0.18
economist_daily_chart_165.png,0.4
whoO06_2.png,0.48
wsj135.png,0.32
SciVisJ.1025.11.png,0.36
whoQ44_4.png,0.46
InfoVisC.133.5(3).png,0.4
InfoVisJ.1558.11(3).png,0.28
InfoVisJ.619.17.png,0.54
wsj603.png,0.46
VisJ.1515.12.png,0.3
VisJ.1499.8.png,0.52
v483_n7391_8_f5.png,0.62
v487_n7406_7_f3.png,0.7
SciVisJ.1236.10.png,0.76
SciVisJ.2926.1.png,0.8
VisJ.1197.5(3).png,0.75
VisC.503.6.png,0.22
SciVisJ.980.12(2).png,0.7
InfoVisJ.2699.12.png,0.72
InfoVisJ.2402.12(1).png,0.84
InfoVisC.211.18.png,0.2
whoJ44.png,0.25
whoQ50_2.png,0.3
wsj340.png,0.25
InfoVisC.73.6.png,0.18
VisC.167.11.png,0.42
economist_daily_chart_153.png,0.38
VASTJ.2908.2.png,0.48
InfoVisJ.1236.13.png,0.63
VisJ.1949.18(3).png,0.64
InfoVisJ.1558.9.png,0.55
SciVisJ.822.18.png,0.3
InfoVisJ.349.1.png,0.55
VASTJ.422.7.png,0.52
VASTJ.2012.9(2).png,0.72
v488_n7412_9_f1.png,0.67
v488_n7409_19_f1.png,0.82
v488_n7409_12_f4.png,0.52
visMost573.png,0.74
VisJ.1541.1(2).png,0.68
VASTJ.1.7.png,0.77
InfoVisJ.1149.6(1).png,0.95
vis734.png,0.9
VASTC.13.9.png,0.76
InfoVisC.65.5(2).png,0.7
